Name,Domain,Indicator,Year,GeogID,AgeGroup,Gender,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName,AgeGroup Text,GenderText
YAVAPAI,AS,90,2019,4025,20,ALL,ALL,436,22.58,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
LA PAZ,AS,90,2019,4012,20,ALL,ALL,436,20.84,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
PINAL,AS,90,2019,4021,20,ALL,ALL,436,29.01,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
APACHE,AS,90,2019,4001,20,ALL,ALL,436,30.88,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
GRAHAM,AS,90,2019,4009,20,ALL,ALL,436,32.95,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
YUMA,AS,90,2019,4027,20,ALL,ALL,436,32.74,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
GREENLEE,AS,90,2019,4011,20,ALL,ALL,436,13.68,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
NAVAJO,AS,90,2019,4017,20,ALL,ALL,436,21.36,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
PIMA,AS,90,2019,4019,20,ALL,ALL,436,29.41,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
COCHISE,AS,90,2019,4003,20,ALL,ALL,436,36.29,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
ARIZONA,AS,90,2019,ALL,20,ALL,ALL,436,34.62,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
MARICOPA,AS,90,2019,4013,20,ALL,ALL,436,37.97,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
MOHAVE,AS,90,2019,4015,20,ALL,ALL,436,35.01,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
SANTA CRUZ,AS,90,2019,4023,20,ALL,ALL,436,43.44,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
COCONINO,AS,90,2019,4005,20,ALL,ALL,436,18.88,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
GILA,AS,90,2019,4007,20,ALL,ALL,436,35.35,2020-10-09T19:05:09.780,"Crude rate of emergency department visits for asthma per 10,000 population",Emergency department visits for asthma,Asthma,All Ages,Any Gender
