Name,Domain,Indicator,Year,GeogID,Race_Ethnicity,Gender,Age_Group,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName,Race_Ethnicitylabel,Genderlabel
APACHE,CR,18,2012-2016,4001,ALL,ALL,ALL,ALL,221,6.2,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
COCHISE,CR,18,2012-2016,4003,ALL,ALL,ALL,ALL,221,19.5,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
COCONINO,CR,18,2012-2016,4005,ALL,ALL,ALL,ALL,221,17.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
GILA,CR,18,2012-2016,4007,ALL,ALL,ALL,ALL,221,20.4,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
GRAHAM,CR,18,2012-2016,4009,ALL,ALL,ALL,ALL,221,13.8,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
LA PAZ,CR,18,2012-2016,4012,ALL,ALL,ALL,ALL,221,18.4,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
MARICOPA,CR,18,2012-2016,4013,ALL,ALL,ALL,ALL,221,19.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
MOHAVE,CR,18,2012-2016,4015,ALL,ALL,ALL,ALL,221,25.4,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
NAVAJO,CR,18,2012-2016,4017,ALL,ALL,ALL,ALL,221,11.2,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
PIMA,CR,18,2012-2016,4019,ALL,ALL,ALL,ALL,221,16.9,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
PINAL,CR,18,2012-2016,4021,ALL,ALL,ALL,ALL,221,18.6,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
SANTA CRUZ,CR,18,2012-2016,4023,ALL,ALL,ALL,ALL,221,13.6,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
YAVAPAI,CR,18,2012-2016,4025,ALL,ALL,ALL,ALL,221,24,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
YUMA,CR,18,2012-2016,4027,ALL,ALL,ALL,ALL,221,14.9,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
ARIZONA,CR,18,2012-2016,ALL,ALL,ALL,ALL,ALL,221,18.7,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population over a five year period",Incidence of Bladder Cancer,Cancer,Any Race Ethnicity,Any Gender
