Name,Domain,Indicator,Year,GeogID,Race_Ethnicity,Gender,Age_Group,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName,Race_Ethnicitylabel,Genderlabel
COCHISE,CR,47,2012-2016,4003,ALL,ALL,ALL,ALL,222,6.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Brain and Other Nervous System Cancer per 100,000 population over a five year period",Incidence of Brain and Other Nervous System Cancer,Cancer,Any Race Ethnicity,Any Gender
COCONINO,CR,47,2012-2016,4005,ALL,ALL,ALL,ALL,222,6.3,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Brain and Other Nervous System Cancer per 100,000 population over a five year period",Incidence of Brain and Other Nervous System Cancer,Cancer,Any Race Ethnicity,Any Gender
GILA,CR,47,2012-2016,4007,ALL,ALL,ALL,ALL,222,4.7,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Brain and Other Nervous System Cancer per 100,000 population over a five year period",Incidence of Brain and Other Nervous System Cancer,Cancer,Any Race Ethnicity,Any Gender
MARICOPA,CR,47,2012-2016,4013,ALL,ALL,ALL,ALL,222,6.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Brain and Other Nervous System Cancer per 100,000 population over a five year period",Incidence of Brain and Other Nervous System Cancer,Cancer,Any Race Ethnicity,Any Gender
MOHAVE,CR,47,2012-2016,4015,ALL,ALL,ALL,ALL,222,5.9,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Brain and Other Nervous System Cancer per 100,000 population over a five year period",Incidence of Brain and Other Nervous System Cancer,Cancer,Any Race Ethnicity,Any Gender
NAVAJO,CR,47,2012-2016,4017,ALL,ALL,ALL,ALL,222,6.2,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Brain and Other Nervous System Cancer per 100,000 population over a five year period",Incidence of Brain and Other Nervous System Cancer,Cancer,Any Race Ethnicity,Any Gender
PIMA,CR,47,2012-2016,4019,ALL,ALL,ALL,ALL,222,6.3,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Brain and Other Nervous System Cancer per 100,000 population over a five year period",Incidence of Brain and Other Nervous System Cancer,Cancer,Any Race Ethnicity,Any Gender
PINAL,CR,47,2012-2016,4021,ALL,ALL,ALL,ALL,222,6.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Brain and Other Nervous System Cancer per 100,000 population over a five year period",Incidence of Brain and Other Nervous System Cancer,Cancer,Any Race Ethnicity,Any Gender
YAVAPAI,CR,47,2012-2016,4025,ALL,ALL,ALL,ALL,222,7.3,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Brain and Other Nervous System Cancer per 100,000 population over a five year period",Incidence of Brain and Other Nervous System Cancer,Cancer,Any Race Ethnicity,Any Gender
YUMA,CR,47,2012-2016,4027,ALL,ALL,ALL,ALL,222,5.5,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Brain and Other Nervous System Cancer per 100,000 population over a five year period",Incidence of Brain and Other Nervous System Cancer,Cancer,Any Race Ethnicity,Any Gender
ARIZONA,CR,47,2012-2016,ALL,ALL,ALL,ALL,ALL,222,6.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Brain and Other Nervous System Cancer per 100,000 population over a five year period",Incidence of Brain and Other Nervous System Cancer,Cancer,Any Race Ethnicity,Any Gender
