Name,Domain,Indicator,Year,Month,GeogID,Measure,TType,Commute_Time,Value,ts,measureName,indicatorName,contentAreaName,TTypelabel
APACHE,CD,111,2016,ALL,4001,369,ALL,ALL,0,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
COCHISE,CD,111,2016,ALL,4003,369,ALL,ALL,3.7,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
COCONINO,CD,111,2016,ALL,4005,369,ALL,ALL,0,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
GILA,CD,111,2016,ALL,4007,369,ALL,ALL,0,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
GRAHAM,CD,111,2016,ALL,4009,369,ALL,ALL,1.8,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
GREENLEE,CD,111,2016,ALL,4011,369,ALL,ALL,0.3,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
LA PAZ,CD,111,2016,ALL,4012,369,ALL,ALL,4.6,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
MARICOPA,CD,111,2016,ALL,4013,369,ALL,ALL,5.2,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
MOHAVE,CD,111,2016,ALL,4015,369,ALL,ALL,0.2,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
NAVAJO,CD,111,2016,ALL,4017,369,ALL,ALL,0.1,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
PIMA,CD,111,2016,ALL,4019,369,ALL,ALL,0.5,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
PINAL,CD,111,2016,ALL,4021,369,ALL,ALL,10.4,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
SANTA CRUZ,CD,111,2016,ALL,4023,369,ALL,ALL,0.3,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
YAVAPAI,CD,111,2016,ALL,4025,369,ALL,ALL,0.1,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
YUMA,CD,111,2016,ALL,4027,369,ALL,ALL,5.5,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
ARIZONA,CD,111,2016,ALL,ALL,369,ALL,ALL,2.18,2019-10-18T09:38:40.187,Percent of land used for agriculture,Land Use,Community Design,All
