Name,Domain,Indicator,Year,Month,GeogID,Measure,TType,Commute_Time,Value,ts,measureName,indicatorName,contentAreaName,TTypelabel
APACHE,CD,111,2016,ALL,4001,368,ALL,ALL,0.8,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
COCHISE,CD,111,2016,ALL,4003,368,ALL,ALL,1.7,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
COCONINO,CD,111,2016,ALL,4005,368,ALL,ALL,0.8,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
GILA,CD,111,2016,ALL,4007,368,ALL,ALL,1,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
GRAHAM,CD,111,2016,ALL,4009,368,ALL,ALL,0.7,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
GREENLEE,CD,111,2016,ALL,4011,368,ALL,ALL,0.8,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
LA PAZ,CD,111,2016,ALL,4012,368,ALL,ALL,1,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
MARICOPA,CD,111,2016,ALL,4013,368,ALL,ALL,11.9,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
MOHAVE,CD,111,2016,ALL,4015,368,ALL,ALL,1.4,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
NAVAJO,CD,111,2016,ALL,4017,368,ALL,ALL,0.9,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
PIMA,CD,111,2016,ALL,4019,368,ALL,ALL,3.8,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
PINAL,CD,111,2016,ALL,4021,368,ALL,ALL,3.3,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
SANTA CRUZ,CD,111,2016,ALL,4023,368,ALL,ALL,2.4,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
YAVAPAI,CD,111,2016,ALL,4025,368,ALL,ALL,1.7,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
YUMA,CD,111,2016,ALL,4027,368,ALL,ALL,1.9,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
ARIZONA,CD,111,2016,ALL,ALL,368,ALL,ALL,2.27,2019-10-18T09:38:40.187,Percent of land used for development,Land Use,Community Design,All
