Name,Domain,Indicator,Year,Month,NAME,GeogID,Measure,TType,Value,ts,measureName,indicatorName,contentAreaName
ARIZONA,CD,99,2016,ALL,*AZ Benchmark,ALL,548,ALL,7.07,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
AHWATUKEE FOOTHILLS VILLAGE,CD,99,2016,ALL,AHWATUKEE FOOTHILLS VILLAGE,42,548,ALL,1.96,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
AJO,CD,99,2016,ALL,AJO,102,548,ALL,25,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
ALHAMBRA VILLAGE,CD,99,2016,ALL,ALHAMBRA VILLAGE,35,548,ALL,13.63,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
ANTHEM,CD,99,2016,ALL,ANTHEM,51,548,ALL,2.75,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
APACHE JUNCTION,CD,99,2016,ALL,APACHE JUNCTION,70,548,ALL,7.98,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
AVONDALE,CD,99,2016,ALL,AVONDALE,64,548,ALL,4.32,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
BENSON,CD,99,2016,ALL,BENSON,121,548,ALL,12.69,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
BISBEE,CD,99,2016,ALL,BISBEE,124,548,ALL,2.48,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
BLACK CANYON CITY,CD,99,2016,ALL,BLACK CANYON CITY,22,548,ALL,5.81,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
BUCKEYE,CD,99,2016,ALL,BUCKEYE,53,548,ALL,3.93,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
BULLHEAD CITY,CD,99,2016,ALL,BULLHEAD CITY,5,548,ALL,4.36,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
CAMELBACK EAST VILLAGE,CD,99,2016,ALL,CAMELBACK EAST VILLAGE,34,548,ALL,9.9,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
CASA GRANDE,CD,99,2016,ALL,CASA GRANDE,97,548,ALL,5.59,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
CASAS ADOBES,CD,99,2016,ALL,CASAS ADOBES,105,548,ALL,7.06,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
CATALINA FOOTHILLS,CD,99,2016,ALL,CATALINA FOOTHILLS,99,548,ALL,5.19,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
CENTRAL CITY VILLAGE,CD,99,2016,ALL,CENTRAL CITY VILLAGE,39,548,ALL,13.71,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
CHANDLER CENTRAL,CD,99,2016,ALL,CHANDLER CENTRAL,77,548,ALL,12.89,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
CHANDLER NORTH,CD,99,2016,ALL,CHANDLER NORTH,78,548,ALL,8.3,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
CHANDLER SOUTH,CD,99,2016,ALL,CHANDLER SOUTH,79,548,ALL,8.97,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
CHINO VALLEY,CD,99,2016,ALL,CHINO VALLEY,18,548,ALL,4.12,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
COLORADO CITY,CD,99,2016,ALL,COLORADO CITY,1,548,ALL,1.19,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
COLORADO RIVER INDIAN TRIBE,CD,99,2016,ALL,COLORADO RIVER INDIAN TRIBE,27,548,ALL,0.49,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
COOLIDGE,CD,99,2016,ALL,COOLIDGE,95,548,ALL,7.84,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
COTTONWOODSEDONA,CD,99,2016,ALL,COTTONWOOD\SEDONA,12,548,ALL,7,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
DEER VALLEY VILLAGE,CD,99,2016,ALL,DEER VALLEY VILLAGE,31,548,ALL,8.78,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
DESERT VIEW VILLAGE,CD,99,2016,ALL,DESERT VIEW VILLAGE,30,548,ALL,4.92,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
DOUGLAS & PIRTLEVILLE,CD,99,2016,ALL,DOUGLAS & PIRTLEVILLE,122,548,ALL,4.42,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
DREXEL HEIGHTS,CD,99,2016,ALL,DREXEL HEIGHTS,114,548,ALL,1.4,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
EL MIRAGE & YOUNGTOWN,CD,99,2016,ALL,EL MIRAGE & YOUNGTOWN,60,548,ALL,1.61,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
ELOY,CD,99,2016,ALL,ELOY,96,548,ALL,2.33,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
ENCANTO VILLAGE,CD,99,2016,ALL,ENCANTO VILLAGE,37,548,ALL,6.32,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
ESTRELLA VILLAGE & TOLLESON,CD,99,2016,ALL,ESTRELLA VILLAGE & TOLLESON,38,548,ALL,4.7,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
FLAGSTAFF,CD,99,2016,ALL,FLAGSTAFF,10,548,ALL,8.98,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
FLORENCE,CD,99,2016,ALL,FLORENCE,91,548,ALL,13.72,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
FLOWING WELLS,CD,99,2016,ALL,FLOWING WELLS,112,548,ALL,14.69,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
FORT MCDOWELL YAVAPAI NATION,CD,99,2016,ALL,FORT MCDOWELL YAVAPAI NATION,54,548,ALL,1.26,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
FORTUNA FOOTHILLS,CD,99,2016,ALL,FORTUNA FOOTHILLS,86,548,ALL,4.14,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
FOUNTAIN HILLS/RIO VERDE,CD,99,2016,ALL,FOUNTAIN HILLS/RIO VERDE,52,548,ALL,1.4,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
GILA RIVER INDIAN COMMUNITY,CD,99,2016,ALL,GILA RIVER INDIAN COMMUNITY,73,548,ALL,5.92,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
GILBERT CENTRAL,CD,99,2016,ALL,GILBERT CENTRAL,75,548,ALL,6.96,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
GILBERT NORTH,CD,99,2016,ALL,GILBERT NORTH,74,548,ALL,3.46,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
GILBERT SOUTH,CD,99,2016,ALL,GILBERT SOUTH,76,548,ALL,1.68,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
GLENDALE CENTRAL,CD,99,2016,ALL,GLENDALE CENTRAL,58,548,ALL,7.53,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
GLENDALE NORTH,CD,99,2016,ALL,GLENDALE NORTH,56,548,ALL,7.74,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
GLENDALE WEST,CD,99,2016,ALL,GLENDALE WEST,57,548,ALL,1.57,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
GLOBE,CD,99,2016,ALL,GLOBE,24,548,ALL,13.89,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
GOLD CANYON,CD,99,2016,ALL,GOLD CANYON,90,548,ALL,3.67,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
GOLDEN VALLEY,CD,99,2016,ALL,GOLDEN VALLEY,4,548,ALL,3.08,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
GOODYEAR & LITCHFIELD PARK,CD,99,2016,ALL,GOODYEAR & LITCHFIELD PARK,63,548,ALL,3.49,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
GRAND CANYON VILLAGE,CD,99,2016,ALL,GRAND CANYON VILLAGE,9,548,ALL,4.67,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
GREEN VALLEY,CD,99,2016,ALL,GREEN VALLEY,118,548,ALL,7.64,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
HOPI TRIBE,CD,99,2016,ALL,HOPI TRIBE,11,548,ALL,11.56,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
HUALAPAI TRIBE,CD,99,2016,ALL,HUALAPAI TRIBE,3,548,ALL,0,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
KINGMAN,CD,99,2016,ALL,KINGMAN,2,548,ALL,1.98,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
LAKE HAVASU CITY,CD,99,2016,ALL,LAKE HAVASU CITY,6,548,ALL,2.03,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
LAVEEN VILLAGE,CD,99,2016,ALL,LAVEEN VILLAGE,40,548,ALL,7.49,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
MARANA,CD,99,2016,ALL,MARANA,101,548,ALL,8.24,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
MARICOPA,CD,99,2016,ALL,MARICOPA,94,548,ALL,4.34,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
