Name,Domain,Indicator,Year,Month,NAME,GeogID,Measure,TType,Value,ts,measureName,indicatorName,contentAreaName
ARIZONA,CD,80,2019,ALL,*AZ Benchmark,ALL,428,ALL,47.74,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
AHWATUKEE FOOTHILLS VILLAGE,CD,80,2019,ALL,AHWATUKEE FOOTHILLS VILLAGE,42,428,ALL,59.93,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
AJO,CD,80,2019,ALL,AJO,102,428,ALL,78.2,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
ALHAMBRA VILLAGE,CD,80,2019,ALL,ALHAMBRA VILLAGE,35,428,ALL,61.01,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
ANTHEM,CD,80,2019,ALL,ANTHEM,51,428,ALL,41.32,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
APACHE JUNCTION,CD,80,2019,ALL,APACHE JUNCTION,70,428,ALL,24.08,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
AVONDALE,CD,80,2019,ALL,AVONDALE,64,428,ALL,34.52,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
BENSON,CD,80,2019,ALL,BENSON,121,428,ALL,17.07,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
BISBEE,CD,80,2019,ALL,BISBEE,124,428,ALL,13.12,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
BLACK CANYON CITY,CD,80,2019,ALL,BLACK CANYON CITY,22,428,ALL,24.32,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
BUCKEYE,CD,80,2019,ALL,BUCKEYE,53,428,ALL,10.51,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
BULLHEAD CITY,CD,80,2019,ALL,BULLHEAD CITY,5,428,ALL,21.93,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
CAMELBACK EAST VILLAGE,CD,80,2019,ALL,CAMELBACK EAST VILLAGE,34,428,ALL,50.48,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
CASA GRANDE,CD,80,2019,ALL,CASA GRANDE,97,428,ALL,59.18,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
CASAS ADOBES,CD,80,2019,ALL,CASAS ADOBES,105,428,ALL,48.86,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
CATALINA FOOTHILLS,CD,80,2019,ALL,CATALINA FOOTHILLS,99,428,ALL,13.62,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
