Name,Domain,Indicator,Year,GeogID,Race_Ethnicity,Gender,Age_Group,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName,Race_Ethnicitylabel,Genderlabel
COCHISE,CR,92,2012-2016,4003,ALL,ALL,ALL,ALL,488,4.51,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Esophageal Cancer per 100,000 population over a five year period",Incidence of Esophageal Cancer,Cancer,Any Race Ethnicity,Any Gender
COCONINO,CR,92,2012-2016,4005,ALL,ALL,ALL,ALL,488,4.05,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Esophageal Cancer per 100,000 population over a five year period",Incidence of Esophageal Cancer,Cancer,Any Race Ethnicity,Any Gender
GILA,CR,92,2012-2016,4007,ALL,ALL,ALL,ALL,488,4.25,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Esophageal Cancer per 100,000 population over a five year period",Incidence of Esophageal Cancer,Cancer,Any Race Ethnicity,Any Gender
MARICOPA,CR,92,2012-2016,4013,ALL,ALL,ALL,ALL,488,4.23,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Esophageal Cancer per 100,000 population over a five year period",Incidence of Esophageal Cancer,Cancer,Any Race Ethnicity,Any Gender
MOHAVE,CR,92,2012-2016,4015,ALL,ALL,ALL,ALL,488,4.62,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Esophageal Cancer per 100,000 population over a five year period",Incidence of Esophageal Cancer,Cancer,Any Race Ethnicity,Any Gender
NAVAJO,CR,92,2012-2016,4017,ALL,ALL,ALL,ALL,488,4.02,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Esophageal Cancer per 100,000 population over a five year period",Incidence of Esophageal Cancer,Cancer,Any Race Ethnicity,Any Gender
PIMA,CR,92,2012-2016,4019,ALL,ALL,ALL,ALL,488,4.34,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Esophageal Cancer per 100,000 population over a five year period",Incidence of Esophageal Cancer,Cancer,Any Race Ethnicity,Any Gender
PINAL,CR,92,2012-2016,4021,ALL,ALL,ALL,ALL,488,4.43,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Esophageal Cancer per 100,000 population over a five year period",Incidence of Esophageal Cancer,Cancer,Any Race Ethnicity,Any Gender
YAVAPAI,CR,92,2012-2016,4025,ALL,ALL,ALL,ALL,488,4.17,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Esophageal Cancer per 100,000 population over a five year period",Incidence of Esophageal Cancer,Cancer,Any Race Ethnicity,Any Gender
YUMA,CR,92,2012-2016,4027,ALL,ALL,ALL,ALL,488,4.75,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Esophageal Cancer per 100,000 population over a five year period",Incidence of Esophageal Cancer,Cancer,Any Race Ethnicity,Any Gender
ARIZONA,CR,92,2012-2016,ALL,ALL,ALL,ALL,ALL,488,4.3,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Esophageal Cancer per 100,000 population over a five year period",Incidence of Esophageal Cancer,Cancer,Any Race Ethnicity,Any Gender
