Name,Domain,Indicator,Year,GeogID,Race_Ethnicity,Gender,Age_Group,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName,Race_Ethnicitylabel,Genderlabel
APACHE,CR,73,2012-2016,4001,ALL,ALL,ALL,ALL,391,21.84,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
COCHISE,CR,73,2012-2016,4003,ALL,ALL,ALL,ALL,391,14.58,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
COCONINO,CR,73,2012-2016,4005,ALL,ALL,ALL,ALL,391,15.61,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
GILA,CR,73,2012-2016,4007,ALL,ALL,ALL,ALL,391,18.44,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
GRAHAM,CR,73,2012-2016,4009,ALL,ALL,ALL,ALL,391,19.41,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
LA PAZ,CR,73,2012-2016,4012,ALL,ALL,ALL,ALL,391,13.87,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
MARICOPA,CR,73,2012-2016,4013,ALL,ALL,ALL,ALL,391,14.82,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
MOHAVE,CR,73,2012-2016,4015,ALL,ALL,ALL,ALL,391,18.46,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
NAVAJO,CR,73,2012-2016,4017,ALL,ALL,ALL,ALL,391,18.24,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
PIMA,CR,73,2012-2016,4019,ALL,ALL,ALL,ALL,391,16.44,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
PINAL,CR,73,2012-2016,4021,ALL,ALL,ALL,ALL,391,16.35,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
SANTA CRUZ,CR,73,2012-2016,4023,ALL,ALL,ALL,ALL,391,18.29,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
YAVAPAI,CR,73,2012-2016,4025,ALL,ALL,ALL,ALL,391,15.2,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
YUMA,CR,73,2012-2016,4027,ALL,ALL,ALL,ALL,391,17.58,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
ARIZONA,CR,73,2012-2016,ALL,ALL,ALL,ALL,ALL,391,15.59,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period",Incidence of Kidney Cancer,Cancer,Any Race Ethnicity,Any Gender
