Name,Domain,Indicator,Year,GeogID,Race_Ethnicity,Gender,Age_Group,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName,Race_Ethnicitylabel,Genderlabel
APACHE,CR,20,2012-2016,4001,ALL,ALL,ALL,ALL,223,4.5,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
COCHISE,CR,20,2012-2016,4003,ALL,ALL,ALL,ALL,223,11.9,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
COCONINO,CR,20,2012-2016,4005,ALL,ALL,ALL,ALL,223,12.6,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
GILA,CR,20,2012-2016,4007,ALL,ALL,ALL,ALL,223,11.8,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
GRAHAM,CR,20,2012-2016,4009,ALL,ALL,ALL,ALL,223,19.6,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
MARICOPA,CR,20,2012-2016,4013,ALL,ALL,ALL,ALL,223,11.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
MOHAVE,CR,20,2012-2016,4015,ALL,ALL,ALL,ALL,223,13.9,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
NAVAJO,CR,20,2012-2016,4017,ALL,ALL,ALL,ALL,223,11.3,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
PIMA,CR,20,2012-2016,4019,ALL,ALL,ALL,ALL,223,11.6,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
PINAL,CR,20,2012-2016,4021,ALL,ALL,ALL,ALL,223,10.8,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
SANTA CRUZ,CR,20,2012-2016,4023,ALL,ALL,ALL,ALL,223,7.2,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
YAVAPAI,CR,20,2012-2016,4025,ALL,ALL,ALL,ALL,223,10.6,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
YUMA,CR,20,2012-2016,4027,ALL,ALL,ALL,ALL,223,11.3,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
ARIZONA,CR,20,2012-2016,ALL,ALL,ALL,ALL,ALL,223,11.2,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Leukemia per 100,000 population over a five year period",Incidence of Leukemia,Cancer,Any Race Ethnicity,Any Gender
