Name,Domain,Indicator,Year,GeogID,Race_Ethnicity,Gender,Age_Group,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName,Race_Ethnicitylabel,Genderlabel
APACHE,CR,74,2012-2016,4001,ALL,ALL,ALL,ALL,395,6.73,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
COCHISE,CR,74,2012-2016,4003,ALL,ALL,ALL,ALL,395,10.45,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
COCONINO,CR,74,2012-2016,4005,ALL,ALL,ALL,ALL,395,9.78,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
GILA,CR,74,2012-2016,4007,ALL,ALL,ALL,ALL,395,7.25,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
GRAHAM,CR,74,2012-2016,4009,ALL,ALL,ALL,ALL,395,10.67,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
LA PAZ,CR,74,2012-2016,4012,ALL,ALL,ALL,ALL,395,9.29,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
MARICOPA,CR,74,2012-2016,4013,ALL,ALL,ALL,ALL,395,7.17,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
MOHAVE,CR,74,2012-2016,4015,ALL,ALL,ALL,ALL,395,9.21,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
NAVAJO,CR,74,2012-2016,4017,ALL,ALL,ALL,ALL,395,9.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
PIMA,CR,74,2012-2016,4019,ALL,ALL,ALL,ALL,395,9.55,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
PINAL,CR,74,2012-2016,4021,ALL,ALL,ALL,ALL,395,8.15,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
SANTA CRUZ,CR,74,2012-2016,4023,ALL,ALL,ALL,ALL,395,12.29,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
YAVAPAI,CR,74,2012-2016,4025,ALL,ALL,ALL,ALL,395,5.94,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
YUMA,CR,74,2012-2016,4027,ALL,ALL,ALL,ALL,395,8.36,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
ARIZONA,CR,74,2012-2016,ALL,ALL,ALL,ALL,ALL,395,7.86,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period",Incidence of Liver Cancer,Cancer,Any Race Ethnicity,Any Gender
