Name,Domain,Indicator,Year,GeogID,Race_Ethnicity,Gender,Age_Group,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName,Race_Ethnicitylabel,Genderlabel
APACHE,CR,24,2012-2016,4001,ALL,ALL,ALL,ALL,225,11.9,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
COCHISE,CR,24,2012-2016,4003,ALL,ALL,ALL,ALL,225,13.2,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
COCONINO,CR,24,2012-2016,4005,ALL,ALL,ALL,ALL,225,15.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
GILA,CR,24,2012-2016,4007,ALL,ALL,ALL,ALL,225,12,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
GRAHAM,CR,24,2012-2016,4009,ALL,ALL,ALL,ALL,225,16.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
LA PAZ,CR,24,2012-2016,4012,ALL,ALL,ALL,ALL,225,12.2,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
MARICOPA,CR,24,2012-2016,4013,ALL,ALL,ALL,ALL,225,15.8,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
MOHAVE,CR,24,2012-2016,4015,ALL,ALL,ALL,ALL,225,17.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
NAVAJO,CR,24,2012-2016,4017,ALL,ALL,ALL,ALL,225,11.3,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
PIMA,CR,24,2012-2016,4019,ALL,ALL,ALL,ALL,225,15.3,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
PINAL,CR,24,2012-2016,4021,ALL,ALL,ALL,ALL,225,14,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
SANTA CRUZ,CR,24,2012-2016,4023,ALL,ALL,ALL,ALL,225,13.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
YAVAPAI,CR,24,2012-2016,4025,ALL,ALL,ALL,ALL,225,15.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
YUMA,CR,24,2012-2016,4027,ALL,ALL,ALL,ALL,225,17.2,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
ARIZONA,CR,24,2012-2016,ALL,ALL,ALL,ALL,ALL,225,15.4,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population over a five year period",Incidence of Non-Hodgkin's Lymphoma,Cancer,Any Race Ethnicity,Any Gender
