Name,Domain,Indicator,Year,GeogID,Race_Ethnicity,Gender,Age_Group,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName,Race_Ethnicitylabel,Genderlabel
COCHISE,CR,91,2012-2016,4003,ALL,ALL,ALL,ALL,484,9.42,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period",Incidence of Oral Cancer,Cancer,Any Race Ethnicity,Any Gender
COCONINO,CR,91,2012-2016,4005,ALL,ALL,ALL,ALL,484,9.93,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period",Incidence of Oral Cancer,Cancer,Any Race Ethnicity,Any Gender
GILA,CR,91,2012-2016,4007,ALL,ALL,ALL,ALL,484,6.91,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period",Incidence of Oral Cancer,Cancer,Any Race Ethnicity,Any Gender
GRAHAM,CR,91,2012-2016,4009,ALL,ALL,ALL,ALL,484,11.77,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period",Incidence of Oral Cancer,Cancer,Any Race Ethnicity,Any Gender
LA PAZ,CR,91,2012-2016,4012,ALL,ALL,ALL,ALL,484,14.7,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period",Incidence of Oral Cancer,Cancer,Any Race Ethnicity,Any Gender
MARICOPA,CR,91,2012-2016,4013,ALL,ALL,ALL,ALL,484,8.5,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period",Incidence of Oral Cancer,Cancer,Any Race Ethnicity,Any Gender
MOHAVE,CR,91,2012-2016,4015,ALL,ALL,ALL,ALL,484,13.16,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period",Incidence of Oral Cancer,Cancer,Any Race Ethnicity,Any Gender
NAVAJO,CR,91,2012-2016,4017,ALL,ALL,ALL,ALL,484,7.92,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period",Incidence of Oral Cancer,Cancer,Any Race Ethnicity,Any Gender
PIMA,CR,91,2012-2016,4019,ALL,ALL,ALL,ALL,484,9.22,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period",Incidence of Oral Cancer,Cancer,Any Race Ethnicity,Any Gender
PINAL,CR,91,2012-2016,4021,ALL,ALL,ALL,ALL,484,9.99,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period",Incidence of Oral Cancer,Cancer,Any Race Ethnicity,Any Gender
YAVAPAI,CR,91,2012-2016,4025,ALL,ALL,ALL,ALL,484,11.36,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period",Incidence of Oral Cancer,Cancer,Any Race Ethnicity,Any Gender
YUMA,CR,91,2012-2016,4027,ALL,ALL,ALL,ALL,484,9.35,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period",Incidence of Oral Cancer,Cancer,Any Race Ethnicity,Any Gender
ARIZONA,CR,91,2012-2016,ALL,ALL,ALL,ALL,ALL,484,9.08,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period",Incidence of Oral Cancer,Cancer,Any Race Ethnicity,Any Gender
