Name,Domain,Indicator,Year,GeogID,Race_Ethnicity,Gender,Age_Group,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName,Race_Ethnicitylabel
COCHISE,CR,142,2012-2016,4003,ALL,ALL,ALL,ALL,754,3.35,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Testicular Cancer per 100,000 population over a five year period",Incidence of Testicular Cancer (Males only),Cancer,Any Race Ethnicity
COCONINO,CR,142,2012-2016,4005,ALL,ALL,ALL,ALL,754,3.09,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Testicular Cancer per 100,000 population over a five year period",Incidence of Testicular Cancer (Males only),Cancer,Any Race Ethnicity
MARICOPA,CR,142,2012-2016,4013,ALL,ALL,ALL,ALL,754,2.51,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Testicular Cancer per 100,000 population over a five year period",Incidence of Testicular Cancer (Males only),Cancer,Any Race Ethnicity
MOHAVE,CR,142,2012-2016,4015,ALL,ALL,ALL,ALL,754,3.27,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Testicular Cancer per 100,000 population over a five year period",Incidence of Testicular Cancer (Males only),Cancer,Any Race Ethnicity
NAVAJO,CR,142,2012-2016,4017,ALL,ALL,ALL,ALL,754,3.85,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Testicular Cancer per 100,000 population over a five year period",Incidence of Testicular Cancer (Males only),Cancer,Any Race Ethnicity
PIMA,CR,142,2012-2016,4019,ALL,ALL,ALL,ALL,754,2.86,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Testicular Cancer per 100,000 population over a five year period",Incidence of Testicular Cancer (Males only),Cancer,Any Race Ethnicity
PINAL,CR,142,2012-2016,4021,ALL,ALL,ALL,ALL,754,2.19,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Testicular Cancer per 100,000 population over a five year period",Incidence of Testicular Cancer (Males only),Cancer,Any Race Ethnicity
YAVAPAI,CR,142,2012-2016,4025,ALL,ALL,ALL,ALL,754,2.04,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Testicular Cancer per 100,000 population over a five year period",Incidence of Testicular Cancer (Males only),Cancer,Any Race Ethnicity
YUMA,CR,142,2012-2016,4027,ALL,ALL,ALL,ALL,754,2.34,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Testicular Cancer per 100,000 population over a five year period",Incidence of Testicular Cancer (Males only),Cancer,Any Race Ethnicity
ARIZONA,CR,142,2012-2016,ALL,ALL,ALL,ALL,ALL,754,2.61,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Testicular Cancer per 100,000 population over a five year period",Incidence of Testicular Cancer (Males only),Cancer,Any Race Ethnicity
