Name,Domain,Indicator,Year,GeogID,Race_Ethnicity,Gender,Age_Group,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName,Race_Ethnicitylabel,Genderlabel
APACHE,CR,25,2012-2016,4001,ALL,ALL,ALL,ALL,226,11.2,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
COCHISE,CR,25,2012-2016,4003,ALL,ALL,ALL,ALL,226,10.9,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
COCONINO,CR,25,2012-2016,4005,ALL,ALL,ALL,ALL,226,17.2,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
GILA,CR,25,2012-2016,4007,ALL,ALL,ALL,ALL,226,13.6,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
GRAHAM,CR,25,2012-2016,4009,ALL,ALL,ALL,ALL,226,15.3,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
MARICOPA,CR,25,2012-2016,4013,ALL,ALL,ALL,ALL,226,15.3,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
MOHAVE,CR,25,2012-2016,4015,ALL,ALL,ALL,ALL,226,9.6,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
NAVAJO,CR,25,2012-2016,4017,ALL,ALL,ALL,ALL,226,15.1,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
PIMA,CR,25,2012-2016,4019,ALL,ALL,ALL,ALL,226,13.4,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
PINAL,CR,25,2012-2016,4021,ALL,ALL,ALL,ALL,226,12.7,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
SANTA CRUZ,CR,25,2012-2016,4023,ALL,ALL,ALL,ALL,226,13.4,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
YAVAPAI,CR,25,2012-2016,4025,ALL,ALL,ALL,ALL,226,14.6,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
YUMA,CR,25,2012-2016,4027,ALL,ALL,ALL,ALL,226,9,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
ARIZONA,CR,25,2012-2016,ALL,ALL,ALL,ALL,ALL,226,14.3,2020-09-25T12:31:12.137,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population over a five year period",Incidence of Thyroid Cancers,Cancer,Any Race Ethnicity,Any Gender
