Name,Domain,Indicator,Year,Month,GeogID,NAME,Measure,WellsAbove,Range,MCL,Value,ts,measureName,indicatorName,contentAreaName
AGF,DWQ,631,1993-2017,ALL,AGF,AGUA FRIA,60483,25.00%,2-2250,10 mcg/L,20,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
ARIZONA,DWQ,631,1993-2017,ALL,ALL,*AZ Benchmark,60483,N/A,N/A,10 mcg/L,864,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
ARA,DWQ,631,1993-2017,ALL,ARA,ARAVAIPA CANYON,60483,0.00%,0.5,10 mcg/L,10,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
AVR,DWQ,631,1993-2017,ALL,AVR,AVRA VALLEY,60483,3.20%,.5-16,10 mcg/L,31,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
BIS,DWQ,631,1993-2017,ALL,BIS,BIG SANDY,60483,15.00%,2-47.5,10 mcg/L,40,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
BUT,DWQ,631,1993-2017,ALL,BUT,BUTLER VALLEY,60483,0.00%,.5-5.8,10 mcg/L,5,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
YUM,DWQ,631,1993-2017,ALL,YUM,YUMA,60483,7.70%,5-13,10 mcg/L,26,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
TON,DWQ,631,1993-2017,ALL,TON,TONTO CREEK,60483,25.00%,.5-66.5,10 mcg/L,16,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
UHA,DWQ,631,1993-2017,ALL,UHA,UPPER HASSAYAMPA,60483,0.00%,.5-10,10 mcg/L,21,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
USC,DWQ,631,1993-2017,ALL,USC,UPPER SANTA CRUZ,60483,15.20%,1-46,10 mcg/L,33,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
VRG,DWQ,631,1993-2017,ALL,VRG,VIRGIN RIVER,60483,29.40%,5-107,10 mcg/L,17,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
WIL,DWQ,631,1993-2017,ALL,WIL,WILLCOX,60483,22.20%,2-740,10 mcg/L,36,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
WMD,DWQ,631,1993-2017,ALL,WMD,WESTERN MEXICAN DRAINAGE,60483,25.00%,.3-29,10 mcg/L,4,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
SBV,DWQ,631,1993-2017,ALL,SBV,SAN BERNARDINO VALLEY,60483,0.00%,0.5,10 mcg/L,13,2020-01-13T15:12:25.757,Arsenic Well Tests,Private Well Sampling,Drinking Water Quality
