source,unit,location_name,location_type,variable_name,variable_desc,collected_on,value,medium
CO School of Mines,,UPPER_REFERENCE,station,ACENTR,Ephemeroptera Baetidae Acentrella,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,BAETIS,Ephemeroptera Baetidae Baetis,2011-11-15 07:00:00,193.6,water
CO School of Mines,,UPPER_REFERENCE,station,DIPHAG,Ephemeroptera Baetidae Diphetor,2011-11-15 07:00:00,1.2,water
CO School of Mines,,UPPER_REFERENCE,station,DRUDOD,Ephemeroptera Ephemerellidae Drunella,2011-11-15 07:00:00,9.2,water
CO School of Mines,,UPPER_REFERENCE,station,DRUGRACOL,Ephemeroptera Ephemerellidae Drunella,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,EPHEM,Ephemeroptera Ephemerellidae Ephemerella,2011-11-15 07:00:00,22.2,water
CO School of Mines,,UPPER_REFERENCE,station,SERRAT,Ephemeroptera Ephemerellidae Serratella,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,CINYGM,Ephemeroptera Heptageniidae Cinygmula,2011-11-15 07:00:00,11.0,water
CO School of Mines,,UPPER_REFERENCE,station,EPEORUS,Ephemeroptera Heptageniidae Epeorus,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,RHITHR,Ephemeroptera Heptageniidae Rhithrogena,2011-11-15 07:00:00,8.6,water
CO School of Mines,,UPPER_REFERENCE,station,PARALE,Ephemeroptera Leptophlebiidae Paraleptophlebia,2011-11-15 07:00:00,2.4,water
CO School of Mines,,UPPER_REFERENCE,station,AMELT,Ephemeroptera Ameletidae Ameletus,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,HEPTAG,Ephemeroptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,AMPHIN,Plecoptera Nemouridae Amphinermura,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,CAPNIA,Plecoptera Capniidae Capnia,2011-11-15 07:00:00,20.4,water
CO School of Mines,,UPPER_REFERENCE,station,PRO/POD,Plecoptera Nemouridae Prostoia/Podmosta,2011-11-15 07:00:00,367.6,water
CO School of Mines,,UPPER_REFERENCE,station,ZAPADA,Plecoptera Nemouridae Zapada,2011-11-15 07:00:00,6.8,water
CO School of Mines,,UPPER_REFERENCE,station,TAENIO,Plecoptera Taeniopterygidae Taenionema,2011-11-15 07:00:00,116.2,water
CO School of Mines,,UPPER_REFERENCE,station,ALLOPE,Plecoptera Chloroperlidae Alloperla,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,SUWALL,Plecoptera Chloroperlidae Suwallia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,SWELTSA,Plecoptera Chloroperlidae Sweltsa,2011-11-15 07:00:00,7.0,water
CO School of Mines,,UPPER_REFERENCE,station,CLAASS,Plecoptera Perlidae Claassenia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,SKWALA,Plecoptera Perlodidae Skwala,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,HESPERO,Plecoptera Perlidae Hesperoperla,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,CHLORO,Plecoptera,2011-11-15 07:00:00,9.0,water
CO School of Mines,,UPPER_REFERENCE,station,ISOPERLA,Plecoptera Perlodidae Isoperla,2011-11-15 07:00:00,8.2,water
CO School of Mines,,UPPER_REFERENCE,station,TRISIG,Plecoptera Chloroperlidae Triznaka,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,PARALEU,Plecoptera Leuctridae Paraleuctra,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,LEUCSP,Plecoptera,2011-11-15 07:00:00,5.2,water
CO School of Mines,,UPPER_REFERENCE,station,PERLOD,Plecoptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,EUCAPN,Plecoptera Capniidae Eucapnopsis,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,MEGSIG,Plecoptera Perlodidae Megarcys,2011-11-15 07:00:00,1.0,water
CO School of Mines,,UPPER_REFERENCE,station,DIUKNO,Plecoptera Perlodidae Diura,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,DODSII,Plecoptera Taeniopterygidae Doddsia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,UTACAP,Plecoptera Capniidae Utacapnia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,BRACHY,Trichoptera Brachycentridae Brachycentrus,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,MICRAS,Trichoptera Brachycentridae Micrasema,2011-11-15 07:00:00,2.0,water
CO School of Mines,,UPPER_REFERENCE,station,ARCGRA,Trichoptera Hydropsychidae Arctopsyche,2011-11-15 07:00:00,4.4,water
CO School of Mines,,UPPER_REFERENCE,station,HYDROPS,Trichoptera Hydropsychidae Hydropsyche,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,LEPIDO,Trichoptera Lepidostomatidae Lepidostoma,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,GLOSSO,Trichoptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,RHYACOP,Trichoptera Rhyacophilidae Rhyacophila,2011-11-15 07:00:00,132.0,water
CO School of Mines,,UPPER_REFERENCE,station,ALLOYM,Trichoptera Apataniidae Allomyia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,NEOTRH,Trichoptera Uenoidae Neothremma,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,HYDROPT,Trichoptera Hydroptilidae Hydroptila,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,LIMNEPH,Trichoptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,CHIRON,Diptera Chironomidae Chironomini (tribe),2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,TANYTA,Diptera Chironomidae Tanytarsini (tribe),2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,ORTHOC,Diptera Chironomidae Orthocladiinae (subfamily),2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,TANYPO,Diptera Chironomidae Tanypodinae (subfamily),2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,DIAMES,Diptera Chironomidae Diamesinae (subfamily),2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,CHIROD,Diptera,2011-11-15 07:00:00,60.8,water
CO School of Mines,,UPPER_REFERENCE,station,ATHERIX,Diptera Athericidae Atherix,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,BEZZIA,Diptera Ceratopogonidae Bezzia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,CLINOC,Diptera Empididae Clinocera,2011-11-15 07:00:00,0.0,water
