STREAM,DATE,STATION,REP,#GRIDS,ACENTR,BAETIS,DIPHAG,DRUDOD,DRUGRACOL,EPHEM,SERRAT,CINYGM,EPEORUS,RHITHR,PARALE,AMELT,HEPTAG,AMPHIN,CAPNIA,PRO/POD,ZAPADA,TAENIO,ALLOPE,SUWALL,SWELTSA,CLAASS,SKWALA,HESPERO,CHLORO,ISOPERLA,TRISIG,PARALEU,LEUCSP,PERLOD,EUCAPN,MEGSIG,DIUKNO,DODSII,UTACAP,BRACHY,MICRAS,ARCGRA,HYDROPS,LEPIDO,GLOSSO,RHYACOP,ALLOYM,NEOTRH,HYDROPT,LIMNEPH,CHIRON,TANYTA,ORTHOC,TANYPO,DIAMES,CHIROD,ATHERIX,BEZZIA,CLINOC,CHELIF,CERATO,PERICO,SIMULD,ANTOCH,DICRAN,HEXATO,TIPULA,HESPER,NEOPLA,WIEDEM,BIBIOC,RHABDO,PROTAN,EMPIDID,HEMERO,LIMNOP,ORMOSIA,DEUTERO,MUSCID,HETCOR,NARPUS,ZAITZE,HYDRAC,DYTISC,OLIGOC,POLYCE,NEMATO,COLLUM,ISOPOD,PETROPH,,Total,Taxa,EPT Total,EPT Rich,Avg Total ,Avg Taxa Rich,Avg EPT Total,Avg EPT Rich,,,,,,,,,,
NFCC,11/15/11,UPPER REFERENCE,1,5,0,254,0,10,0,19,0,24,0,24,5,0,0,0,48,538,5,259,0,0,5,0,0,0,19,14,0,0,14,0,0,0,0,0,0,0,5,10,0,0,0,221,0,0,0,0,0,0,0,0,0,67,0,0,0,0,5,24,0,0,0,5,0,0,0,0,0,0,0,14,0,0,0,0,0,96,0,0,0,0,10,0,0,0,0,0,,1694,24,1474,17,,,,,,,,,,,,,,
NFCC,11/15/11,UPPER REFERENCE,2,11,0,135,0,4,0,33,0,4,0,0,0,0,0,0,4,240,0,61,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,109,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,100,0,0,4,0,4,0,0,0,0,0,,805,18,609,12,,,,,,,,,,,,,,
NFCC,11/15/11,UPPER REFERENCE,3,10,0,158,0,7,0,10,0,5,0,7,0,0,0,0,7,422,7,96,0,0,5,0,0,0,5,7,0,0,5,0,0,2,0,0,0,0,5,5,0,0,0,91,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,43,0,0,2,0,0,0,0,0,0,0,,910,22,845,17,,,,,,,,,,,,,,
NFCC,11/15/11,UPPER REFERENCE,4,7,0,189,3,17,0,41,0,14,0,7,7,0,0,0,24,377,14,69,0,0,21,0,0,0,14,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,82,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,103,0,0,7,0,0,7,0,0,0,0,,1197,22,953,15,,,,,,,,,,,,,,
NFCC,11/15/11,UPPER REFERENCE,5,9,0,232,3,8,0,8,0,8,0,5,0,0,0,0,19,261,8,96,0,0,0,0,0,0,3,16,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,88,0,0,0,0,0,0,0,0,0,69,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,35,0,0,0,0,5,3,0,0,0,0,,909,22,760,15,1103,22,928,15,,,,,,,,,,
NFCC,11/15/11,PUMPHOUSE,1,12,0,246,0,0,0,8,0,0,2,2,0,0,0,0,12,214,4,58,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,,620,16,584,12,,,,,,,,,,,,,,
NFCC,11/15/11,PUMPHOUSE,2,22,0,86,1,0,0,8,0,1,0,0,0,0,0,0,28,170,2,46,0,0,3,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,,481,18,401,13,,,,,,,,,,,,,,
NFCC,11/15/11,PUMPHOUSE,3,6,0,284,0,0,0,12,0,8,20,8,0,0,0,0,8,128,20,28,0,0,0,0,0,0,44,0,0,0,0,0,28,0,0,0,0,0,0,0,4,4,0,68,0,0,0,0,0,236,72,0,0,0,0,8,0,0,0,108,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,96,0,0,4,0,140,0,0,0,0,0,,1340,23,664,14,,,,,,,,,,,,,,
NFCC,11/15/11,PUMPHOUSE,4,11,0,105,0,0,0,20,0,0,0,0,0,0,0,0,48,240,2,70,0,0,20,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,7,0,2,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,,713,16,561,10,,,,,,,,,,,,,,
NFCC,11/15/11,PUMPHOUSE,5,10,0,245,2,2,0,14,0,2,2,12,0,0,0,0,41,214,2,139,0,0,2,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,94,0,0,0,0,0,0,0,0,0,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,,869,20,794,16,805,19,601,13,,,,,,,,,,
