header,order,family,genus,species
ACENTR,Ephemeroptera ,Baetidae,Acentrella,spp.
BAETIS,Ephemeroptera ,Baetidae,Baetis,spp.
DIPHAG,Ephemeroptera ,Baetidae,Diphetor ,hageni
DRUDOD,Ephemeroptera ,Ephemerellidae ,Drunella ,dodsii
DRUGRACOL,Ephemeroptera ,Ephemerellidae ,Drunella ,grandis/coloradensis
EPHEM,Ephemeroptera ,Ephemerellidae ,Ephemerella,spp.
SERRAT,Ephemeroptera ,Ephemerellidae ,Serratella ,spp.
CINYGM,Ephemeroptera ,Heptageniidae ,Cinygmula ,spp.
EPEORUS,Ephemeroptera ,Heptageniidae ,Epeorus ,spp.
RHITHR,Ephemeroptera ,Heptageniidae ,Rhithrogena ,spp.
PARALE,Ephemeroptera ,Leptophlebiidae,Paraleptophlebia,spp.
AMELT,Ephemeroptera ,Ameletidae,Ameletus ,spp.
HEPTAG,Ephemeroptera ,Heptageniidae ,,
AMPHIN,Plecoptera ,Nemouridae,Amphinermura,banksi
CAPNIA,Plecoptera ,Capniidae,Capnia ,spp.
PRO/POD,Plecoptera ,Nemouridae,Prostoia/Podmosta,spp.
ZAPADA,Plecoptera ,Nemouridae,Zapada,spp.
TAENIO,Plecoptera ,Taeniopterygidae,Taenionema ,pallidium 
ALLOPE,Plecoptera ,Chloroperlidae ,Alloperla ,pilosa
SUWALL,Plecoptera ,Chloroperlidae ,Suwallia,spp.
SWELTSA,Plecoptera ,Chloroperlidae ,Sweltsa ,spp.
CLAASS,Plecoptera ,Perlidae,Claassenia,sabulosa
SKWALA,Plecoptera ,Perlodidae ,Skwala,americana
HESPERO,Plecoptera ,Perlidae,Hesperoperla ,pacifica
CHLORO,Plecoptera ,Chloroperlidae ,,
ISOPERLA,Plecoptera ,Perlodidae ,Isoperla,spp.
TRISIG,Plecoptera ,Chloroperlidae ,Triznaka ,spp.
PARALEU,Plecoptera ,Leuctridae ,Paraleuctra ,spp.
LEUCSP,Plecoptera ,Leuctridae ,,
PERLOD,Plecoptera ,Perlodidae ,,
EUCAPN,Plecoptera ,Capniidae,Eucapnopsis,brevicauda
MEGSIG,Plecoptera ,Perlodidae ,Megarcys ,signata
DIUKNO,Plecoptera ,Perlodidae ,Diura ,knowltoni
DODSII,Plecoptera ,Taeniopterygidae,Doddsia,occidentalis
UTACAP,Plecoptera ,Capniidae,Utacapnia,spp.
BRACHY,Trichoptera ,Brachycentridae,Brachycentrus ,spp.
MICRAS,Trichoptera ,Brachycentridae,Micrasema ,bactro
ARCGRA,Trichoptera ,Hydropsychidae,Arctopsyche ,grandis
HYDROPS,Trichoptera ,Hydropsychidae,Hydropsyche ,spp.
LEPIDO,Trichoptera ,Lepidostomatidae ,Lepidostoma ,spp.
GLOSSO,Trichoptera ,Glossosomatidae,,
