measurement,dl_mg_l,ref1_fa1,ref1_ra1,railless_fa1,railless_ra1,arg_fa1,arg_ra1
Al 308.215-A,0.0205,,,0.1002,1.3597,0.239,0.5701
As 188.979-A*,0.0047,,,,,,
B 249.772-R,0.0459,,,,0.065,,
Ba 233.527-A*,0.0001,0.0288,0.029,0.0267,0.0379,0.0295,0.0299
Be 313.107-R,0.0002,,,0.0006,0.0008,0.0007,0.0009
Ca 315.887-R*,0.0064,9.6661,9.6971,80.5908,81.0941,79.0758,77.1257
Cd 214.440-A,0.0001,,,0.0053,0.0057,0.0053,0.0057
Co 228.616-A,0.0002,,,0.0338,0.0343,0.0279,0.0279
Cr 205.560-A,0.0003,,,,,,
Cu 324.752-A,0.0011,,,0.0384,0.1312,0.0723,0.1444
Fe 238.204-A,0.0003,0.0052,0.0209,15.6539,22.8914,11.3049,18.9577
K 766.490-R,0.0323,1.1535,1.1344,3.7538,4.0669,3.7658,3.7455
Li 670.784-R,0.0014,0.003,0.0022,0.0121,0.0133,0.0119,0.0123
Mg 279.553-R,0.0001,3.0315,3.0369,24.2438,24.4667,23.6942,23.6584
Mg 285.213-R,0.0014,2.9593,2.9629,24.4989,25.1572,24.4691,23.9802
Mn 257.610-A*,0,0.0026,0.0025,6.875,6.8749,5.9398,5.8559
Na 589.592-R,0.1345,5.6591,5.6624,26.2665,26.4264,26.8574,26.8991
Ni 231.604-A,0.0005,,,0.0593,0.059,0.055,0.0552
P 177.434-A,0.0106,,,0.0182,0.0486,0.0299,0.0318
Pb 220.353-A,0.002,,,0.0039,0.0379,0.0034,0.0109
S 180.669-A,0.0276,3.4958,3.4732,112.4056,111.9122,106.9511,107.11
Se 196.026-A,0.01,,,,,,
Si 251.611-A*,0.0114,4.5352,4.7704,7.2222,9.8367,7.495,8.1825
Sr 407.771-R*,0.0001,0.0769,0.0772,0.5755,0.5802,0.5653,0.5663
Tl 190.801-A,0.0018,,,,,,
V 292.402-A*,0.0008,,,0.0012,0.004,,0.0021
Zn 213.857-A,0.0003,0.0037,0.0034,2.2125,2.2599,2.1908,2.2128
Sn 189.927,0.0017,,,,,,
Mo 202.031,0.001,,0.0016,,,,
Sb 217.582,0.0051,,,,,,
Ti 334.940,0.0002,,,,0.0493,,
Sc 357.634-A,0.0022,95.8322,,93.0814,96.2136,96.7991,96.2906
Ar 420.069-A,0.0001,100.3881,,100.5412,100.4628,100.8072,100.5331
