measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2
Al 308.215-A,0.0205,,,,,0.0294,0.0318,0.0306,0.0017,0.025,0.0215,0.0233,0.0025,0.3765,0.3861,0.3813,0.0068,0.034,0.0371,0.0356,0.0022,0.4215,0.4284,0.425,0.0049,0.0353,0.0399,0.0376,0.0033,0.4132,0.4169,0.4151,0.0026,0.0387,0.0393,0.039,0.0004,0.5416,0.4727,0.5072,0.0487,0.0269,0.021,0.024,0.0042,0.2034,0.2023,0.2029,0.0008
As 188.979-A*,0.0047,0.0102,0.0087,0.0095,0.0011,0.0105,0.0102,0.0104,0.0002,0.0064,0.0063,0.0064,0.0001,,0.0058,0.0058,,0.0099,0.0109,0.0104,0.0007,0.014,0.0059,0.01,0.0057,,,,,,,,,,,,,,,,,,,,,,,,
B 249.772-R,0.0459,,,,,0.1048,0.0721,0.0885,0.0231,0.1091,0.094,0.1016,0.0107,0.2207,0.1724,0.1966,0.0342,0.1135,0.1061,0.1098,0.0052,0.1203,0.1142,0.1173,0.0043,0.1791,0.1432,0.1612,0.0254,0.1422,0.1276,0.1349,0.0103,0.0468,,0.0468,,0.078,0.0681,0.0731,0.007,0.0601,0.0497,0.0549,0.0074,0.0541,0.0481,0.0511,0.0042
Ba 233.527-A*,0.0001,0.033,0.0331,0.0331,0.0001,0.0331,0.0331,0.0331,0.0,0.0289,0.0289,0.0289,0.0,0.0293,0.0295,0.0294,0.0001,0.0262,0.0265,0.0264,0.0002,0.0273,0.0276,0.0275,0.0002,0.0246,0.0244,0.0245,0.0001,0.0253,0.0252,0.0253,0.0001,0.0265,0.0263,0.0264,0.0001,0.0281,0.0276,0.0279,0.0004,0.0292,0.029,0.0291,0.0001,0.0301,0.03,0.0301,0.0001
Be 313.107-R,0.0002,,,,,,,,,0.0002,0.0003,0.0003,0.0001,0.0008,0.0008,0.0008,0.0,0.0003,0.0004,0.0004,0.0001,0.0007,0.0014,0.0011,0.0005,,,,,0.0004,0.0008,0.0006,0.0003,0.0004,0.0003,0.0004,0.0001,0.0009,0.0004,0.0007,0.0004,,,,,,,,
Ca 315.887-R*,0.0064,11.1354,11.1545,11.145,0.0135,11.2214,11.2581,11.2398,0.026,61.5736,59.8266,60.7001,1.2353,59.4766,58.6935,59.0851,0.5537,73.3335,74.5486,73.9411,0.8592,73.7535,74.3044,74.029,0.3895,71.0354,72.8602,71.9478,1.2903,73.3466,72.0318,72.6892,0.9297,65.6578,65.1856,65.4217,0.3339,66.1513,65.5131,65.8322,0.4513,61.324,59.7512,60.5376,1.1121,58.8996,60.1844,59.542,0.9085
Cd 214.440-A,0.0001,,,,,,,,,0.0031,0.0032,0.0032,0.0001,0.0037,0.0037,0.0037,0.0,0.0047,0.0047,0.0047,0.0,0.0052,0.006,0.0056,0.0006,0.0049,0.0047,0.0048,0.0001,0.0053,0.0054,0.0054,0.0001,0.0042,0.0043,0.0043,0.0001,0.0049,0.0047,0.0048,0.0001,0.0022,0.0021,0.0022,0.0001,0.0028,0.0028,0.0028,0.0
Co 228.616-A,0.0002,,,,,,0.0003,0.0003,,0.0237,0.0239,0.0238,0.0001,0.0234,0.0238,0.0236,0.0003,0.0268,0.027,0.0269,0.0001,0.0272,0.0279,0.0276,0.0005,0.0241,0.0243,0.0242,0.0001,0.0249,0.0247,0.0248,0.0001,0.0165,0.0165,0.0165,0.0,0.0167,0.0164,0.0166,0.0002,0.0071,0.0071,0.0071,0.0,0.0075,0.0075,0.0075,0.0
Cr 205.560-A,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu 324.752-A,0.0011,,0.0017,0.0017,,,0.0014,0.0014,,0.0037,0.0034,0.0036,0.0002,0.069,0.0705,0.0698,0.0011,0.0178,0.019,0.0184,0.0008,0.1053,0.107,0.1062,0.0012,0.0259,0.0265,0.0262,0.0004,0.1099,0.1113,0.1106,0.001,0.0202,0.02,0.0201,0.0001,0.1223,0.1156,0.119,0.0047,0.006,0.0063,0.0062,0.0002,0.0353,0.0368,0.0361,0.0011
Fe 238.204-A,0.0003,,,,,0.0187,0.0224,0.0206,0.0026,17.8883,18.1493,18.0188,0.1846,24.046,23.94,23.993,0.075,13.2137,13.5632,13.3885,0.2471,21.6508,21.507,21.5789,0.1017,11.7257,11.5189,11.6223,0.1462,19.1318,19.433,19.2824,0.213,3.901,3.9715,3.9363,0.0499,15.6276,13.8634,14.7455,1.2475,0.0204,0.0182,0.0193,0.0016,3.4098,3.5641,3.487,0.1091
K 766.490-R,0.0323,1.2578,1.2574,1.2576,0.0003,1.189,1.203,1.196,0.0099,2.7424,2.6359,2.6892,0.0753,2.6762,2.6061,2.6412,0.0496,3.4698,3.4992,3.4845,0.0208,3.476,3.4899,3.483,0.0098,3.2877,3.4369,3.3623,0.1055,3.4645,3.3684,3.4165,0.068,3.2643,3.3197,3.292,0.0392,3.4441,3.3074,3.3758,0.0967,4.9024,4.8018,4.8521,0.0711,4.7929,4.8655,4.8292,0.0513
Li 670.784-R,0.0014,,,,,0.0018,0.004,0.0029,0.0016,0.0119,0.0078,0.0099,0.0029,0.0113,0.0088,0.0101,0.0018,0.0109,0.0139,0.0124,0.0021,0.0111,0.0141,0.0126,0.0021,0.0118,0.0115,0.0117,0.0002,0.0123,0.0121,0.0122,0.0001,0.0138,0.0104,0.0121,0.0024,0.0108,0.0098,0.0103,0.0007,0.0108,0.0099,0.0104,0.0006,0.0098,0.0097,0.0098,0.0001
