measurement,dl_mg_l,ref_1_fa1,ref_1_fa2,ref_1_avg_1,ref_1_stdev_1,ref_1_ra1,ref_1_ra2,ref_1_avg_2,ref_1_stdev_2,ref_2_fa1,ref_2_fa2,ref_2_avg_1,ref_2_stdev_1,ref_2_ra1,ref_2_ra2,ref_2_avg_2,ref_2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_arg_r,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2
Al 308.215-A,0.0205,0.0244,,0.0244,,0.0329,0.0347,0.0338,0.0013,,,,,0.0908,0.1017,0.0963,0.0077,,,,,0.1036,0.0816,0.0926,0.0156,,,,,0.1034,0.1126,0.108,0.0065,1.759,1.7634,1.7612,0.0031,2.1625,1.9614,2.062,0.1422,,,,,0.2882,0.2877,0.288,0.0004,,0.0293,0.0293,,0.2419,0.2677,0.2562,0.2553,0.0129,,,,,3.1505,3.0525,3.1015,0.0693
As 188.979-A*,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0051,0.0051,,,,,,,,,,0.0053,,0.0053,,,,,,,,,,,,,,,,,,,,,,
B 249.772-R,0.0459,,,,,,,,,,,,,,,,,,,,,,0.0468,0.0468,,,,,,,,,,0.3653,0.5506,0.458,0.131,0.3889,0.3845,0.3867,0.0031,,,,,,,,,,,,,,0.049,,0.049,,,,,,0.1065,0.1089,0.1077,0.0017
Ba 233.527-A*,0.0001,0.0246,0.0244,0.0245,0.0001,0.0224,0.0232,0.0228,0.0006,0.0218,0.0239,0.0229,0.0015,0.0256,0.0244,0.025,0.0008,0.0217,0.0216,0.0217,0.0001,0.0255,0.0251,0.0253,0.0003,0.0205,0.0211,0.0208,0.0004,0.0213,0.0246,0.023,0.0023,0.01,0.0113,0.0107,0.0009,0.009,0.0096,0.0093,0.0004,0.0214,0.022,0.0217,0.0004,0.0218,0.0227,0.0223,0.0006,0.0202,0.0239,0.0221,0.0026,0.0228,0.0249,0.0234,0.0237,0.0011,0.0183,0.0184,0.0184,0.0001,0.0556,0.0557,0.0557,0.0001
Be 313.107-R,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007,0.0007,,0.0047,0.0045,0.0046,0.0001,0.0022,0.0047,0.0035,0.0018,,0.0004,0.0004,,0.0003,0.0003,0.0003,0.0,,,,,,,0.0002,0.0002,,,,,,0.0016,0.0016,0.0016,0.0
Ca 315.887-R*,0.0064,7.6778,7.6686,7.6732,0.0065,7.5711,7.7228,7.647,0.1073,8.6865,8.7202,8.7034,0.0238,9.0882,8.975,9.0316,0.08,10.2698,10.2422,10.256,0.0195,10.4538,10.3232,10.3885,0.0923,18.7405,18.8815,18.811,0.0997,18.4165,18.5064,18.4615,0.0636,251.911,249.1663,250.5387,1.9408,248.5282,258.8425,253.6854,7.2933,32.7491,33.1737,32.9614,0.3002,33.3031,34.1394,33.7213,0.5914,32.9436,33.9417,33.4427,0.7058,33.7772,34.2238,33.9149,33.972,0.2287,38.601,37.7879,38.1945,0.5749,41.1112,40.8289,40.9701,0.1996
Cd 214.440-A,0.0001,,,,,,,,,,0.0003,0.0003,,0.0002,,0.0002,,,,,,0.0004,0.0005,0.0005,0.0001,0.0006,0.0005,0.0006,0.0001,,0.0028,0.0028,,0.0139,0.0144,0.0142,0.0004,0.0138,0.0139,0.0139,0.0001,0.0015,0.0015,0.0015,0.0,0.0022,0.002,0.0021,0.0001,,0.0018,0.0018,,0.0019,0.0025,0.0019,0.0021,0.0003,,,,,0.0089,0.0089,0.0089,0.0
Co 228.616-A,0.0002,,,,,,,,,,,,,,0.0006,0.0006,,,0.0005,0.0005,,,,,,0.0029,0.0034,0.0032,0.0004,0.0009,0.0048,0.0029,0.0028,0.1281,0.1291,0.1286,0.0007,0.122,0.1257,0.1239,0.0026,0.0098,0.01,0.0099,0.0001,0.0099,0.0102,0.0101,0.0002,0.005,0.0077,0.0064,0.0019,0.008,0.0077,0.0079,0.0079,0.0002,0.0033,0.0016,0.0025,0.0012,0.0132,0.0135,0.0134,0.0002
Cr 205.560-A,0.0003,,,,,,,,,,0.0004,0.0004,,,,,,,,,,,,,,,,,,,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019,0.0017,0.0018,0.0001
Cu 324.752-A,0.0011,0.0041,0.0017,0.0029,0.0017,,,,,,0.0026,0.0026,,0.0051,0.0033,0.0042,0.0013,,0.0043,0.0043,,0.0104,0.0092,0.0098,0.0008,0.0048,0.0048,0.0048,0.0,0.0218,0.0301,0.026,0.0059,0.3896,0.3862,0.3879,0.0024,0.3956,0.3848,0.3902,0.0076,0.0065,0.0061,0.0063,0.0003,0.0603,0.06,0.0602,0.0002,,0.0045,0.0045,,0.0545,0.059,0.0566,0.0567,0.0023,0.0038,0.002,0.0029,0.0013,0.3259,0.319,0.3225,0.0049
