measurement,dl_mg_l,ref2_ra1,ref2_ra2,ref2_avg_1,ref2_stdev_1,ref2_0_45fa1,ref2_0_45fa2,ref2_avg_2,ref2_stdev_2,ref2_0_02fa1,ref2_0_02fa2,ref2_avg_3,ref2_stdev_3,ant_ra1,ant_ra2,ant_avg_1,ant_stdev_1,ant_ant_2s_1,ant_ant_2s_2,ant_avg_2,ant_stdev_2,ant_0_45fa1,ant_0_45fa2,ant_avg_3,ant_stdev_3,ant_0_02fa1,ant_0_02fa2,ant_avg_4,ant_stdev_4,nt_ra1,nt_ra2,nt_avg,nt_stdev,rap_ra1,rap_ra2,rap_avg_1,rap_stdev_1,rap_rap_2s_1,rap_rap_2s_2,rap_avg_2,rap_stdev_2,rap_0_45fa1,rap_0_45fa2,rap_avg_3,rap_stdev_3,rap_0_02fa1,rap_0_02fa2,rap_avg_4,rap_stdev_4,wtp_ra1,wtp_ra2,wtp_avg_1,wtp_stdev_1,wtp_0_45fa1,wtp_0_45fa2,wtp_avg_2,wtp_stdev_2,rbp_ra1,rbp_ra2,rbp_avg_1,rbp_stdev_1,rbp_0_45fa1,rbp_0_45fa2,rbp_avg_2,rbp_stdev_2,rbp_0_02fa1,rbp_0_02fa2,rbp_avg_3,rbp_stdev_3,arg_arg_2s_1,arg_arg_2s_2,arg_avg,arg_stdev,hematite_hematite_stock,hematite_1000x_hematite
Al 308.215-A,0.0205,0.0611,0.0516,0.0564,0.0067,,0.0267,0.0267,,,,,,0.0599,0.0719,0.0659,0.0085,0.0871,0.082,0.0846,0.0036,0.0245,0.0222,0.0234,0.0016,,,,,0.2242,0.2209,0.2226,0.0023,0.1016,0.088,0.0948,0.0096,0.1394,0.1066,0.123,0.0232,0.0319,0.0324,0.0322,0.0004,0.0254,0.0207,0.0231,0.0033,0.361,,,,,0.403,,,,,,,0.026,,0.026,,,0.0239,0.0239,,,,,,,
As 188.979-A*,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0057,,0.0057,,,,,,,
B 249.772-R,0.0459,,,,,,0.0685,0.0685,,,,,,,,,,,,,,,,,,0.0464,,0.0464,,0.2046,0.2081,0.2064,0.0025,,0.0717,0.0717,,,,,,,,,,,,,,,,,,0.51,,,,,0.693,0.693,,,0.0819,0.0819,,0.0539,,0.0539,,,,,,,
Ba 233.527-A*,0.0001,0.0243,0.0242,0.0243,0.0001,0.0228,0.0253,0.0241,0.0018,0.0217,0.0216,0.0217,0.0001,0.0238,0.0236,0.0237,0.0001,0.0233,0.0234,0.0234,0.0001,0.0231,0.0231,0.0231,0.0,0.0227,0.0225,0.0226,0.0001,0.0094,0.0094,0.0094,0.0,0.0232,0.0237,0.0235,0.0004,0.0259,0.0228,0.0244,0.0022,0.0224,0.0223,0.0224,0.0001,0.0216,0.0218,0.0217,0.0001,0.046,0.012,0.029,0.024,0.024,0.049,0.0365,0.0177,0.023,0.032,0.0275,0.0064,0.0237,0.0241,0.0239,0.0003,0.0233,0.0231,0.0232,0.0001,0.023,0.021,0.022,0.0014,0.5,0.0005
Be 313.107-R,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016,0.0016,0.0016,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca 315.887-R*,0.0064,8.2065,8.1081,8.1573,0.0696,8.0447,7.9935,8.0191,0.0362,7.9529,7.8941,7.9235,0.0416,9.0446,9.1383,9.0915,0.0663,8.9335,8.9169,8.9252,0.0117,8.9598,9.0751,9.0175,0.0815,9.0702,8.9507,9.0105,0.0845,200.328,200.7885,200.5583,0.3256,13.6538,13.564,13.6089,0.0635,15.003,13.5467,14.2749,1.0298,13.5515,13.6035,13.5775,0.0368,13.5743,13.5346,13.5545,0.0281,18.235,444.817,231.526,301.639,445.116,18.636,231.876,301.5669,59.664,58.696,59.18,0.6845,58.0397,57.9243,57.982,0.0816,58.0058,58.4313,58.2186,0.3009,16.642,16.755,16.6985,0.0799,,
Cd 214.440-A,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0068,0.0067,0.0068,0.0001,,,,,0.0003,0.0003,0.0003,0.0,,,,,,,,,,,,,,,,,,,,,0.0004,0.001,0.0007,0.0004,0.0006,0.0004,0.0005,0.0001,,,,,,
Co 228.616-A,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1015,0.1017,0.1016,0.0001,,,,,0.0011,0.0009,0.001,0.0001,,,,,,,,,,,,,,,,,,,,,0.0013,0.0018,0.0016,0.0004,0.0011,0.0011,0.0011,0.0,,,,,,
Cr 205.560-A,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu 324.752-A,0.0011,,,,,,,,,,,,,,,,,0.0062,0.0063,0.0063,0.0001,,,,,,,,,0.0257,0.025,0.0254,0.0005,,,,,0.0177,0.0153,0.0165,0.0017,,,,,,,,,,,,,,,,,,,,,0.008,0.0079,0.008,0.0001,0.0038,0.0039,0.0039,0.0001,,,,,,
