measurement,dl_mg_l,ref_2_ra1,ref_2_ra2,ref_2_avg_1,ref_2_std_1,ref_2_fa1,ref_2_fa2,ref_2_avg_2,ref_2_std_2,ant_ra1,ant_ra2,ant_avg_1,ant_std_1,ant_fa1,ant_fa2,ant_avg_2,ant_std_2,rap_ra1,rap_ra2,rap_avg_1,rap_std_1,rap_fa1,rap_fa2,rap_avg_2,rap_std_2,tp_ra1,tp_ra2,tp_avg_1,tp_std_1,tp_fa1,tp_fa2,tp_avg_2,tp_std_2,rbp_ra1,rbp_ra2,rbp_avg_1,rbp_std_1,rbp_fa1,rbp_fa2,rbp_avg_2,rbp_std_2,arg_ra1,arg_ra2,arg_avg_1,arg_std_1,arg_fa1,arg_fa2,arg_avg_2,arg_std_2,usgs_ra1,usgs_ra2,usgs_avg_1,usgs_std_1,usgs_fa1,usgs_fa2,usgs_avg_2,usgs_std_2,blank_fa
Al 308.215-A,0.0205,0.3963,0.3348,0.3656,0.0435,0.0397,0.0458,0.0428,0.0043,0.6914,0.5241,0.6078,0.1183,0.0466,0.05,0.0483,0.002404163,0.4947,0.5489,0.5218,0.0383,0.0709,0.0744,0.0727,0.0025,0.0341,0.0373,0.0357,0.0023,0.0405,0.0321,0.0363,0.0059,0.4148,0.397,0.4059,0.0126,0.0648,0.0721,0.0685,0.0052,0.591,0.5283,0.5597,0.0443,0.0589,0.0519,0.0554,0.0049,0.4194,0.4412,0.4303,0.0154,0.054,0.0561,0.0551,0.0015,0.0213
As 188.979-A*,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,0.0129,0.0125,0.0127,0.0003,0.0102,0.0088,0.0095,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
B 249.772-R,0.0459,,,,,,,,,,,,,,,,,,,,,,,,,0.1183,0.0652,0.0918,0.0375,,,,,,,,,,,,,,,,,0.0519,,0.0519,,,,,,,0.0682,0.0682,,
Ba 233.527-A*,0.0001,0.0251,0.0232,0.0242,0.0013,0.0171,0.0172,0.0172,0.0001,0.0289,0.0274,0.0282,0.0011,0.0176,0.0175,0.01755,7.07107e-05,0.0251,0.0254,0.0253,0.0002,0.0175,0.0175,0.0175,0.0,0.0084,0.0083,0.0084,0.0001,0.0084,0.0085,0.0085,0.0001,0.026,0.0253,0.0257,0.0005,0.0202,0.0203,0.0203,0.0001,0.0262,0.0257,0.026,0.0004,0.0177,0.0175,0.0176,0.0001,0.0236,0.0252,0.0244,0.0011,0.0171,0.0178,0.0175,0.0005,0.0399
Be 313.107-R,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,0.0012,0.0004,0.0008,0.0006,0.0003,0.0003,0.0003,0.0,,,,,,,,,,,,,,,,,,,,,,0.0003,0.0003,,
Ca 315.887-R*,0.0064,5.4024,5.2852,5.3438,0.0829,5.2228,5.2426,5.2327,0.014,5.7976,5.6817,5.7397,0.082,5.5332,5.5233,5.52825,0.007000357,7.0343,6.942,6.9882,0.0653,6.9557,6.8635,6.9096,0.0652,422.9092,433.828,428.3686,7.7208,437.3578,434.3491,435.8535,2.1275,17.7879,17.8847,17.8363,0.0684,17.6507,17.7594,17.7051,0.0769,8.0482,8.0882,8.0682,0.0283,8.0059,7.8639,7.9349,0.1004,10.0491,10.1467,10.0979,0.069,9.8289,9.9986,9.9138,0.12,40.6952
Cd 214.440-A,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,0.0006,,0.0006,,,,,,0.0004,0.0003,0.0004,0.0001,0.0004,0.0002,0.0003,0.0001,0.0007,0.0005,0.0006,0.0001,0.0003,0.0003,0.0003,0.0,0.0005,0.0005,0.0005,0.0,0.0002,0.0006,0.0004,0.0003,0.0003
Co 228.616-A,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,0.0017,0.001,0.0014,0.0005,0.0007,0.0007,0.0007,0.0,0.0014,0.0008,0.0011,0.0004,0.0007,0.0008,0.0008,0.0001,0.001,0.0011,0.0011,0.0001,0.0009,0.0006,0.0008,0.0002,0.0012,0.0012,0.0012,0.0,0.0004,0.0008,0.0006,0.0003,
Cr 205.560-A,0.0003,0.0004,0.0003,0.0004,0.0001,,,,,0.0012,0.0009,0.0011,0.0002,,,,,,0.0003,0.0003,,,,,,,,,,,,,,0.0006,0.0008,0.0007,0.0001,,,,,0.0014,0.0015,0.0015,0.0001,,,,,0.001,0.001,0.001,0.0,,,,,
Cu 324.752-A,0.0011,0.0038,0.0034,0.0036,0.0003,,,,,0.017,0.0176,0.0173,0.0004,0.0031,0.0022,0.00265,0.000636396,0.0275,0.028,0.0278,0.0004,0.0055,0.0056,0.0056,0.0001,0.0012,,0.0012,,,,,,0.0201,0.0201,0.0201,0.0,0.0081,0.0081,0.0081,0.0,0.0323,0.0295,0.0309,0.002,0.0085,0.0077,0.0081,0.0006,0.0209,0.0219,0.0214,0.0007,0.0071,0.0074,0.0073,0.0002,0.0998
Fe 238.204-A,0.0003,0.8382,0.6918,0.765,0.1035,0.0358,0.0463,0.0411,0.0074,2.0085,1.6099,1.8092,0.2819,0.0574,0.0546,0.056,0.001979899,1.737,1.8688,1.8029,0.0932,0.1541,0.1513,0.1527,0.002,0.192,0.1788,0.1854,0.0093,0.0035,,0.0035,,1.8436,1.819,1.8313,0.0174,0.1236,0.1341,0.1289,0.0074,3.3169,3.0906,3.2038,0.16,0.1411,0.11,0.1256,0.022,3.0783,3.1312,3.1048,0.0374,0.121,0.118,0.1195,0.0021,0.0063
K 766.490-R,0.0323,1.1519,1.0956,1.1238,0.0398,0.9176,0.853,0.8853,0.0457,1.1218,1.0436,1.0827,0.0553,0.9505,0.9316,0.94105,0.013364318,1.1198,1.0748,1.0973,0.0318,0.9669,0.9304,0.9487,0.0258,8.8499,8.9041,8.877,0.0383,9.1938,9.0313,9.1126,0.1149,1.3366,1.3633,1.35,0.0189,1.144,1.1618,1.1529,0.0126,1.1574,1.1526,1.155,0.0034,1.0399,1.0209,1.0304,0.0134,1.3149,1.3593,1.3371,0.0314,1.2755,1.2977,1.2866,0.0157,3.9273
Li 670.784-R,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,0.0354,0.0334,0.0344,0.0014,0.0324,0.032,0.0322,0.0003,0.0016,0.002,0.0018,0.0003,0.0018,0.0016,0.0017,0.0001,0.002,0.0015,0.0018,0.0004,0.0016,,0.0016,,0.0019,0.0015,0.0017,0.0003,0.0014,0.0015,0.0015,0.0001,0.0246
Mg 279.553-R,0.0001,1.7083,1.649,1.6787,0.0419,1.5353,1.538,1.5367,0.0019,1.9763,1.88,1.9282,0.0681,1.6615,1.6509,1.6562,0.007495332,2.2872,2.2407,2.264,0.0329,2.0728,2.0547,2.0638,0.0128,61.4386,62.5781,62.0084,0.8057,62.762,62.3279,62.545,0.307,3.9074,3.9308,3.9191,0.0165,3.7706,3.7843,3.7775,0.0097,2.5543,2.5354,2.5449,0.0134,2.3508,2.315,2.3329,0.0253,3.2667,3.2974,3.2821,0.0217,3.1043,3.1428,3.1236,0.0272,9.1721
Mg 285.213-R,0.0014,1.6825,1.6149,1.6487,0.0478,1.5053,1.4914,1.4984,0.0098,1.9045,1.8082,1.8564,0.0681,1.6057,1.6006,1.60315,0.003606245,2.2091,2.1575,2.1833,0.0365,2.0023,1.9858,1.9941,0.0117,69.5753,70.1223,69.8488,0.3868,69.9727,70.3107,70.1417,0.239,3.8371,3.8727,3.8549,0.0252,3.7028,3.738,3.7204,0.0249,2.4947,2.4887,2.4917,0.0042,2.3177,2.2812,2.2995,0.0258,3.1829,3.2315,3.2072,0.0344,3.0444,3.0801,3.0623,0.0252,9.0912
Mn 257.610-A*,0,0.0694,0.0612,0.0653,0.0058,0.0116,0.0116,0.0116,0.0,0.0986,0.089,0.0938,0.0068,0.0215,0.0209,0.0212,0.000424264,0.2037,0.2024,0.2031,0.0009,0.1525,0.1514,0.152,0.0008,0.471,0.4883,0.4797,0.0122,0.4777,0.4829,0.4803,0.0037,0.2192,0.209,0.2141,0.0072,0.1747,0.1755,0.1751,0.0006,0.2117,0.2124,0.2121,0.0005,0.1504,0.1493,0.1499,0.0008,0.2378,0.2558,0.2468,0.0127,0.1349,0.139,0.137,0.0029,0.0025
