measurement,dl_mg_l,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra
Ar 420.069 - A,% Concentration,91.0,87.0,,,96.0,94.0,,,86.0,86.0,,,94.0,97.0,,,91.0,97.0,,,89.0,91.0,,,87.0,91.0,,,90.0,82.0,,,89.0,88.0,,,91.0,88.0,,,86.0,87.0,,,92.0,98.0,,,85.0,86.0,,,85.0,88.0,,,89.0,99.0
Sc 361.383 - R,% Concentration,99.0,98.0,,,98.0,99.0,,,93.0,94.0,,,95.0,95.0,,,99.0,96.0,,,96.0,97.0,,,90.0,92.0,,,91.0,93.0,,,95.0,92.0,,,94.0,93.0,,,94.0,94.0,,,93.0,95.0,,,97.0,93.0,,,93.0,93.0,,,96.0,101.0
Sc 357.253 - A,% Concentration,96.0,96.0,,,96.0,94.0,,,92.0,91.0,,,93.0,94.0,,,95.0,94.0,,,94.0,93.0,,,85.0,85.0,,,86.0,85.0,,,90.0,89.0,,,88.0,89.0,,,90.0,89.0,,,89.0,89.0,,,91.0,92.0,,,92.0,91.0,,,90.0,102.0
Al 396.153 - A,0.0011,0.0329,0.027,0.03,0.0042,0.0513,0.0486,0.05,0.0019,0.1033,0.1074,0.1054,0.0029,0.3057,0.2997,0.3027,0.0042,0.0757,0.0737,0.0747,0.0014,0.1705,0.1738,0.1722,0.0023,0.0065,0.0073,0.0069,0.0006,0.0115,0.0113,0.0114,0.0001,0.0716,0.0704,0.071,0.0008,0.2301,0.2309,0.2305,0.0006,0.043,0.0454,0.0442,0.0017,0.0966,0.0888,0.0927,0.0055,0.0422,0.0428,0.0425,0.0004,0.1118,0.1145,0.1132,0.0019,,0.0014
As 188.979 - A,0.008,,,,,,,,,,,,,0.0101,,0.0101,,,,,,,,,,0.0389,0.0335,0.0362,0.0038,0.0394,0.0381,0.0388,0.0009,0.0196,0.0235,0.0216,0.0028,0.0135,0.0193,0.0164,0.0041,0.0213,0.0148,0.0181,0.0046,0.0143,0.0193,0.0168,0.0035,0.0103,,0.0103,,,0.01,0.01,,,
B 249.677 - R,0.0161,,,,,,,,,,,,,,0.0656,0.0656,,0.0343,0.0242,0.0293,0.0071,,,,,0.0423,0.0392,0.0408,0.0022,0.0384,0.0382,0.0383,0.0001,0.0186,0.0485,0.0336,0.0211,0.0327,0.028,0.0304,0.0033,0.0257,0.0231,0.0244,0.0018,0.0216,0.0197,0.0207,0.0013,0.0315,0.0342,0.0329,0.0019,0.0322,0.0875,0.0599,0.0391,0.0278,
Ba 233.527 - A,0.0003,0.0343,0.0348,0.0346,0.0004,0.0345,0.0349,0.0347,0.0003,0.0338,0.034,0.0339,0.0001,0.0348,0.0345,0.0347,0.0002,0.0351,0.0357,0.0354,0.0004,0.0367,0.0372,0.037,0.0004,0.0059,0.0059,0.0059,0.0,0.0058,0.006,0.0059,0.0001,0.0289,0.0291,0.029,0.0001,0.0298,0.0298,0.0298,0.0,0.0468,0.0474,0.0471,0.0004,0.0481,0.0479,0.048,0.0001,0.0269,0.0268,0.0269,0.0001,0.0271,0.0276,0.0274,0.0004,0.0277,
Be 313.107 - R,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca 317.933 - A,0.0254,12.3126,12.2629,12.2878,0.0351,12.7564,12.4547,12.6056,0.2133,24.7256,24.396,24.5608,0.2331,25.4635,26.0383,25.7509,0.4064,16.2284,16.3622,16.2953,0.0946,15.8384,15.8702,15.8543,0.0225,373.1209,381.6806,377.4008,6.0526,376.8498,368.3267,372.5883,6.0267,116.0749,113.3423,114.7086,1.9322,116.1249,114.9179,115.5214,0.8535,100.4827,101.4646,100.9737,0.6943,103.6561,106.2799,104.968,1.8553,35.1291,35.2719,35.2005,0.101,34.9774,35.4105,35.194,0.3062,16.0344,
Cd 214.440 - A,0.0006,,,,,,,,,0.0019,0.0017,0.0018,0.0001,0.0017,0.0023,0.002,0.0004,0.0015,0.0015,0.0015,0.0,0.0013,0.0016,0.0015,0.0002,,,,,,,,,0.001,0.0008,0.0009,0.0001,0.0009,0.0012,0.0011,0.0002,0.0018,0.002,0.0019,0.0001,0.0018,0.0017,0.0018,0.0001,,,,,,,,,,
