measurement,ref1_fu1,ref1_fu2,ref1_avg,ref1_std,ref2_fu1,ref2_fu2,ref2_avg,ref2_std,ant_fu1,ant_fu2,ant_avg,ant_std,rap_fu1,rap_fu2,rap_avg,rap_std,tp_fu1,tp_fu2,tp_avg,tp_std,rbp_fu1,rbp_fu2,rbp_avg,rbp_std,arg_fu1,arg_fu2,arg_avg,arg_std,usgs_fu1,usgs_fu2,usgs_avg,usgs_std
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl,15.57,15.41,15.49,0.1131,19.08,18.61,18.85,0.33,26.66,26.6,26.63,0.04,71.91,73.54,72.73,1.15,71.11,68.58,69.85,1.79,89.32,89.43,89.38,0.08,59.41,59.66,59.54,0.18,63.31,63.43,63.37,0.08
NO2(-),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.07
Br(-),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO3(-),0.15,0.13,0.14,0.0141,0.33,0.25,0.29,0.06,0.49,0.48,0.49,0.01,0.62,0.65,0.64,0.02,0.0,0.0,0.0,0.0,0.49,0.47,0.48,0.01,0.57,0.57,0.57,0.0,1.16,1.57,1.37,0.29
PO4(3-),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO4(2-),13.2,13.06,13.13,0.099,29.94,29.81,29.88,0.09,47.16,47.55,47.36,0.28,86.98,87.58,87.28,0.42,0.0,0.0,0.0,0.0,,,,,280.47,281.55,281.01,0.76,202.71,202.43,202.57,0.2
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,8.04,,,,7.37,,,,7.6,,,,7.51,,,,7.76,,,,7.66,,,,7.8,,,,7.88,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductivity,70.2,,,,99.6,,,,137.6,,,,271.2,,,,1597.0,,,,725.0,,,,402.0,,,,410.0,,,
Ferrous,0.0,,,,0.0,,,,0.04,,,,,,,,,,,,0.09,,,,0.14,,,,,,,
Alkalinity,19.6,,,,23.8,,,,,,,,25.2,,,,13.8,,,,17.0,,,,19.0,,,,39.2,,,
