measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,smith_hill_fa,smith_hill_ra,richman_fa,richman_ra,by_gi_fa,by_gi_ra,bcg_fa,bcg_ra,acg_fa,acg_ra,blank_ra,blank_fa
Ar 420.069 - A,% Concentration,98.0,92.0,,,95.0,96.0,,,94.0,99.0,,,94.0,90.0,,,99.0,95.0,,,91.0,93.0,,,94.0,94.0,,,90.0,93.0,,,89.0,86.0,,,90.0,90.0,,,89.0,97.0,,,97.0,93.0,,,101.0,91.0,,,87.0,94.0,,,97.0,93.0,,,93.0,95.0,,,93.0,100.0,90.0,98.0,93.0,90.0,98.0,96.0,93.0,101.0,98.0,103.0
Sc 361.383 - R,% Concentration,99.0,98.0,,,97.0,96.0,,,96.0,96.0,,,95.0,97.0,,,96.0,96.0,,,97.0,96.0,,,94.0,97.0,,,93.0,93.0,,,90.0,91.0,,,92.0,91.0,,,97.0,92.0,,,91.0,91.0,,,96.0,96.0,,,93.0,96.0,,,98.0,96.0,,,96.0,94.0,,,96.0,94.0,94.0,96.0,94.0,96.0,96.0,97.0,95.0,96.0,97.0,96.0
Sc 357.253 - A,% Concentration,98.0,95.0,,,96.0,96.0,,,98.0,96.0,,,94.0,94.0,,,97.0,93.0,,,93.0,96.0,,,93.0,91.0,,,93.0,96.0,,,84.0,86.0,,,85.0,86.0,,,90.0,89.0,,,88.0,91.0,,,93.0,94.0,,,91.0,90.0,,,92.0,91.0,,,91.0,92.0,,,91.0,91.0,92.0,97.0,95.0,98.0,93.0,95.0,94.0,96.0,93.0,92.0
Al 396.153 - A,0.0011,0.0071,0.0067,0.0069,0.0003,0.0162,0.016,0.0161,0.0001,0.0346,0.0333,0.034,0.0009,0.0504,0.0472,0.0488,0.0023,0.0322,0.0321,0.0322,0.0001,0.2072,0.2057,0.2065,0.0011,0.0502,0.0527,0.0515,0.0018,0.3316,0.307,0.3193,0.0174,,,,,0.1158,0.0179,0.0669,0.0692,0.0263,0.029,0.0277,0.0019,0.2016,0.191,0.1963,0.0075,0.0102,0.0096,0.0099,0.0004,0.1112,0.1173,0.1143,0.0043,0.006,0.0068,0.0064,0.0006,0.03,0.0291,0.0296,0.0006,0.0189,0.0489,0.0257,0.0694,0.0226,0.034,0.0252,0.0635,,0.0075,,0.0273
As 188.979 - A,0.008,,,,,0.0111,,0.0111,,,,,,,,,,,,,,0.0106,,0.0106,,0.0124,0.0084,0.0104,0.0028,,0.0106,0.0106,,0.032,0.027,0.0295,0.0035,0.0304,0.0342,0.0323,0.0027,0.0156,0.0233,0.0195,0.0054,0.0213,0.0187,0.02,0.0018,0.0142,0.0134,0.0138,0.0006,0.012,0.0159,0.014,0.0028,0.0154,0.0165,0.016,0.0008,0.0092,0.0111,0.0102,0.0013,,0.011,,,,,,,,,0.0121,0.0108
B 249.677 - R,0.0161,,,,,,,,,,,,,,,,,,0.0658,0.0658,,0.0312,0.0184,0.0248,0.0091,0.0219,0.0169,0.0194,0.0035,0.018,0.0169,0.0175,0.0008,0.0369,0.0374,0.0372,0.0004,0.0345,0.0973,0.0659,0.0444,0.0485,0.0418,0.0452,0.0047,0.0348,0.0303,0.0326,0.0032,0.0171,0.0162,0.0167,0.0006,0.0166,,0.0166,,0.0232,0.0532,0.0382,0.0212,0.0378,0.0338,0.0358,0.0028,0.0225,0.0201,,,,,,0.0391,0.0177,,,
Ba 233.527 - A,0.0003,0.0277,0.0283,0.028,0.0004,0.0283,0.0284,0.0284,0.0001,0.0303,0.0311,0.0307,0.0006,0.0316,0.0317,0.0317,0.0001,0.0336,0.035,0.0343,0.001,0.037,0.0356,0.0363,0.001,0.0332,0.0335,0.0334,0.0002,0.0337,0.0331,0.0334,0.0004,0.0044,0.0044,0.0044,0.0,0.0046,0.0045,0.0046,0.0001,0.0237,0.024,0.0239,0.0002,0.0246,0.0238,0.0242,0.0006,0.0254,0.0252,0.0253,0.0001,0.0267,0.0272,0.027,0.0004,0.0267,0.0276,0.0272,0.0006,0.0276,0.0273,0.0275,0.0002,0.0234,0.0235,0.0344,0.0335,0.0318,0.0312,0.0319,0.032,0.0315,0.0311,0.0349,0.0347
Be 313.107 - R,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca 317.933 - A,0.0254,10.7008,10.6387,10.6698,0.0439,10.51,10.5948,10.5524,0.06,15.3862,15.804,15.5951,0.2954,15.2334,15.4584,15.3459,0.1591,22.4002,22.3598,22.38,0.0286,21.9701,21.8475,21.9088,0.0867,35.4662,36.8516,36.1589,0.9796,35.1881,34.9041,35.0461,0.2008,374.4964,365.4159,369.9562,6.4209,366.9603,377.5358,372.2481,7.478,150.2642,149.2334,149.7488,0.7289,149.8708,150.9799,150.4254,0.7843,85.1372,80.5541,82.8457,3.2407,80.4176,82.6817,81.5497,1.601,66.3543,63.5734,64.9639,1.9664,64.8175,65.3962,65.1069,0.4092,55.8135,56.75,18.7538,18.54,16.0509,15.2792,16.6224,16.7038,12.9617,13.2982,37.8069,37.8742
Cd 214.440 - A,0.0006,,,,,,,,,0.0013,0.0006,0.001,0.0005,0.0007,0.0008,0.0008,0.0001,0.0015,0.0009,0.0012,0.0004,0.0014,0.0017,0.0016,0.0002,0.0029,0.0026,0.0028,0.0002,0.0031,0.0035,0.0033,0.0003,,,,,,,,,0.002,0.0015,0.0018,0.0004,0.0015,0.0017,0.0016,0.0001,0.0009,0.0015,0.0012,0.0004,0.001,0.0009,0.001,0.0001,,,,,,,,,0.0011,0.0012,0.0013,0.0022,0.0007,0.0013,0.001,0.0015,,,,
