measurement,dl_mg_l,ref_1_fa1,ref_1_fa2,ref_1_avg_1,ref_1_stdev_1,ref_1_ra1,ref_1_ra2,ref_1_avg_2,ref_1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,tap_water_fa,tap_water_ra,chase_gluch_ra,gregory_gulch_ra,above_smith_hill_ra,below_smith_hill_ra,vic_s_gold_ra
Ar 420.069 - A,% Concentration,100.84,92.683,,,103.071,96.172,,,97.46,91.774,,,94.752,100.136,,,99.858,99.805,,,89.594,90.176,,,90.643,97.606,,,97.072,88.768,,,91.705,96.832,,,98.588,95.222,,,101.427,100.335,,,97.733,101.668,,,107.995,97.896,,,97.681,100.001,,,113.91,109.478,,,104.678,102.435,,,100.592,98.656,99.098,97.794,110.012,94.801,100.347
Sc 361.383 - R,% Concentration,105.472,104.06,,,103.642,105.17,,,105.032,106.335,,,101.621,102.74,,,100.806,99.46,,,104.489,103.21,,,100.325,106.024,,,105.771,104.879,,,93.113,91.572,,,98.171,92.619,,,114.018,111.321,,,108.016,106.245,,,105.164,108.651,,,108.341,107.802,,,108.979,108.741,,,110.192,109.419,,,106.872,102.613,105.152,100.211,105.277,107.586,106.109
Sc 357.253 - A,% Concentration,98.951,98.555,,,98.374,98.538,,,96.944,98.965,,,99.684,99.545,,,99.441,99.158,,,97.335,97.795,,,98.703,98.818,,,99.611,98.647,,,86.974,86.701,,,87.544,89.098,,,103.851,104.155,,,102.192,100.551,,,102.874,102.34,,,101.142,101.032,,,101.219,101.912,,,103.332,100.484,,,99.02,97.574,104.805,94.674,100.86,101.4,102.505
Al 396.153 - A,0.0011,0.041,0.04,0.0408,0.0005,0.302,0.273,0.2875,0.02,0.034,0.039,0.0361,0.0035,0.186,0.18,0.1825,0.0043,0.037,0.031,0.0338,0.0039,0.368,0.329,0.3482,0.0277,0.045,0.048,0.0465,0.0024,0.38,0.365,0.3727,0.0104,0.013,0.012,0.0123,0.0011,0.012,0.013,0.0126,0.0009,0.042,0.038,0.0397,0.0029,0.253,0.034,0.1436,0.1552,0.241,0.035,0.138,0.146,0.402,0.398,0.4001,0.0026,0.036,0.031,0.0331,0.0035,0.435,0.467,0.4514,0.0225,0.002,0.002,0.078,1.501,0.189,0.888,0.202
As 188.979 - A,0.008,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,0.0084,,,,,,0.029,0.031,0.0297,0.0017,0.033,0.035,0.0337,0.0013,,,,,,,,,,,,,,,,,,,,,,0.008,0.0083,,0.011,,,0.013,,,
B 249.677 - R,0.0161,0.021,,0.0205,,,,,,,,,,,,,,,,,,0.043,0.02,0.0314,0.0165,,,,,,,,,0.038,0.038,0.038,0.0001,0.036,0.039,0.0377,0.0022,,0.022,0.0224,,,,,,,,,,,,,,,,,,,,,,0.059,0.036,,0.04,,,
Ba 233.527 - A,0.0003,0.02,0.019,0.0195,0.0001,0.025,0.025,0.025,0.0003,0.02,0.02,0.0199,0.0003,0.023,0.023,0.0229,0.0001,0.02,0.02,0.0202,0.0,0.028,0.027,0.0273,0.0007,0.021,0.021,0.0206,0.0,0.028,0.028,0.0275,0.0,0.005,0.006,0.0054,0.0001,0.006,0.005,0.0055,0.0,0.021,0.021,0.0211,0.0,0.026,0.021,0.0238,0.0034,0.026,0.021,0.0234,0.0034,0.03,0.029,0.0294,0.0004,0.02,0.02,0.0204,0.0,0.028,0.03,0.0289,0.0009,0.041,0.042,0.034,0.031,0.024,0.04,0.025
Be 313.107 - R,0.0002,0.0,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Ca 317.933 - A,0.0254,5.028,4.869,4.9485,0.1121,5.049,5.046,5.0476,0.0018,5.342,5.2,5.2709,0.1006,5.335,5.411,5.3727,0.0537,6.296,6.331,6.3138,0.0248,6.156,6.189,6.1723,0.0232,6.685,6.908,6.7964,0.1572,6.985,6.762,6.8733,0.158,348.563,363.94,356.2515,10.8731,364.691,363.01,363.8507,1.1885,10.933,11.026,10.9797,0.0658,10.712,12.452,11.5816,1.2304,11.307,11.743,11.525,0.3088,11.721,11.893,11.8069,0.1212,14.479,14.255,14.367,0.1582,14.053,13.909,13.9807,0.1016,31.299,31.018,12.769,51.988,11.878,11.618,10.946
Cd 214.440 - A,0.0006,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.0008,0.0001,0.001,0.001,0.0008,0.0001,0.001,0.001,0.0008,0.0001,,,,,,,,,0.001,0.001,0.0012,0.0004,0.001,0.001,0.0011,0.0001,0.001,0.001,0.0013,0.0,0.001,0.001,0.0012,0.0001,0.001,0.001,0.0011,0.0002,0.001,0.001,0.0013,0.0001,0.001,,0.002,0.017,0.001,0.001,0.001
Cu 324.752 - A,0.0057,,,,,0.006,,0.0057,,,,,,,,,,0.007,0.007,0.0066,0.0,0.01,0.012,0.011,0.0009,0.01,0.01,0.01,0.0001,0.015,0.015,0.0147,0.0002,,,,,,,,,0.009,0.008,0.0086,0.001,0.014,0.009,0.0112,0.0036,0.014,0.009,0.0113,0.0034,0.022,0.022,0.0218,0.0001,0.008,0.008,0.0081,0.0001,0.023,0.025,0.0241,0.0011,0.096,0.092,,0.472,0.013,0.028,0.012
Cr 205.560 - A,0.0007,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.0007,0.0,,,,,,,,,,0.001,0.0011,,,,,,,,,,,,,,,,,,0.001,0.001,0.0008,0.0,,,,,0.001,0.001,0.001,0.0001,,,,,,0.002,
Fe 238.204 - A,0.0016,0.067,0.066,0.0665,0.0008,0.549,0.487,0.5178,0.044,0.058,0.064,0.0608,0.0046,0.33,0.326,0.3278,0.0025,0.062,0.055,0.0588,0.0051,0.731,0.638,0.6844,0.0654,0.066,0.07,0.068,0.0029,0.772,0.751,0.7617,0.0147,0.007,0.006,0.0062,0.0006,0.071,0.071,0.0706,0.0001,0.067,0.058,0.0627,0.0065,0.557,0.06,0.3084,0.3509,0.528,0.064,0.2958,0.3284,1.075,1.047,1.061,0.0204,0.073,0.067,0.0703,0.004,1.193,1.284,1.2382,0.0644,0.005,,0.249,0.888,0.435,2.16,0.45
K 766.490 - R,0.1081,0.874,0.915,0.8945,0.0284,0.913,0.915,0.9138,0.001,0.853,0.874,0.8637,0.0153,1.078,0.872,0.9747,0.1457,0.995,1.071,1.0334,0.0537,1.148,1.128,1.1381,0.0138,1.101,0.93,1.0154,0.1207,1.056,1.089,1.0724,0.0239,8.721,8.804,8.7624,0.0584,8.357,9.092,8.7244,0.5202,1.084,1.023,1.0535,0.0433,1.063,1.2,1.1317,0.097,1.088,1.119,1.1037,0.0217,1.193,1.144,1.1684,0.0348,1.385,1.369,1.3767,0.0114,1.495,1.487,1.491,0.0052,2.614,2.62,2.0,4.967,1.134,1.536,1.078
Li 670.784 - R,0.0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.023,0.0234,0.0002,0.022,0.026,0.0237,0.003,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.021,,0.005,,,
Mg 285.213 - R,0.0044,1.402,1.395,1.3985,0.0052,1.541,1.498,1.5193,0.0304,1.514,1.511,1.5125,0.0016,1.64,1.641,1.6401,0.0007,1.87,1.882,1.8758,0.0085,1.983,1.971,1.9768,0.0082,2.1,1.99,2.0448,0.0782,2.128,2.135,2.1315,0.0048,63.6,63.519,63.5597,0.0574,62.615,66.222,64.4187,2.551,2.61,2.631,2.6206,0.0153,2.734,2.88,2.8066,0.1033,2.736,2.902,2.8191,0.1179,3.032,3.035,3.0334,0.0026,3.668,3.668,3.6679,0.0001,3.861,3.885,3.8731,0.017,7.595,7.657,3.806,15.873,2.84,3.297,2.696
Mg 279.077 - R,0.0203,1.407,1.416,1.4119,0.0063,1.526,1.505,1.5156,0.0146,1.541,1.508,1.525,0.0234,1.668,1.638,1.6531,0.0217,1.909,1.937,1.9228,0.0201,1.995,1.986,1.9902,0.0065,2.095,2.003,2.0488,0.0647,2.153,2.169,2.161,0.0114,64.083,65.378,64.7309,0.9156,62.415,68.225,65.3198,4.1082,2.616,2.626,2.6209,0.007,2.788,3.016,2.9017,0.1611,2.863,2.958,2.9107,0.0668,3.155,3.12,3.1376,0.025,3.78,3.832,3.8057,0.0371,3.87,3.907,3.8885,0.0257,7.771,8.074,3.913,17.134,3.013,3.417,2.825
Mn 257.610 - A,0.0002,0.004,0.004,0.0039,0.0,0.035,0.034,0.0344,0.0008,0.012,0.012,0.0119,0.0001,0.029,0.028,0.0286,0.0002,0.025,0.025,0.0246,0.0001,0.069,0.064,0.0665,0.0038,0.087,0.085,0.0861,0.0009,0.133,0.134,0.1338,0.0007,0.029,0.03,0.0293,0.0006,0.056,0.055,0.0554,0.0005,0.084,0.085,0.0845,0.0002,0.117,0.08,0.0987,0.0259,0.116,0.079,0.0974,0.0265,0.17,0.164,0.167,0.0049,0.064,0.064,0.0641,0.0003,0.177,0.188,0.1821,0.0077,0.001,,0.067,1.373,0.107,0.232,0.108
Mo 202.031 - A,0.0012,0.002,0.001,0.0017,0.0006,0.002,0.001,0.0015,0.0003,0.001,0.001,0.0013,0.0001,,,,,,,,,0.004,0.002,0.0031,0.001,0.002,,0.0018,,,,,,0.004,0.003,0.0035,0.0006,0.003,0.003,0.0031,0.0003,,0.002,0.0016,,0.002,0.002,0.0016,0.0,,0.001,0.0014,,0.001,,0.0013,,0.001,0.001,0.0014,0.0,,,,,0.004,0.002,,0.001,0.001,0.002,0.001
Na 589.592 - R,0.0193,2.935,2.851,2.8931,0.0597,2.94,2.789,2.8647,0.1068,3.085,3.086,3.085,0.0007,3.15,3.171,3.1605,0.0149,4.523,4.388,4.4556,0.0958,4.342,4.361,4.3515,0.0132,5.167,4.796,4.9817,0.2627,4.779,4.857,4.8179,0.0554,34.556,33.668,34.112,0.6281,33.367,34.76,34.0634,0.9847,4.813,4.828,4.8202,0.0104,4.748,5.232,4.9903,0.3422,4.628,5.219,4.9234,0.4177,5.111,5.143,5.1272,0.0229,6.865,6.912,6.8886,0.0337,7.26,7.385,7.3225,0.0878,29.768,28.94,3.224,66.162,5.229,5.38,4.832
Ni 231.604 - A,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.0017,,0.005,0.005,,0.016,,0.002,
P 213.617 - A,0.0128,,,,,0.021,0.014,0.0176,0.0045,,,,,0.013,0.013,0.0129,0.0001,,,,,0.019,0.03,0.0246,0.0078,,0.013,0.0131,,0.023,0.019,0.0212,0.0029,,,,,,,,,,0.015,0.0154,,0.021,,0.0206,,0.026,0.014,0.0199,0.0082,0.023,0.028,0.0255,0.0037,0.013,0.016,0.0146,0.0017,0.024,0.027,0.0256,0.0018,0.019,0.014,,0.106,0.017,0.045,0.015
P 177.434 - A,0.0231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,,0.024,
Pb 220.353 - A,0.005,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,0.0051,,0.005,0.006,0.0056,0.0003,,,,,,,,,,,,,,,,,,,,,0.009,0.009,0.0093,0.0003,,,,,0.009,0.011,0.0098,0.0017,0.007,,,0.028,0.006,0.015,0.007
S 181.975 - A,0.0148,2.534,2.523,2.5284,0.0076,2.516,2.51,2.5133,0.0041,2.886,2.818,2.852,0.0478,2.793,2.814,2.8036,0.0151,3.556,3.572,3.564,0.0108,3.679,3.624,3.6513,0.0388,4.409,4.357,4.3831,0.0372,4.362,4.406,4.3838,0.0308,493.509,501.514,497.5116,5.6604,509.009,502.495,505.7517,4.6061,9.248,9.295,9.2717,0.0333,9.508,10.954,10.2311,1.0229,9.495,10.743,10.119,0.8824,10.847,10.802,10.8245,0.0322,13.174,13.071,13.1224,0.0732,12.624,12.996,12.8099,0.2632,29.681,30.279,7.004,50.927,10.243,9.994,9.429
S 180.669 - A,0.0072,2.724,2.716,2.7201,0.0052,2.706,2.712,2.7089,0.0044,3.107,3.047,3.0771,0.0419,3.005,3.032,3.0184,0.0186,3.818,3.848,3.833,0.0214,3.958,3.91,3.9339,0.0344,4.714,4.652,4.6829,0.0443,4.635,4.712,4.6736,0.0544,477.808,487.007,482.4074,6.5044,493.532,490.762,492.1468,1.9585,9.89,9.94,9.9149,0.0351,10.126,11.693,10.9095,1.1086,10.132,11.464,10.7979,0.942,11.539,11.539,11.539,0.0002,13.316,13.249,13.2826,0.0477,12.731,13.134,12.9325,0.2845,30.96,31.632,7.542,53.374,10.88,10.63,10.013
Sb 217.582 - A,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Se 196.026 - A,0.0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si 251.611 - A,0.1031,4.784,4.728,4.7563,0.0399,4.938,5.143,5.0408,0.1449,4.933,4.918,4.9253,0.0103,4.927,4.845,4.8863,0.058,4.833,4.731,4.7822,0.0723,5.426,5.116,5.2712,0.2189,5.014,4.974,4.9938,0.028,5.321,5.274,5.2973,0.0335,1.03,1.039,1.0346,0.006,1.064,1.048,1.056,0.0117,4.945,4.951,4.9483,0.0044,4.975,5.009,4.9918,0.0241,5.036,5.081,5.0586,0.0319,5.266,5.408,5.3371,0.1,4.839,5.084,4.9616,0.1734,5.468,5.525,5.4966,0.0405,3.52,3.458,4.954,7.353,5.063,6.327,4.929
Sn 189.927 - A,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr 460.733 - A,0.0003,0.052,0.052,0.0517,0.0001,0.053,0.053,0.0528,0.0002,0.054,0.053,0.0533,0.0006,0.054,0.054,0.0543,0.0001,0.059,0.059,0.0594,0.0001,0.063,0.063,0.063,0.0004,0.066,0.065,0.0654,0.0011,0.066,0.065,0.0657,0.0006,2.984,2.877,2.9305,0.0756,2.9,3.019,2.9593,0.0838,0.08,0.086,0.0832,0.0042,0.081,0.096,0.0886,0.0111,0.083,0.091,0.087,0.006,0.087,0.089,0.0882,0.0014,0.101,0.105,0.1033,0.0028,0.107,0.109,0.1079,0.0009,0.231,0.23,0.081,0.329,0.091,0.095,0.086
Ti 334.940 - A,0.0001,0.0,0.0,0.0005,0.0,0.021,0.017,0.0189,0.0028,0.0,0.0,0.0002,0.0001,0.009,0.009,0.0088,0.0002,,,,,0.025,0.021,0.0231,0.0032,,,,,0.025,0.023,0.0241,0.0015,,,,,,,,,,,,,0.013,,0.0128,,0.012,,0.0117,,0.025,0.024,0.0245,0.0005,,,,,0.026,0.029,0.0275,0.0016,,,0.003,,0.007,0.082,0.009
Tl 190.801 - A,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V 292.402 - A,0.0004,,,,,0.001,0.001,0.0007,0.0,,,,,0.0,0.0,0.0004,0.0,,,,,0.001,0.001,0.0009,0.0001,,,,,0.001,0.001,0.0008,0.0,,,,,,,,,,,,,0.0,,0.0004,,0.0,,0.0004,,0.001,0.001,0.0007,0.0001,,,,,0.001,0.001,0.001,0.0,,,,,0.0,0.002,0.0
