measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank__1_fa,blank__1_ra,blank__2_fa,blank__2_ra,blank__3_fa,blank__3_ra,chase_gulch_ra,above_smith_hill_ra,beaver_pond_ra,ntd_ra
Ar 420.069 - A,% Concentration,101.0,100.0,,,99.0,103.0,,,102.0,102.0,,,103.0,102.0,,,130.0,134.0,,,101.0,102.0,,,130.0,131.0,,,129.0,132.0,,,107.0,98.0,,,126.0,115.0,,,136.0,132.0,,,131.0,128.0,,,134.0,130.0,,,133.0,132.0,,,136.0,134.0,,,131.0,129.0,,,135.0,137.0,136.0,137.0,135.0,135.0,136.0,133.0,135.0,123.0
Sc 361.383 - R,% Concentration,100.0,97.0,,,96.0,98.0,,,99.0,95.0,,,96.0,92.0,,,90.0,87.0,,,97.0,97.0,,,91.0,89.0,,,88.0,90.0,,,89.0,85.0,,,81.0,84.0,,,83.0,85.0,,,83.0,87.0,,,85.0,85.0,,,81.0,85.0,,,85.0,86.0,,,82.0,80.0,,,90.0,89.0,88.0,89.0,88.0,87.0,85.0,81.0,82.0,80.0
Sc 357.253 - A,% Concentration,97.0,101.0,,,100.0,99.0,,,95.0,98.0,,,96.0,99.0,,,102.0,107.0,,,97.0,98.0,,,105.0,104.0,,,107.0,102.0,,,87.0,89.0,,,96.0,92.0,,,99.0,99.0,,,101.0,101.0,,,102.0,95.0,,,100.0,96.0,,,104.0,102.0,,,97.0,100.0,,,104.0,106.0,104.0,103.0,103.0,108.0,110.0,99.0,100.0,91.0
Al 396.153 - A,0.0011,,0.0016,0.0016,0.0,0.0071,0.0079,0.0075,0.0004,0.0249,0.0271,0.026,0.0011,0.0343,0.0308,0.0326,0.0018,0.0239,0.0242,0.0241,0.0001,0.2354,0.2368,0.2361,0.0007,0.0407,0.0454,0.0431,0.0024,0.1679,0.183,0.1755,0.0076,,,,,0.0057,0.007,0.0064,0.0007,0.0467,0.0454,0.0461,0.0006,0.0981,0.0982,0.0982,0.0,0.0341,0.0368,0.0355,0.0014,0.0577,0.0583,0.058,0.0003,0.0103,0.0101,0.0102,0.0001,0.026,0.0273,0.0267,0.0007,0.0023,0.0034,,0.0029,,,0.0627,0.0725,0.0796,68.7008
As 188.979 - A,0.008,,,,,,,,,0.0123,0.0098,0.0111,0.0013,0.0088,,0.0088,0.0,,0.0131,0.0131,0.0,0.012,,0.012,0.0,,0.0108,0.0108,0.0,0.0146,0.0102,0.0124,0.0022,0.0419,0.0466,0.0443,0.0024,0.0404,0.0408,0.0406,0.0002,0.0178,0.0208,0.0193,0.0015,0.0182,0.0182,0.0182,0.0,0.0181,0.0235,0.0208,0.0027,0.0234,0.0247,0.0241,0.0007,0.0227,0.0201,0.0214,0.0013,0.0243,0.0261,0.0252,0.0009,,0.0087,,0.0084,,,0.0227,0.0197,0.019,0.0787
B 249.677 - R,0.0161,,,,,,,,,0.0237,,0.0237,0.0,,,,,,,,,0.0374,0.0551,0.0463,0.0089,,,,,,,,,0.0652,0.1054,0.0853,0.0201,0.0447,0.0542,0.0495,0.0048,0.0455,0.0452,0.0454,0.0002,0.0311,0.033,0.0321,0.001,0.0382,0.0784,0.0583,0.0201,0.0611,0.0656,0.0634,0.0023,0.0396,0.045,0.0423,0.0027,0.1104,0.1388,0.1246,0.0142,,,0.0184,,0.038,0.0243,0.0957,0.0309,0.104,0.1446
Ba 233.527 - A,0.0003,0.0303,0.0291,0.0297,0.0006,0.0296,0.0301,0.0299,0.0002,0.0317,0.0306,0.0312,0.0006,0.0318,0.0308,0.0313,0.0005,0.0292,0.0268,0.028,0.0012,0.0326,0.0322,0.0324,0.0002,0.0274,0.0286,0.028,0.0006,0.028,0.0297,0.0289,0.0009,0.0028,0.0027,0.0028,0.0,0.0031,0.0029,0.003,0.0001,0.0239,0.0239,0.0239,0.0,0.0241,0.0239,0.024,0.0001,0.0285,0.0304,0.0295,0.0009,0.0287,0.0299,0.0293,0.0006,0.0365,0.0373,0.0369,0.0004,0.0394,0.0382,0.0388,0.0006,,,,,,,0.0333,0.0269,0.0493,0.0012
Be 313.107 - R,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0115
Ca 317.933 - A,0.0254,9.3235,9.4569,9.3902,0.0667,9.2919,9.3291,9.3105,0.0186,12.6722,12.5246,12.5984,0.0738,12.7885,12.61,12.6993,0.0893,17.5935,16.8836,17.2386,0.3549,15.7937,15.7721,15.7829,0.0108,27.0591,27.69,27.3746,0.3155,25.718,27.1929,26.4555,0.7375,369.4095,358.0851,363.7473,5.6622,375.7228,367.2194,371.4711,4.2517,93.9304,95.6904,94.8104,0.88,95.478,93.7354,94.6067,0.8713,97.6764,102.9384,100.3074,2.631,98.8109,99.7465,99.2787,0.4678,76.6014,76.2871,76.4443,0.1572,81.2385,80.5915,80.915,0.3235,,,,,,,25.5345,97.5486,77.5927,241.5304
Cd 214.440 - A,0.0006,,,,,,,,,0.0007,0.0006,0.0007,0.0001,,0.0006,0.0006,0.0,0.0006,0.0009,0.0008,0.0002,0.0008,0.0009,0.0009,0.0001,0.0022,0.0022,0.0022,0.0,0.0022,0.0023,0.0023,0.0,,,,,,,,,0.0015,0.0013,0.0014,0.0001,0.0015,0.0014,0.0015,0.0001,0.0017,0.0018,0.0018,0.0001,0.0019,0.0016,0.0018,0.0002,0.0008,0.0007,0.0008,0.0001,0.001,0.001,0.001,0.0,,,,,,,0.0045,0.0018,,0.278
