measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_1_fa,blank_1_ra,blank_2_fa,blank_2_ra,blank_3_fa,blank_3_ra
Ar 420.069 - A,% Concentration,100.0,105.0,,,105.0,102.0,,,102.0,102.0,,,101.0,109.0,,,113.0,111.0,,,105.0,101.0,,,110.0,109.0,,,105.0,111.0,,,99.0,102.0,,,99.0,95.0,,,113.0,106.0,,,107.0,104.0,,,109.0,106.0,,,109.0,107.0,,,106.0,109.0,,,105.0,105.0,,,106.0,109.0,107.0,111.0,,
Sc 361.383 - R,% Concentration,99.0,106.0,,,98.0,102.0,,,108.0,104.0,,,104.0,104.0,,,102.0,101.0,,,100.0,103.0,,,100.0,95.0,,,97.0,101.0,,,96.0,93.0,,,80.0,100.0,,,96.0,96.0,,,100.0,94.0,,,94.0,95.0,,,93.0,95.0,,,92.0,95.0,,,95.0,95.0,,,101.0,103.0,101.0,98.0,,
Sc 357.253 - A,% Concentration,99.0,98.0,,,99.0,99.0,,,100.0,101.0,,,101.0,97.0,,,94.0,95.0,,,101.0,100.0,,,96.0,94.0,,,96.0,93.0,,,92.0,89.0,,,92.0,95.0,,,93.0,93.0,,,92.0,93.0,,,92.0,90.0,,,91.0,92.0,,,93.0,93.0,,,98.0,94.0,,,99.0,101.0,100.0,98.0,,
Al 396.153 - A,0.0011,,,,,,,,,,,,,,,,,,,,,0.0209,0.0192,0.0201,0.0009,,,,,0.0231,0.0251,0.0241,0.001,,,,,,,,,,,,,0.012,0.0113,0.0117,0.0004,,,,,,,,,,,,,,,,,,,,,,
As 188.979 - A,0.008,,,,,,,,,,,,,,,,,,,,,,,,,0.0144,0.0084,0.0114,0.003,,0.0092,0.0092,0.0,0.0411,0.0348,0.038,0.0032,0.0389,0.0349,0.0369,0.002,0.0215,0.0162,0.0189,0.0027,0.0178,0.0141,0.016,0.0019,0.0123,0.0174,0.0149,0.0026,0.0185,0.0152,0.0169,0.0017,0.0161,0.0113,0.0137,0.0024,0.0131,0.0143,0.0137,0.0006,,,,,,
B 249.677 - R,0.0161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba 233.527 - A,0.0003,0.0265,0.0267,0.0266,0.0001,0.0264,0.0266,0.0265,0.0001,0.0281,0.0279,0.028,0.0001,0.0274,0.0289,0.0282,0.0007,0.0274,0.0269,0.0272,0.0003,0.0262,0.0262,0.0262,0.0,0.0247,0.0249,0.0248,0.0001,0.0246,0.0253,0.025,0.0004,0.0017,0.0017,0.0017,0.0,0.0019,0.0029,0.0024,0.0005,0.0207,0.0209,0.0208,0.0001,0.0213,0.021,0.0212,0.0001,0.0243,0.0247,0.0245,0.0002,0.0249,0.0245,0.0247,0.0002,0.0329,0.0329,0.0329,0.0,0.0315,0.0329,0.0322,0.0007,,,,,,
Be 313.107 - R,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,0.0003,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca 317.933 - A,0.0254,8.5209,8.5226,8.5218,0.0009,8.4299,8.5354,8.4827,0.0527,12.0791,11.9935,12.0363,0.0428,11.7453,12.2568,12.0011,0.2558,16.5274,16.3502,16.4388,0.0886,16.0188,15.8269,15.9229,0.0959,29.1317,29.3351,29.2334,0.1017,28.7907,29.1511,28.9709,0.1802,336.4642,346.7025,341.5834,5.1191,343.2988,342.0583,342.6786,0.6203,99.2378,98.1703,98.7041,0.5337,98.6007,97.1951,97.8979,0.7028,97.4487,97.6013,97.525,0.0763,98.5449,98.0612,98.3031,0.2418,75.2632,76.766,76.0146,0.7514,75.7664,75.5241,75.6453,0.1212,,,,,,
Cd 214.440 - A,0.0006,,,,,,,,,,0.001,0.001,0.0,,,,,,,,,,,,,0.0012,0.0016,0.0014,0.0002,0.0015,0.0014,0.0015,0.0001,,,,,,,,,0.0007,,0.0007,0.0,0.0007,0.0008,0.0008,0.0001,0.0007,0.0007,0.0007,0.0,0.0007,0.0008,0.0008,0.0001,,,,,,,,,,,,,,
