measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_1_fa,blank_1_ra,blank_2_fa,blank_2_ra,blank_3_fa,blank_3_ra,chase_gulch_ra
Ar 420.069 - A,% Concentration,89.0,89.0,,,93.0,91.0,,,95.0,88.0,,,85.0,86.0,,,87.0,90.0,,,87.0,89.0,,,92.0,95.0,,,94.0,93.0,,,86.0,82.0,,,87.0,89.0,,,91.0,89.0,,,89.0,90.0,,,88.0,82.0,,,93.0,87.0,,,91.0,84.0,,,97.0,86.0,,,88.0,91.0,90.0,84.0,84.0,95.0,91.0
Sc 361.383 - R,% Concentration,95.0,96.0,,,97.0,96.0,,,95.0,96.0,,,97.0,95.0,,,95.0,96.0,,,95.0,96.0,,,94.0,96.0,,,96.0,96.0,,,88.0,91.0,,,92.0,92.0,,,95.0,94.0,,,96.0,96.0,,,95.0,97.0,,,96.0,95.0,,,97.0,96.0,,,93.0,95.0,,,100.0,100.0,101.0,101.0,99.0,97.0,97.0
Sc 357.253 - A,% Concentration,100.0,100.0,,,103.0,98.0,,,102.0,101.0,,,97.0,99.0,,,100.0,100.0,,,100.0,100.0,,,98.0,101.0,,,98.0,98.0,,,89.0,91.0,,,89.0,90.0,,,98.0,97.0,,,96.0,99.0,,,99.0,99.0,,,98.0,98.0,,,98.0,99.0,,,97.0,99.0,,,100.0,101.0,101.0,100.0,100.0,103.0,97.0
Al 396.153 - A,0.0011,0.0395,0.0403,0.0399,0.0004,0.1531,0.1539,0.1535,0.0004,0.0421,0.0434,0.0428,0.0007,0.1746,0.1755,0.1751,0.0004,0.0197,0.018,0.0189,0.0009,0.2307,0.227,0.2289,0.0018,0.0451,0.0451,0.0451,0.0,0.2347,0.2517,0.2432,0.0085,,,,,0.0105,0.0042,0.0074,0.0032,0.0411,0.0402,0.0407,0.0004,0.2649,0.2592,0.2621,0.0029,0.0528,0.0514,0.0521,0.0007,0.4911,0.4414,0.4663,0.0249,0.0361,0.0346,0.0354,0.0008,0.3637,0.3908,0.3773,0.0136,,,,,,,0.07
As 188.979 - A,0.008,,,,,,0.0127,0.0127,0.0,,0.0093,0.0093,0.0,0.0091,0.0082,0.0087,0.0005,0.0103,0.0092,0.0098,0.0006,0.0106,,0.0106,0.0,,,,,0.0122,,0.0122,0.0,0.0553,0.0406,0.048,0.0074,0.0611,0.0478,0.0545,0.0067,0.0141,0.0164,0.0153,0.0012,0.0125,0.011,0.0118,0.0008,,0.0122,0.0122,0.0,,,,,0.0083,0.0154,0.0119,0.0036,0.0124,,0.0124,0.0,,,,0.0099,,,
B 249.677 - R,0.0161,,,,,,,,,0.0414,0.0648,0.0531,0.0117,,,,,0.0169,0.0211,0.019,0.0021,0.0289,,0.0289,0.0,0.0311,0.0216,0.0264,0.0048,0.0402,0.0626,0.0514,0.0112,0.0473,0.0409,0.0441,0.0032,0.0322,0.0364,0.0343,0.0021,,,,,,,,,0.0703,,0.0703,0.0,,0.0427,0.0427,0.0,,,,,0.0344,,0.0344,0.0,,0.0211,,0.0339,,,0.0171
Ba 233.527 - A,0.0003,0.0199,0.0197,0.0198,0.0001,0.0225,0.0232,0.0229,0.0004,0.0202,0.0207,0.0205,0.0003,0.0253,0.0247,0.025,0.0003,0.021,0.021,0.021,0.0,0.0256,0.0253,0.0255,0.0002,0.0218,0.0207,0.0213,0.0006,0.0254,0.0259,0.0257,0.0003,0.0022,0.0021,0.0022,0.0001,0.0025,0.0024,0.0025,0.0001,0.0216,0.0218,0.0217,0.0001,0.0265,0.0255,0.026,0.0005,0.02,0.0208,0.0204,0.0004,0.0291,0.0281,0.0286,0.0005,0.0189,0.0188,0.0189,0.0,0.0253,0.0266,0.026,0.0007,,,,0.0003,,,0.0369
Be 313.107 - R,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca 317.933 - A,0.0254,6.0697,6.1176,6.0937,0.024,6.2802,6.1715,6.2259,0.0543,6.6945,6.5278,6.6112,0.0833,6.6234,6.5744,6.5989,0.0245,11.7752,12.0617,11.9185,0.1433,12.0606,11.9573,12.009,0.0517,12.8195,13.0551,12.9373,0.1178,13.1116,12.8742,12.9929,0.1187,355.6587,356.5009,356.0798,0.4211,361.2558,368.2832,364.7695,3.5137,16.4765,16.8057,16.6411,0.1646,16.553,16.8088,16.6809,0.1279,13.5998,13.6296,13.6147,0.0149,14.1802,13.8985,14.0394,0.1408,16.7663,16.2751,16.5207,0.2456,17.1164,16.2024,16.6594,0.457,,,,,,,29.2315
Cd 214.440 - A,0.0006,0.0018,0.0017,0.0018,0.0001,0.0021,0.0015,0.0018,0.0003,0.0021,0.0017,0.0019,0.0002,0.0013,0.0014,0.0014,0.0001,0.002,0.0019,0.002,0.0001,0.0021,0.0018,0.002,0.0002,0.0018,0.0021,0.002,0.0002,0.0023,0.002,0.0022,0.0002,,,,,,,,,0.0018,0.0016,0.0017,0.0001,0.002,0.0024,0.0022,0.0002,0.0018,0.002,0.0019,0.0001,0.002,0.0018,0.0019,0.0001,0.002,0.0019,0.002,0.0001,0.0019,0.0019,0.0019,0.0,0.0013,0.0017,0.0014,0.0016,0.0017,0.0021,0.0055
Cu 324.752 - A,0.0057,,,,,,,,,,,,,,,,,,,,,0.0091,0.0092,0.0092,0.0,0.0103,0.0095,0.0099,0.0004,0.017,0.018,0.0175,0.0005,,,,,,,,,0.0106,0.0109,0.0108,0.0002,0.0183,0.0165,0.0174,0.0009,0.0116,0.0112,0.0114,0.0002,0.036,0.0334,0.0347,0.0013,0.0094,0.0093,0.0094,0.0001,0.0278,0.029,0.0284,0.0006,,,,,,,0.0094
Cr 205.560 - A,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012,0.0008,0.001,0.0002,,0.0014,0.0014,0.0,,,,,,0.0008,0.0008,0.0,,,,,0.001,,0.001,0.0,,,,,0.0009,,0.0009,0.0,,,,,,,
Fe 238.204 - A,0.0016,0.058,0.0583,0.0582,0.0001,0.3097,0.3029,0.3063,0.0034,0.0627,0.0631,0.0629,0.0002,0.3593,0.3535,0.3564,0.0029,0.0351,0.033,0.0341,0.0011,0.5452,0.5679,0.5566,0.0114,0.0425,0.0385,0.0405,0.002,0.5013,0.5439,0.5226,0.0213,,,,,0.4567,0.3706,0.4137,0.0431,0.0353,0.0343,0.0348,0.0005,0.5825,0.5438,0.5632,0.0194,0.0598,0.0546,0.0572,0.0026,1.264,1.1182,1.1911,0.0729,0.045,0.0406,0.0428,0.0022,0.9253,1.0336,0.9795,0.0542,,,,,,,0.1711
K 766.490 - R,0.1081,0.7751,0.8222,0.7987,0.0236,0.7892,0.7982,0.7937,0.0045,0.8558,0.8826,0.8692,0.0134,0.8546,0.8374,0.846,0.0086,0.9246,0.9406,0.9326,0.008,0.9538,0.9729,0.9634,0.0096,1.0276,1.0103,1.019,0.0087,1.0561,1.0798,1.068,0.0119,7.6276,7.3556,7.4916,0.136,7.6596,7.7127,7.6862,0.0265,1.0625,1.1192,1.0909,0.0284,1.1185,1.126,1.1223,0.0037,1.1191,1.2129,1.166,0.0469,1.2234,1.2525,1.238,0.0146,1.7025,1.5957,1.6491,0.0534,1.7443,1.7646,1.7545,0.0102,,,,,,,1.9611
Li 670.784 - R,0.0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0266,0.0244,0.0255,0.0011,0.0253,0.0256,0.0255,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg 285.213 - R,0.0044,1.8245,1.8467,1.8356,0.0111,1.8477,1.8753,1.8615,0.0138,1.9941,2.0044,1.9993,0.0051,2.0453,2.074,2.0597,0.0143,2.6094,2.6501,2.6298,0.0204,2.6893,2.7079,2.6986,0.0093,3.0426,2.9198,2.9812,0.0614,2.9367,2.9668,2.9518,0.0151,74.0062,74.0623,74.0343,0.028,73.5682,73.8175,73.6929,0.1246,3.5582,3.5839,3.5711,0.0129,3.7059,3.661,3.6835,0.0225,3.7429,3.7589,3.7509,0.008,3.9227,3.8831,3.9029,0.0198,5.2608,5.1525,5.2067,0.0541,5.2415,5.5502,5.3959,0.1544,,,,,,,9.216
Mg 279.077 - R,0.0203,1.7921,1.787,1.7896,0.0026,1.8249,1.8481,1.8365,0.0116,1.9449,1.9483,1.9466,0.0017,2.0089,2.0565,2.0327,0.0238,2.5635,2.5879,2.5757,0.0122,2.6708,2.6141,2.6425,0.0283,2.8923,2.7814,2.8369,0.0555,2.8838,2.8641,2.874,0.0098,70.0246,68.7476,69.3861,0.6385,70.1501,69.4827,69.8164,0.3337,3.5186,3.5566,3.5376,0.019,3.5445,3.6088,3.5767,0.0321,3.6366,3.6847,3.6607,0.024,3.8413,3.8558,3.8486,0.0072,5.0637,5.0699,5.0668,0.0031,5.3375,5.3088,5.3232,0.0144,,,,,,,8.7585
