measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank__1_fa,blank__1_ra,blank__2_fa,blank__2_ra,blank__3_fa,blank__3_ra,wwtp_fa1,wwtp_fa2,wwtp_avg_1,wwtp_stdev_1,wwtp_ra1,wwtp_ra2,wwtp_avg_2,wwtp_stdev_2,chase__ra,ntd_fa
Ar 420.069 - A,% Concentration,100.0,98.0,,,98.0,99.0,,,97.0,96.0,,,97.0,101.0,,,103.0,99.0,,,100.0,98.0,,,103.0,100.0,,,99.0,102.0,,,96.0,99.0,,,91.0,102.0,,,101.0,104.0,,,98.0,100.0,,,105.0,103.0,,,96.0,100.0,,,97.0,102.0,,,100.0,108.0,,,100.0,98.0,101.0,103.0,94.0,100.0,113.0,96.0,,,98.0,100.0,,,98.0,98.0
Sc 361.383 - R,% Concentration,98.0,98.0,,,97.0,97.0,,,97.0,99.0,,,97.0,97.0,,,97.0,99.0,,,99.0,98.0,,,98.0,98.0,,,100.0,97.0,,,95.0,97.0,,,94.0,93.0,,,101.0,102.0,,,101.0,101.0,,,102.0,102.0,,,103.0,101.0,,,102.0,101.0,,,99.0,99.0,,,100.0,98.0,100.0,98.0,100.0,99.0,98.0,99.0,,,101.0,101.0,,,101.0,94.0
Sc 357.253 - A,% Concentration,101.0,101.0,,,101.0,99.0,,,102.0,101.0,,,100.0,98.0,,,99.0,98.0,,,98.0,98.0,,,98.0,99.0,,,98.0,99.0,,,92.0,94.0,,,89.0,91.0,,,101.0,103.0,,,100.0,103.0,,,103.0,103.0,,,104.0,102.0,,,101.0,103.0,,,103.0,104.0,,,99.0,99.0,99.0,100.0,101.0,100.0,100.0,99.0,,,98.0,100.0,,,104.0,94.0
Al 396.153 - A,0.0011,0.0076,0.0071,0.0074,0.0003,0.0456,0.0415,0.0436,0.0021,0.0121,0.0121,0.0121,0.0,0.0483,0.0499,0.0491,0.0008,0.0175,0.0185,0.018,0.0005,0.0935,0.0946,0.0941,0.0006,0.0329,0.0349,0.0339,0.001,0.0797,0.0766,0.0782,0.0016,,,,,,,,,0.031,0.0319,0.0315,0.0004,0.0836,0.0808,0.0822,0.0014,0.0235,0.0233,0.0234,0.0001,0.0547,0.057,0.0559,0.0012,0.0135,0.0142,0.0139,0.0004,0.0659,0.0659,0.0659,0.0,,,,,,,0.1201,0.12,0.1201,0.0001,0.494,0.4812,0.4876,0.0064,0.0872,66.5022
As 188.979 - A,0.008,,,,,,,,,,,,,,,,,,,,,0.0083,0.0125,0.0104,0.0021,0.01,,0.01,0.0,0.0082,0.0126,0.0104,0.0022,0.0432,0.0431,0.0432,0.0001,0.0486,0.0523,0.0505,0.0019,0.0086,,0.0086,0.0,,,,,,,,,0.0136,,0.0136,0.0,0.0083,,0.0083,0.0,,0.0104,0.0104,0.0,,,,,,,0.0205,0.0232,0.0219,0.0014,0.0228,0.0204,0.0216,0.0012,0.0129,0.0741
B 249.677 - R,0.0161,,0.0454,0.0454,0.0,,,,,,,,,0.0189,,0.0189,0.0,,,,,,,,,0.0248,,0.0248,0.0,,0.0507,0.0507,0.0,,,,,0.0228,0.0165,0.0197,0.0032,,0.024,0.024,0.0,,,,,,,,,,,,,,,,,,,,,,0.0228,,,,,0.1153,0.0991,0.1072,0.0081,0.0667,0.1332,0.1,0.0333,,0.0959
Ba 233.527 - A,0.0003,0.0176,0.0173,0.0175,0.0002,0.0183,0.0183,0.0183,0.0,0.0181,0.0183,0.0182,0.0001,0.0192,0.0194,0.0193,0.0001,0.0194,0.0194,0.0194,0.0,0.0211,0.0212,0.0212,0.0,0.0209,0.0208,0.0209,0.0,0.0215,0.0211,0.0213,0.0002,0.0017,0.0022,0.002,0.0003,0.0018,0.0018,0.0018,0.0,0.0209,0.0206,0.0208,0.0001,0.0217,0.0211,0.0214,0.0003,0.0175,0.0175,0.0175,0.0,0.0176,0.0182,0.0179,0.0003,0.0188,0.0186,0.0187,0.0001,0.0191,0.0191,0.0191,0.0,,,,,,,0.0094,0.0094,0.0094,0.0,0.0096,0.0095,0.0096,0.0,0.0445,
Be 313.107 - R,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013
Ca 317.933 - A,0.0254,5.5533,5.3555,5.4544,0.0989,5.3924,5.355,5.3737,0.0187,6.0548,5.9818,6.0183,0.0365,6.0706,6.1255,6.0981,0.0275,22.5316,22.1965,22.3641,0.1676,22.6889,22.3875,22.5382,0.1507,23.4923,23.3389,23.4156,0.0767,23.195,23.5563,23.3757,0.1807,347.4755,356.4858,351.9807,4.5051,364.6342,353.5346,359.0844,5.5498,30.1586,30.4252,30.2919,0.1333,30.1239,30.4277,30.2758,0.1519,18.3032,18.5732,18.4382,0.135,17.8409,17.9374,17.8892,0.0482,21.1305,21.8645,21.4975,0.367,21.8572,22.2908,22.074,0.2168,,,,,,,28.206,26.1904,27.1982,1.0078,26.1767,26.7085,26.4426,0.2659,28.5534,185.0217
Cd 214.440 - A,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0042,0.2387
