measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra,blank__2_fa,blank__2_ra,wwtp_fa1,wwtp_fa2,wwtp_avg_1,wwtp_stdev_1,wwtp_ra1,wwtp_ra2,wwtp_avg_2,wwtp_stdev_2,chase_gulch_ra,ntd_ra
Ar 420.069 - A,% Concentration,91.10764882,94.39514422,,,92.37706316,92.35429385,,,95.88085463,95.18325869,,,99.1472299,87.37864022,,,95.03420891,95.73711162,,,99.44541295,90.46077348,,,97.25619864,92.39721845,,,84.70346165,97.99591175,,,94.27390793,92.51023137,,,92.80591663,87.92403544,,,83.7226893,92.05497339,,,93.32704701,96.23622281,,,94.07739676,91.49683083,,,92.85866081,93.32429527,,,88.80601346,93.69209436,,,99.09019678,93.59401396,,,102.017905,97.69090449,96.7717211,95.32463415,92.27739896,99.84807945,,,95.96255382,91.3067967,,,101.7513717,95.51803102
Sc 361.383 - R,% Concentration,99.13839479,99.89225633,,,96.06039663,95.43618229,,,98.20627912,98.58335738,,,98.63454975,98.62407693,,,98.18113661,97.99044674,,,98.74501208,100.5783614,,,98.14280786,92.41630185,,,98.75275943,99.34535568,,,91.03133673,91.39076715,,,92.97138139,89.66025262,,,95.83541998,98.863271,,,98.49739226,96.52646652,,,97.58706778,97.5945698,,,96.77351275,96.7501611,,,99.27771674,97.18291514,,,95.85563705,97.79876528,,,99.96608902,98.72535701,102.9043999,101.0948801,95.82835449,96.82156098,,,95.7352078,96.31057254,,,101.046334,93.50043187
Sc 357.253 - A,% Concentration,99.29994891,97.14160995,,,98.98952227,98.34973638,,,99.00275564,99.6596316,,,100.2336924,98.05792296,,,95.94537614,98.50040699,,,96.07672098,97.87967197,,,96.99515705,96.27486081,,,95.84159359,96.02528477,,,88.8116137,88.69602766,,,88.04755667,86.65172618,,,96.01736728,95.4391299,,,96.536069,94.19820552,,,97.45322126,95.79507329,,,95.49576318,96.15935184,,,95.81579587,97.80002782,,,95.26162365,95.84767149,,,102.763198,103.2899307,100.4530208,98.99237021,96.969076,96.88854211,,,94.68502335,95.92928546,,,101.1131408,91.98820986
Al 396.153 - A,0.001098184,0.005780666,0.00328706,0.0045,0.0012,0.025745164,0.026022021,0.0259,0.0001,0.019826439,0.017887593,0.0189,0.001,0.054861479,0.049311499,0.0521,0.0028,0.021907859,0.022395487,0.0222,0.0002,0.062272545,0.059594406,0.0609,0.0013,0.05946694,0.060625003,0.06,0.0006,0.158603654,0.166970106,0.1628,0.0042,,,,,0.003335305,0.005836994,0.0046,0.0013,0.043733136,0.04599278,0.0449,0.0011,0.175266399,0.181569353,0.1784,0.0032,0.029670088,0.030035737,0.0299,0.0002,0.069262562,0.068704553,0.069,0.0003,0.011925868,0.012236504,0.0121,0.0002,0.193186695,0.196677896,0.1949,0.0017,,,,,0.102871422,0.101936374,0.1024,0.0005,0.526691126,0.522738285,0.5247,0.002,0.116009747,54.20804634
As 188.979 - A,0.007979663,,,,,0.008306581,,0.0083,0.0,0.016829735,0.009790399,0.0133,0.0035,0.012994104,,0.013,0.0,0.015225642,,0.0152,0.0,0.015528009,0.009914118,0.0127,0.0028,0.009313371,0.015767906,0.0125,0.0032,0.011105199,,0.0111,0.0,0.034704598,0.046962275,0.0408,0.0061,0.043768668,0.044073644,0.0439,0.0002,0.020013264,0.01895745,0.0195,0.0005,0.019360123,0.021473577,0.0204,0.0011,0.013781475,0.024037067,0.0189,0.0051,0.015454766,0.021459401,0.0185,0.003,0.018143403,0.014706073,0.0164,0.0017,0.020906711,0.018648538,0.0198,0.0011,,,,,0.015181833,,0.0152,0.0,0.023582,0.018352919,0.021,0.0026,0.009876876,0.05915897
B 249.677 - R,0.016119448,,,,,,,,,0.031251946,0.023156762,0.0272,0.004,0.075494318,0.047147336,0.0613,0.0142,,,,,0.016370566,,0.0164,0.0,0.079251895,0.056093031,0.0677,0.0116,,,,,0.041094872,0.037636578,0.0394,0.0017,0.055065417,0.047218639,0.0511,0.0039,,,,,0.018413065,0.018725866,0.0186,0.0002,0.030693265,0.025260185,0.028,0.0027,0.055656343,0.040515984,0.0481,0.0076,0.03317426,0.032461513,0.0328,0.0004,0.037349707,0.035020841,0.0362,0.0012,,0.02191973,,,0.16599425,0.139069631,0.1525,0.0135,0.101090407,0.099195112,0.1001,0.0009,,0.112494215
Ba 233.527 - A,0.000265671,0.028158672,0.02877637,0.0285,0.0003,0.028845376,0.029278823,0.0291,0.0002,0.029083121,0.028869996,0.029,0.0001,0.029182103,0.030030314,0.0296,0.0004,0.023926401,0.023483205,0.0237,0.0002,0.024665649,0.024221483,0.0244,0.0002,0.020941753,0.021102074,0.021,0.0001,0.021801787,0.022028627,0.0219,0.0001,0.002444542,0.002776081,0.0026,0.0002,0.003455825,0.003356302,0.0034,0.0,0.022541354,0.022682134,0.0226,0.0001,0.02429045,0.024897618,0.0246,0.0003,0.027535769,0.027935375,0.0277,0.0002,0.028562895,0.028477574,0.0285,0.0,0.035516164,0.034962506,0.0352,0.0003,0.038316487,0.038668889,0.0385,0.0002,0.001107504,0.0010332,0.001053897,0.001000835,0.011009736,0.010911436,0.011,0.0,0.011176128,0.011088472,0.0111,0.0,0.042285062,0.003486641
Be 313.107 - R,0.000154033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01043033
Ca 317.933 - A,0.025407467,7.987371007,8.016502152,8.0019,0.0146,8.159505682,8.196328293,8.1779,0.0184,10.27716194,10.28645454,10.2818,0.0046,10.42810576,9.981520467,10.2048,0.2233,11.68679346,11.65269886,11.6697,0.017,11.88268018,11.44927639,11.666,0.2167,20.64476923,20.42416695,20.5345,0.1103,19.73379761,20.97457715,20.3542,0.6204,363.5692044,342.818182,353.1937,10.3755,356.1437551,360.7163879,358.4301,2.2863,53.99807379,55.6021634,54.8001,0.802,56.60458594,56.37026277,56.4874,0.1172,48.1226278,47.49793765,47.8103,0.3123,47.73657151,48.46282035,48.0997,0.3631,50.13392182,51.24193008,50.6879,0.554,52.53881836,51.80776454,52.1733,0.3655,,,,,25.86352469,26.68248663,26.273,0.4095,26.28756337,25.93825445,26.1129,0.1747,27.51087298,140.1515176
Cd 214.440 - A,0.000598731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001133444,0.169647252
