ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ref1,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,
Analyte Name,DL (mg/l),FA1,FA2,Avg,StDev,RA1,RA2,Avg,StDev,FA1,FA2,Avg,StDev,RA1,RA2,Avg,StDev,FA1,FA2,Avg,StDev,RA1,RA2,Avg,StDev,FA1,FA2,Avg,StDev,RA1,RA2,Avg,StDev,FA1,FA2,Avg,StDev,RA1,RA2,Avg,StDev,FA1,FA2,Avg,StDev,RA1,RA2,Avg,StDev
Al 308.215-A,0.0205,BDL,BDL,,,0.0294,0.0318,0.0306,0.0017,0.025,0.0215,0.0233,0.0025,0.3765,0.3861,0.3813,0.0068,0.034,0.0371,0.0356,0.0022,0.4215,0.4284,0.4250,0.0049,0.0353,0.0399,0.0376,0.0033,0.4132,0.4169,0.4151,0.0026,0.0387,0.0393,0.0390,0.0004,0.5416,0.4727,0.5072,0.0487,0.0269,0.021,0.0240,0.0042,0.2034,0.2023,0.2029,0.0008
As 188.979-A*,0.0047,0.0102,0.0087,0.0095,0.0011,0.0105,0.0102,0.0104,0.0002,0.0064,0.0063,0.0064,0.0001,BDL,0.0058,0.0058,,0.0099,0.0109,0.0104,0.0007,0.014,0.0059,0.0100,0.0057,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,
B 249.772-R,0.0459,BDL,BDL,,,0.1048,0.0721,0.0885,0.0231,0.1091,0.094,0.1016,0.0107,0.2207,0.1724,0.1966,0.0342,0.1135,0.1061,0.1098,0.0052,0.1203,0.1142,0.1173,0.0043,0.1791,0.1432,0.1612,0.0254,0.1422,0.1276,0.1349,0.0103,0.0468,BDL,0.0468,,0.078,0.0681,0.0731,0.0070,0.0601,0.0497,0.0549,0.0074,0.0541,0.0481,0.0511,0.0042
Ba 233.527-A*,0.0001,0.033,0.0331,0.0331,0.0001,0.0331,0.0331,0.0331,0.0000,0.0289,0.0289,0.0289,0.0000,0.0293,0.0295,0.0294,0.0001,0.0262,0.0265,0.0264,0.0002,0.0273,0.0276,0.0275,0.0002,0.0246,0.0244,0.0245,0.0001,0.0253,0.0252,0.0253,0.0001,0.0265,0.0263,0.0264,0.0001,0.0281,0.0276,0.0279,0.0004,0.0292,0.029,0.0291,0.0001,0.0301,0.03,0.0301,0.0001
Be 313.107-R,0.0002,BDL,BDL,,,BDL,BDL,,,0.0002,0.0003,0.0003,0.0001,0.0008,0.0008,0.0008,0.0000,0.0003,0.0004,0.0004,0.0001,0.0007,0.0014,0.0011,0.0005,BDL,BDL,,,0.0004,0.0008,0.0006,0.0003,0.0004,0.0003,0.0004,0.0001,0.0009,0.0004,0.0007,0.0004,BDL,BDL,,,BDL,BDL,,
Ca 315.887-R*,0.0064,11.1354,11.1545,11.1450,0.0135,11.2214,11.2581,11.2398,0.0260,61.5736,59.8266,60.7001,1.2353,59.4766,58.6935,59.0851,0.5537,73.3335,74.5486,73.9411,0.8592,73.7535,74.3044,74.0290,0.3895,71.0354,72.8602,71.9478,1.2903,73.3466,72.0318,72.6892,0.9297,65.6578,65.1856,65.4217,0.3339,66.1513,65.5131,65.8322,0.4513,61.324,59.7512,60.5376,1.1121,58.8996,60.1844,59.5420,0.9085
Cd 214.440-A,0.0001,BDL,BDL,,,BDL,BDL,,,0.0031,0.0032,0.0032,0.0001,0.0037,0.0037,0.0037,0.0000,0.0047,0.0047,0.0047,0.0000,0.0052,0.006,0.0056,0.0006,0.0049,0.0047,0.0048,0.0001,0.0053,0.0054,0.0054,0.0001,0.0042,0.0043,0.0043,0.0001,0.0049,0.0047,0.0048,0.0001,0.0022,0.0021,0.0022,0.0001,0.0028,0.0028,0.0028,0.0000
Co 228.616-A,0.0002,BDL,BDL,,,BDL,0.0003,0.0003,,0.0237,0.0239,0.0238,0.0001,0.0234,0.0238,0.0236,0.0003,0.0268,0.027,0.0269,0.0001,0.0272,0.0279,0.0276,0.0005,0.0241,0.0243,0.0242,0.0001,0.0249,0.0247,0.0248,0.0001,0.0165,0.0165,0.0165,0.0000,0.0167,0.0164,0.0166,0.0002,0.0071,0.0071,0.0071,0.0000,0.0075,0.0075,0.0075,0.0000
