ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ref 1,,,,,,,,Ref 2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,,USGS,,,,,,,
Analyte Name,DL (mg/l),FA1,FA2,Avg,StDev,RA1,RA2,Avg,StDev,FA1,FA2,Avg,StDev,RA1,RA2,Avg,StDev,FA1,FA2,Avg,StDev,RA1,RA2,Avg,StDev,FA1,FA2,Avg,StDev,RA1,RA2,Avg,StDev,FA1,FA2,Avg,StDev,RA1,RA2,Avg,StDev,FA1,FA2,Avg,StDev,RA1,RA2,Avg,StDev,FA1,FA2,Avg,StDev,RA1,ARG R,RA2,Avg,StDev,FA1,FA2,Avg,StDev,RA1,RA2,Avg,StDev
Al 308.215-A,0.0205,0.0244,BDL,0.0244,,0.0329,0.0347,0.0338,0.0013,BDL,BDL,,,0.0908,0.1017,0.0963,0.0077,BDL,BDL,,,0.1036,0.0816,0.0926,0.0156,BDL,BDL,,,0.1034,0.1126,0.1080,0.0065,1.759,1.7634,1.7612,0.0031,2.1625,1.9614,2.0620,0.1422,BDL,BDL,,,0.2882,0.2877,0.2880,0.0004,BDL,0.0293,0.0293,,0.2419,0.2677,0.2562,0.2553,0.0129,BDL,BDL,,,3.1505,3.0525,3.1015,0.0693
As 188.979-A*,0.0047,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.0051,0.0051,,BDL,BDL,,,BDL,BDL,,,0.0053,BDL,0.0053,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,
B 249.772-R,0.0459,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.0468,0.0468,,BDL,BDL,,,BDL,BDL,,,0.3653,0.5506,0.4580,0.1310,0.3889,0.3845,0.3867,0.0031,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.049,BDL,0.0490,,BDL,BDL,,,0.1065,0.1089,0.1077,0.0017
Ba 233.527-A*,0.0001,0.0246,0.0244,0.0245,0.0001,0.0224,0.0232,0.0228,0.0006,0.0218,0.0239,0.0229,0.0015,0.0256,0.0244,0.0250,0.0008,0.0217,0.0216,0.0217,0.0001,0.0255,0.0251,0.0253,0.0003,0.0205,0.0211,0.0208,0.0004,0.0213,0.0246,0.0230,0.0023,0.01,0.0113,0.0107,0.0009,0.009,0.0096,0.0093,0.0004,0.0214,0.022,0.0217,0.0004,0.0218,0.0227,0.0223,0.0006,0.0202,0.0239,0.0221,0.0026,0.0228,0.0249,0.0234,0.0237,0.0011,0.0183,0.0184,0.0184,0.0001,0.0556,0.0557,0.0557,0.0001
Be 313.107-R,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.0007,0.0007,,0.0047,0.0045,0.0046,0.0001,0.0022,0.0047,0.0035,0.0018,BDL,0.0004,0.0004,,0.0003,0.0003,0.0003,0.0000,BDL,BDL,,,BDL,BDL,0.0002,0.0002,,BDL,BDL,,,0.0016,0.0016,0.0016,0.0000
Ca 315.887-R*,0.0064,7.6778,7.6686,7.6732,0.0065,7.5711,7.7228,7.6470,0.1073,8.6865,8.7202,8.7034,0.0238,9.0882,8.975,9.0316,0.0800,10.2698,10.2422,10.2560,0.0195,10.4538,10.3232,10.3885,0.0923,18.7405,18.8815,18.8110,0.0997,18.4165,18.5064,18.4615,0.0636,251.911,249.1663,250.5387,1.9408,248.5282,258.8425,253.6854,7.2933,32.7491,33.1737,32.9614,0.3002,33.3031,34.1394,33.7213,0.5914,32.9436,33.9417,33.4427,0.7058,33.7772,34.2238,33.9149,33.9720,0.2287,38.601,37.7879,38.1945,0.5749,41.1112,40.8289,40.9701,0.1996
Cd 214.440-A,0.0001,BDL,BDL,,,BDL,BDL,,,BDL,0.0003,0.0003,,0.0002,BDL,0.0002,,BDL,BDL,,,0.0004,0.0005,0.0005,0.0001,0.0006,0.0005,0.0006,0.0001,BDL,0.0028,0.0028,,0.0139,0.0144,0.0142,0.0004,0.0138,0.0139,0.0139,0.0001,0.0015,0.0015,0.0015,0.0000,0.0022,0.002,0.0021,0.0001,BDL,0.0018,0.0018,,0.0019,0.0025,0.0019,0.0021,0.0003,BDL,BDL,,,0.0089,0.0089,0.0089,0.0000
Co 228.616-A,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.0006,0.0006,,BDL,0.0005,0.0005,,BDL,BDL,,,0.0029,0.0034,0.0032,0.0004,0.0009,0.0048,0.0029,0.0028,0.1281,0.1291,0.1286,0.0007,0.122,0.1257,0.1239,0.0026,0.0098,0.01,0.0099,0.0001,0.0099,0.0102,0.0101,0.0002,0.005,0.0077,0.0064,0.0019,0.008,0.0077,0.0079,0.0079,0.0002,0.0033,0.0016,0.0025,0.0012,0.0132,0.0135,0.0134,0.0002
