ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF2,,,,,,,,,,,,ANT,,,,,,,,,,,,,,,,NT,,,,RAP,,,,,,,,,,,,,,,,WTP,,,,,,,,RBP,,,,,,,,,,,,ARG,,,,Hematite,,,
Analyte Name,DL (mg/l),RA1,RA2,AVG,STDEV,0.45FA1,0.45FA2,AVG,STDEV,0.02FA1,0.02FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,ANT 2S,ANT 2S,AVG,STDEV,0.45FA1,0.45FA2,AVG,STDEV,0.02FA1,0.02FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,RA1,RA2,AVG,STDEV,RAP 2S,RAP 2S,AVG,STDEV,0.45FA1,0.45FA2,AVG,STDEV,0.02FA1,0.02FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,0.45FA1,0.45FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,0.45FA1,0.45FA2,AVG,STDEV,0.02FA1,0.02FA2,AVG,STDEV,ARG 2S,ARG 2S,AVG,STDEV,hematite stock,1000x hematite,,
Al 308.215-A,0.0205,0.0611,0.0516,0.0564,0.0067,BDL,0.0267,0.0267,,BDL,BDL,,,0.0599,0.0719,0.0659,0.0085,0.0871,0.082,0.0846,0.0036,0.0245,0.0222,0.0234,0.0016,BDL,BDL,,,0.2242,0.2209,0.2226,0.0023,0.1016,0.088,0.0948,0.0096,0.1394,0.1066,0.1230,0.0232,0.0319,0.0324,0.0322,0.0004,0.0254,0.0207,0.0231,0.0033,0.361,#VALUE!,,,#VALUE!,0.403,,,BDL,#VALUE!,,,0.026,BDL,0.0260,,BDL,0.0239,0.0239,,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
As 188.979-A*,0.0047,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,#VALUE!,,,BDL,BDL,,,0.0057,BDL,0.0057,,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
B 249.772-R,0.0459,BDL,BDL,,,BDL,0.0685,0.0685,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0464,BDL,0.0464,,0.2046,0.2081,0.2064,0.0025,BDL,0.0717,0.0717,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,0.51,#VALUE!,,,BDL,0.693,0.6930,,BDL,0.0819,0.0819,,0.0539,BDL,0.0539,,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Ba 233.527-A*,0.0001,0.0243,0.0242,0.0243,0.0001,0.0228,0.0253,0.0241,0.0018,0.0217,0.0216,0.0217,0.0001,0.0238,0.0236,0.0237,0.0001,0.0233,0.0234,0.0234,0.0001,0.0231,0.0231,0.0231,0.0000,0.0227,0.0225,0.0226,0.0001,0.0094,0.0094,0.0094,0.0000,0.0232,0.0237,0.0235,0.0004,0.0259,0.0228,0.0244,0.0022,0.0224,0.0223,0.0224,0.0001,0.0216,0.0218,0.0217,0.0001,0.046,0.012,0.0290,0.0240,0.024,0.049,0.0365,0.0177,0.023,0.032,0.0275,0.0064,0.0237,0.0241,0.0239,0.0003,0.0233,0.0231,0.0232,0.0001,0.023,0.021,0.0220,0.0014,0.5,0.0005,,
Be 313.107-R,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0016,0.0016,0.0016,0.0000,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,#VALUE!,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Ca 315.887-R*,0.0064,8.2065,8.1081,8.1573,0.0696,8.0447,7.9935,8.0191,0.0362,7.9529,7.8941,7.9235,0.0416,9.0446,9.1383,9.0915,0.0663,8.9335,8.9169,8.9252,0.0117,8.9598,9.0751,9.0175,0.0815,9.0702,8.9507,9.0105,0.0845,200.328,200.7885,200.5583,0.3256,13.6538,13.564,13.6089,0.0635,15.003,13.5467,14.2749,1.0298,13.5515,13.6035,13.5775,0.0368,13.5743,13.5346,13.5545,0.0281,18.235,444.817,231.5260,301.6390,445.116,18.636,231.8760,301.5669,59.664,58.696,59.1800,0.6845,58.0397,57.9243,57.9820,0.0816,58.0058,58.4313,58.2186,0.3009,16.642,16.755,16.6985,0.0799,#VALUE!,BDL,,
Cd 214.440-A,0.0001,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0068,0.0067,0.0068,0.0001,BDL,BDL,,,0.0003,0.0003,0.0003,0.0000,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,#VALUE!,,,0.0004,0.001,0.0007,0.0004,0.0006,0.0004,0.0005,0.0001,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Co 228.616-A,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.1015,0.1017,0.1016,0.0001,BDL,BDL,,,0.0011,0.0009,0.0010,0.0001,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,#VALUE!,,,0.0013,0.0018,0.0016,0.0004,0.0011,0.0011,0.0011,0.0000,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
