ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ref 2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,Blank,
Analyte Name,DL (mg/l),RA1,RA2,AVG,STD,FA1,FA2,AVG,STD,RA1,RA2,AVG,STD,FA1,FA2,AVG,STD,RA1,RA2,AVG,STD,FA1,FA2,AVG,STD,RA1,RA2,AVG,STD,FA1,FA2,AVG,STD,RA1,RA2,AVG,STD,FA1,FA2,AVG,STD,RA1,RA2,AVG,STD,FA1,FA2,AVG,STD,RA1,RA2,AVG,STD,FA1,FA2,AVG,STD,FA,
Al 308.215-A,0.0205,0.3963,0.3348,0.3656,0.0435,0.0397,0.0458,0.0428,0.0043,0.6914,0.5241,0.6078,0.1183,0.0466,0.05,0.0483,0.002404163,0.4947,0.5489,0.5218,0.0383,0.0709,0.0744,0.0727,0.0025,0.0341,0.0373,0.0357,0.0023,0.0405,0.0321,0.0363,0.0059,0.4148,0.397,0.4059,0.0126,0.0648,0.0721,0.0685,0.0052,0.591,0.5283,0.5597,0.0443,0.0589,0.0519,0.0554,0.0049,0.4194,0.4412,0.4303,0.0154,0.054,0.0561,0.0551,0.0015,0.0213,
As 188.979-A*,0.0047,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0129,0.0125,0.0127,0.0003,0.0102,0.0088,0.0095,0.0010,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,
B 249.772-R,0.0459,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.1183,0.0652,0.0918,0.0375,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0519,BDL,0.0519,,BDL,BDL,,,BDL,0.0682,0.0682,,BDL,
Ba 233.527-A*,0.0001,0.0251,0.0232,0.0242,0.0013,0.0171,0.0172,0.0172,0.0001,0.0289,0.0274,0.0282,0.0011,0.0176,0.0175,0.01755,7.07107E-05,0.0251,0.0254,0.0253,0.0002,0.0175,0.0175,0.0175,0.0000,0.0084,0.0083,0.0084,0.0001,0.0084,0.0085,0.0085,0.0001,0.026,0.0253,0.0257,0.0005,0.0202,0.0203,0.0203,0.0001,0.0262,0.0257,0.0260,0.0004,0.0177,0.0175,0.0176,0.0001,0.0236,0.0252,0.0244,0.0011,0.0171,0.0178,0.0175,0.0005,0.0399,
Be 313.107-R,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0012,0.0004,0.0008,0.0006,0.0003,0.0003,0.0003,0.0000,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.0003,0.0003,,BDL,
Ca 315.887-R*,0.0064,5.4024,5.2852,5.3438,0.0829,5.2228,5.2426,5.2327,0.0140,5.7976,5.6817,5.7397,0.0820,5.5332,5.5233,5.52825,0.007000357,7.0343,6.942,6.9882,0.0653,6.9557,6.8635,6.9096,0.0652,422.9092,433.828,428.3686,7.7208,437.3578,434.3491,435.8535,2.1275,17.7879,17.8847,17.8363,0.0684,17.6507,17.7594,17.7051,0.0769,8.0482,8.0882,8.0682,0.0283,8.0059,7.8639,7.9349,0.1004,10.0491,10.1467,10.0979,0.0690,9.8289,9.9986,9.9138,0.1200,40.6952,
Cd 214.440-A,0.0001,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0006,BDL,0.0006,,BDL,BDL,,,0.0004,0.0003,0.0004,0.0001,0.0004,0.0002,0.0003,0.0001,0.0007,0.0005,0.0006,0.0001,0.0003,0.0003,0.0003,0.0000,0.0005,0.0005,0.0005,0.0000,0.0002,0.0006,0.0004,0.0003,0.0003,
Co 228.616-A,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0017,0.001,0.0014,0.0005,0.0007,0.0007,0.0007,0.0000,0.0014,0.0008,0.0011,0.0004,0.0007,0.0008,0.0008,0.0001,0.001,0.0011,0.0011,0.0001,0.0009,0.0006,0.0008,0.0002,0.0012,0.0012,0.0012,0.0000,0.0004,0.0008,0.0006,0.0003,BDL,
Cr 205.560-A,0.0003,0.0004,0.0003,0.0004,0.0001,BDL,BDL,,,0.0012,0.0009,0.0011,0.0002,BDL,BDL,,,BDL,0.0003,0.0003,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0006,0.0008,0.0007,0.0001,BDL,BDL,,,0.0014,0.0015,0.0015,0.0001,BDL,BDL,,,0.001,0.001,0.0010,0.0000,BDL,BDL,,,BDL,
Cu 324.752-A,0.0011,0.0038,0.0034,0.0036,0.0003,BDL,BDL,,,0.017,0.0176,0.0173,0.0004,0.0031,0.0022,0.00265,0.000636396,0.0275,0.028,0.0278,0.0004,0.0055,0.0056,0.0056,0.0001,0.0012,BDL,0.0012,,BDL,BDL,,,0.0201,0.0201,0.0201,0.0000,0.0081,0.0081,0.0081,0.0000,0.0323,0.0295,0.0309,0.0020,0.0085,0.0077,0.0081,0.0006,0.0209,0.0219,0.0214,0.0007,0.0071,0.0074,0.0073,0.0002,0.0998,
Fe 238.204-A,0.0003,0.8382,0.6918,0.7650,0.1035,0.0358,0.0463,0.0411,0.0074,2.0085,1.6099,1.8092,0.2819,0.0574,0.0546,0.056,0.001979899,1.737,1.8688,1.8029,0.0932,0.1541,0.1513,0.1527,0.0020,0.192,0.1788,0.1854,0.0093,0.0035,BDL,0.0035,,1.8436,1.819,1.8313,0.0174,0.1236,0.1341,0.1289,0.0074,3.3169,3.0906,3.2038,0.1600,0.1411,0.11,0.1256,0.0220,3.0783,3.1312,3.1048,0.0374,0.121,0.118,0.1195,0.0021,0.0063,
