ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,Blank,,,,,,,,
Analyte Name,DL (mg/l),RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,
Al 308.215-A,0.0205,0.1814,0.1922,0.1868,0.0076,0.0896,0.0797,0.0847,0.0070,0.185,0.1909,0.1880,0.0042,0.0803,0.0666,0.0735,0.0097,0.2824,0.286,0.2842,0.0025,0.144,0.1266,0.1353,0.0123,0.046,0.0414,0.0437,0.0033,BDL,0.0337,0.0337,,0.2883,0.2975,0.2929,0.0065,0.1107,0.1105,0.1106,0.0001,0.3747,0.2937,0.3342,0.0573,0.0944,0.1125,0.1035,0.0128,BDL,BDL,,,BDL,BDL,,,
As 188.979-A*,0.0047,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
B 249.772-R,0.0459,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0815,0.0554,0.0685,0.0185,BDL,BDL,,,BDL,BDL,,,BDL,0.0838,0.0838,,BDL,0.1085,0.1085,,BDL,BDL,,,BDL,BDL,,,0.049,BDL,0.0490,,0.0933,BDL,0.0933,,BDL,BDL,,,BDL,BDL,,,
Ba 233.527-A*,0.0001,0.0243,0.0242,0.0243,0.0001,0.0208,0.0208,0.0208,0.0000,0.0225,0.0223,0.0224,0.0001,0.0202,0.0198,0.0200,0.0003,0.0228,0.0227,0.0228,0.0001,0.02,0.0201,0.0201,0.0001,0.0071,0.0071,0.0071,0.0000,0.0063,0.0068,0.0066,0.0004,0.0241,0.0241,0.0241,0.0000,0.0218,0.0219,0.0219,0.0001,0.0299,0.0277,0.0288,0.0016,0.0226,0.0255,0.0241,0.0021,0.0424,0.0424,0.0424,0.0000,0.0424,0.0423,0.0424,0.0001,
Be 313.107-R,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
Ca 315.887-R*,0.0064,5.9803,6.0657,6.0230,0.0604,5.9082,5.9801,5.9442,0.0508,7.3843,7.4044,7.3944,0.0142,7.318,7.3133,7.3157,0.0033,8.4517,8.4437,8.4477,0.0057,8.269,8.3843,8.3267,0.0815,472.1436,474.2691,473.2064,1.5030,451.8391,455.0173,453.4282,2.2473,17.1232,17.2402,17.1817,0.0827,16.9865,17.1592,17.0729,0.1221,17.1165,16.6786,16.8976,0.3096,15.6372,16.409,16.0231,0.5457,43.6871,46.5228,45.1050,2.0051,42.61,42.7316,42.6708,0.0860,
Cd 214.440-A,0.0001,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
Co 228.616-A,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
Cr 205.560-A,0.0003,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
Cu 324.752-A,0.0011,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.017,0.0161,0.0166,0.0006,0.0063,0.0055,0.0059,0.0006,BDL,BDL,,,BDL,BDL,,,0.0182,0.0178,0.0180,0.0003,0.0051,0.005,0.0051,0.0001,0.0201,0.0171,0.0186,0.0021,0.003,0.0038,0.0034,0.0006,0.0836,0.0839,0.0838,0.0002,0.086,0.0863,0.0862,0.0002,
Fe 238.204-A,0.0003,0.2539,0.2528,0.2534,0.0008,0.0459,0.0461,0.0460,0.0001,0.2704,0.289,0.2797,0.0132,0.0492,0.042,0.0456,0.0051,0.4887,0.4852,0.4870,0.0025,0.1153,0.1067,0.1110,0.0061,0.4963,0.6202,0.5583,0.0876,BDL,BDL,,,0.4779,0.4902,0.4841,0.0087,0.0869,0.086,0.0865,0.0006,1.0876,0.7027,0.8952,0.2722,0.0832,0.0963,0.0898,0.0093,BDL,BDL,,,BDL,BDL,,,
