ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blank,NT,,BNT,,RAP,,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analyte Name,DL (mg/l),,RA,FA,RA,FA,RA,FA,RA,FA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al 396.153 - A,0.0205,BDL,0.1993,0.0386,0.2637,BDL,0.195,0.0318,0.3188,BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As 188.979 - A,0.0047,BDL,0.0529,0.0473,0.0075,0.0056,0.0079,0.0113,0.0114,BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B 249.677 - R,0.0459,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba 233.527 - A,0.0001,0.0002,0.0081,0.0082,0.0268,0.021,0.0259,0.0217,0.0287,0.0238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be 313.107 - R,0.0002,BDL,0.0018,0.0015,BDL,BDL,BDL,BDL,BDL,BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca 317.933 - A,0.0064,BDL,226.1818,222.5847,12.5854,12.1518,15.6977,15.6161,24.9714,24.8748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cd 214.440 - A,0.0001,BDL,0.0101,0.0097,0.0016,0.0004,0.0009,0.0008,0.0013,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co 228.616 - A,0.0002,BDL,0.1089,0.1086,0.0027,0.0024,0.0016,0.0012,0.0052,0.0048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr 205.560 - A,0.0003,BDL,BDL,BDL,0.0009,BDL,0.0006,0.0008,0.0018,BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
