ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK,,
Analyte Name,DL (mg/l),FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA,RA,
Ar 420.069 - A,% Concentration,83.0000,81.0000,,,79.2747,80.2327,,,83.0000,84.0000,,,87.0000,80.0000,,,76.0000,77.0000,,,84.0000,86.0000,,,74.0000,76.0000,,,71.0000,83.0000,77.0000,8.4853,81.0000,83.0000,82.0000,1.4142,75.0000,81.0000,78.0000,4.2426,82.0000,81.0000,,,84.0000,84.0000,,,83.0000,81.0000,,,80.0000,85.0000,,,84.0000,80.0000,
Sc 361.383 - R,% Concentration,94.0000,94.0000,,,95.3401,95.8851,,,95.0000,96.0000,,,95.0000,96.0000,,,95.0000,93.0000,,,94.0000,95.0000,,,89.0000,89.0000,,,88.0000,90.0000,89.0000,1.4142,93.0000,93.0000,93.0000,0.0000,94.0000,93.0000,93.5000,0.7071,94.0000,96.0000,,,94.0000,91.0000,,,93.0000,93.0000,,,94.0000,92.0000,,,93.0000,94.0000,
Sc 357.253 - A,% Concentration,95.0000,92.0000,,,92.7489,92.6546,,,92.0000,91.0000,,,92.0000,91.0000,,,90.0000,91.0000,,,91.0000,92.0000,,,80.0000,83.0000,,,81.0000,84.0000,82.5000,2.1213,88.0000,89.0000,88.5000,0.7071,87.0000,89.0000,88.0000,1.4142,87.0000,89.0000,,,88.0000,88.0000,,,89.0000,88.0000,,,88.0000,89.0000,,,91.0000,91.0000,
Al 396.153 - A,0.0011,0.0426,0.0337,0.0382,0.0063,0.0487,0.0484,0.0486,0.0002,0.0380,0.0414,0.0397,0.0024,0.0820,0.0560,0.0690,0.0184,0.0688,0.0692,0.0690,0.0003,0.1562,0.1547,0.1555,0.0011,0.0224,0.0230,0.0227,0.0004,0.0354,0.0318,0.0336,0.0025,0.0525,0.0508,0.0517,0.0012,0.1092,0.1042,0.1067,0.0035,0.0285,0.0297,0.0291,0.0008,0.0519,0.0522,0.0521,0.0002,0.0284,0.0318,0.0301,0.0024,0.0742,0.0793,0.0768,0.0036,0.0069,0.0048,
As 188.979 - A,0.0080,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.0091,0.0091,,0.0129,0.0099,0.0114,0.0021,0.0343,0.0358,0.0351,0.0011,0.0388,0.0278,0.0333,0.0078,0.0128,0.0094,0.0111,0.0024,0.0157,0.0146,0.0152,0.0008,0.0164,0.0154,0.0159,0.0007,0.0179,0.0144,0.0162,0.0025,0.0170,0.0103,0.0137,0.0047,0.0107,0.0136,0.0122,0.0021,0.0093,0.0093,
B 249.677 - R,0.0161,0.0525,0.0337,0.0431,0.0133,0.0196,BDL,0.0196,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0951,0.0586,0.0769,0.0258,0.0632,0.0506,0.0569,0.0089,0.0436,0.0350,0.0393,0.0061,0.0209,0.0166,0.0188,0.0030,BDL,BDL,,,0.1019,0.0629,0.0824,0.0276,0.0465,0.0371,0.0418,0.0066,0.0469,0.0430,0.0450,0.0028,0.0400,0.0397,0.0399,0.0002,BDL,BDL,
Ba 233.527 - A,0.0003,0.0324,0.0327,0.0326,0.0002,0.0362,0.0334,0.0348,0.0020,0.0330,0.0335,0.0333,0.0004,0.0347,0.0339,0.0343,0.0006,0.0336,0.0332,0.0334,0.0003,0.0336,0.0334,0.0335,0.0001,0.0052,0.0047,0.0050,0.0004,0.0047,0.0046,0.0047,0.0001,0.0276,0.0277,0.0277,0.0001,0.0284,0.0278,0.0281,0.0004,0.0340,0.0333,0.0337,0.0005,0.0338,0.0343,0.0341,0.0004,0.0323,0.0327,0.0325,0.0003,0.0332,0.0330,0.0331,0.0001,0.0313,0.0312,
Be 313.107 - R,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0002,BDL,0.0002,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,
