ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK,,
Analyte Name,DL (mg/l),FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA,RA,
Ar 420.069 - A,% Concentration,94,90,,,89,89,,,86,87,,,89,86,,,81,94,,,81,80,,,84,83,,,85,87,,,76,73,,,78,75,,,75,74,,,68,70,,,75,75,,,67,74,,,79,74,,,80,79,,,75,75,
Sc 361.383 - R,% Concentration,97,97,,,97,97,,,97,98,,,95,97,,,96,94,,,95,95,,,96,94,,,93,96,,,89,91,,,90,92,,,93,90,,,94,94,,,96,94,,,98,93,,,96,96,,,92,93,,,96,96,
Sc 357.253 - A,% Concentration,94,91,,,94,93,,,92,92,,,92,92,,,88,92,,,89,90,,,88,88,,,89,89,,,82,83,,,83,84,,,86,86,,,85,85,,,88,88,,,87,88,,,88,86,,,89,87,,,90,94,
Al 396.153 - A,0.0011,0.0043,0.0113,0.0078,0.0049,0.02,0.0196,0.0198,0.0003,0.0277,0.0321,0.0299,0.0031,0.0687,0.0643,0.0665,0.0031,0.0431,0.0438,0.0435,0.0005,0.3888,0.3764,0.3826,0.0088,0.0489,0.0424,0.0457,0.0046,0.7358,0.7472,0.7415,0.0081,0.0109,0.0083,0.0096,0.0018,0.0279,0.0282,0.0281,0.0002,0.0464,0.0477,0.0471,0.0009,0.6294,0.6434,0.6364,0.0099,0.0263,0.0255,0.0259,0.0006,0.2641,0.2567,0.2604,0.0052,0.0251,0.0259,0.0255,0.0006,0.1182,0.0985,0.1084,0.0139,0.0137,0.0048,
As 188.979 - A,0.008,0.0118,0.0089,0.0104,0.0021,0.0099,0.0129,0.0114,0.0021,0.0122,BDL,0.0122,,BDL,0.0117,0.0117,,BDL,BDL,,,0.0109,BDL,0.0109,,0.0147,0.0138,0.0143,0.0006,0.0119,0.0136,0.0128,0.0012,0.0331,0.0396,0.0364,0.0046,0.0404,0.0323,0.0364,0.0057,0.0161,0.0244,0.0203,0.0059,0.0288,0.0208,0.0248,0.0057,0.0256,0.0155,0.0206,0.0071,0.0199,0.0201,0.0200,0.0001,0.0154,0.0134,0.0144,0.0014,0.0235,0.0164,0.0200,0.0050,0.0179,0.0113,
B 249.677 - R,0.0161,0.1471,0.104,0.1256,0.0305,0.084,0.0644,0.0742,0.0139,0.0434,0.0298,0.0366,0.0096,0.0207,0.0181,0.0194,0.0018,0.0194,0.0167,0.0181,0.0019,0.0562,0.0308,0.0435,0.0180,0.0301,0.0261,0.0281,0.0028,0.0217,0.0211,0.0214,0.0004,0.0452,0.0421,0.0437,0.0022,0.0407,0.0374,0.0391,0.0023,0.0788,0.0527,0.0658,0.0185,0.0384,0.0329,0.0357,0.0039,0.0241,0.0247,0.0244,0.0004,0.0217,0.0225,0.0221,0.0006,0.0391,0.0377,0.0384,0.0010,0.0944,0.0622,0.0783,0.0228,0.0189,BDL,
Ba 233.527 - A,0.0003,0.0348,0.0355,0.0352,0.0005,0.0344,0.0347,0.0346,0.0002,0.0351,0.0353,0.0352,0.0001,0.0366,0.0358,0.0362,0.0006,0.0389,0.0374,0.0382,0.0011,0.0399,0.0395,0.0397,0.0003,0.036,0.0363,0.0362,0.0002,0.0376,0.0373,0.0375,0.0002,0.0048,0.0045,0.0047,0.0002,0.0046,0.0045,0.0046,0.0001,0.0286,0.0289,0.0288,0.0002,0.03,0.0303,0.0302,0.0002,0.0292,0.0296,0.0294,0.0003,0.0305,0.0303,0.0304,0.0001,0.0298,0.0305,0.0302,0.0005,0.0329,0.0308,0.0319,0.0015,0.0264,0.0254,
Be 313.107 - R,0.0002,0.0003,BDL,0.0003,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,
Ca 317.933 - A,0.0254,12.1574,11.9152,12.0363,0.1713,12.0821,11.8004,11.9413,0.1992,15.6074,15.5447,15.5761,0.0443,16.7146,15.8383,16.2765,0.6196,21.6493,23.3696,22.5095,1.2164,21.9782,21.6718,21.8250,0.2167,33.6484,33.5503,33.5994,0.0694,34.4539,34.4272,34.4406,0.0189,335.9796,329.4996,332.7396,4.5821,320.5058,317.2435,318.8747,2.3068,103.7706,101.2222,102.4964,1.8020,98.4143,101.6792,100.0468,2.3086,74.0402,72.8789,73.4596,0.8212,69.1786,72.4853,70.8320,2.3382,53.73,52.2062,52.9681,1.0775,54.242,53.3061,53.7741,0.6618,22.165,21.7387,
Cd 214.440 - A,0.0006,BDL,BDL,,,BDL,BDL,,,0.0011,0.0009,0.0010,0.0001,0.0012,0.0012,0.0012,0.0000,0.0019,0.0028,0.0024,0.0006,0.0026,0.0026,0.0026,0.0000,0.0035,0.0039,0.0037,0.0003,0.0046,0.0042,0.0044,0.0003,BDL,BDL,,,BDL,BDL,,,0.0032,0.0028,0.0030,0.0003,0.0032,0.003,0.0031,0.0001,0.002,0.0021,0.0021,0.0001,0.002,0.0022,0.0021,0.0001,0.0015,0.0011,0.0013,0.0003,0.0016,0.001,0.0013,0.0004,BDL,BDL,
Cu 324.752,0.0057,0.0117,0.0091,0.0104,0.0018,BDL,BDL,,,0.01,0.0101,0.0101,0.0001,0.0125,0.0122,0.0124,0.0002,0.0231,0.0218,0.0225,0.0009,0.0753,0.072,0.0737,0.0023,0.0408,0.0395,0.0402,0.0009,0.1356,0.1355,0.1356,0.0001,BDL,BDL,,,BDL,BDL,,,0.0398,0.0399,0.0399,0.0001,0.1145,0.1158,0.1152,0.0009,0.0196,0.0196,0.0196,0.0000,0.0512,0.0492,0.0502,0.0014,0.0167,0.0175,0.0171,0.0006,0.0271,0.0231,0.0251,0.0028,0.1078,0.1043,
Cr 205.560 - A,0.0007,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0007,BDL,0.0007,,BDL,BDL,,,BDL,0.0008,0.0008,,0.0009,BDL,0.0009,,BDL,BDL,,,BDL,0.0008,0.0008,,0.0012,BDL,0.0012,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0014,BDL,0.0014,,BDL,BDL,
