ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF 1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,TAP WATER,,CHASE GLUCH,GREGORY GULCH,ABOVE SMITH HILL,BELOW SMITH HILL,VIC'S GOLD
Analyte Name,DL (mg/l),FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA,RA,RA,RA,RA,RA,RA
Ar 420.069 - A,% Concentration,100.840,92.683,,,103.071,96.172,,,97.460,91.774,,,94.752,100.136,,,99.858,99.805,,,89.594,90.176,,,90.643,97.606,,,97.072,88.768,,,91.705,96.832,,,98.588,95.222,,,101.427,100.335,,,97.733,101.668,,,107.995,97.896,,,97.681,100.001,,,113.910,109.478,,,104.678,102.435,,,100.592,98.656,99.098,97.794,110.012,94.801,100.347
Sc 361.383 - R,% Concentration,105.472,104.060,,,103.642,105.170,,,105.032,106.335,,,101.621,102.740,,,100.806,99.460,,,104.489,103.210,,,100.325,106.024,,,105.771,104.879,,,93.113,91.572,,,98.171,92.619,,,114.018,111.321,,,108.016,106.245,,,105.164,108.651,,,108.341,107.802,,,108.979,108.741,,,110.192,109.419,,,106.872,102.613,105.152,100.211,105.277,107.586,106.109
Sc 357.253 - A,% Concentration,98.951,98.555,,,98.374,98.538,,,96.944,98.965,,,99.684,99.545,,,99.441,99.158,,,97.335,97.795,,,98.703,98.818,,,99.611,98.647,,,86.974,86.701,,,87.544,89.098,,,103.851,104.155,,,102.192,100.551,,,102.874,102.340,,,101.142,101.032,,,101.219,101.912,,,103.332,100.484,,,99.020,97.574,104.805,94.674,100.860,101.400,102.505
Al 396.153 - A,0.0011,0.041,0.040,0.0408,0.0005,0.302,0.273,0.2875,0.0200,0.034,0.039,0.0361,0.0035,0.186,0.180,0.1825,0.0043,0.037,0.031,0.0338,0.0039,0.368,0.329,0.3482,0.0277,0.045,0.048,0.0465,0.0024,0.380,0.365,0.3727,0.0104,0.013,0.012,0.0123,0.0011,0.012,0.013,0.0126,0.0009,0.042,0.038,0.0397,0.0029,0.253,0.034,0.1436,0.1552,0.241,0.035,0.1380,0.1460,0.402,0.398,0.4001,0.0026,0.036,0.031,0.0331,0.0035,0.435,0.467,0.4514,0.0225,0.002,0.002,0.078,1.501,0.189,0.888,0.202
As 188.979 - A,0.008,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.008,BDL,0.0084,,BDL,BDL,,,0.029,0.031,0.0297,0.0017,0.033,0.035,0.0337,0.0013,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.008,0.0083,,0.011,BDL,BDL,0.013,BDL,BDL,BDL
B 249.677 - R,0.0161,0.021,BDL,0.0205,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.043,0.020,0.0314,0.0165,BDL,BDL,,,BDL,BDL,,,0.038,0.038,0.0380,0.0001,0.036,0.039,0.0377,0.0022,BDL,0.022,0.0224,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.059,0.036,BDL,0.040,BDL,BDL,BDL
Ba 233.527 - A,0.0003,0.020,0.019,0.0195,0.0001,0.025,0.025,0.0250,0.0003,0.020,0.020,0.0199,0.0003,0.023,0.023,0.0229,0.0001,0.020,0.020,0.0202,0.0000,0.028,0.027,0.0273,0.0007,0.021,0.021,0.0206,0.0000,0.028,0.028,0.0275,0.0000,0.005,0.006,0.0054,0.0001,0.006,0.005,0.0055,0.0000,0.021,0.021,0.0211,0.0000,0.026,0.021,0.0238,0.0034,0.026,0.021,0.0234,0.0034,0.030,0.029,0.0294,0.0004,0.020,0.020,0.0204,0.0000,0.028,0.030,0.0289,0.0009,0.041,0.042,0.034,0.031,0.024,0.040,0.025
Be 313.107 - R,0.0002,0.000,BDL,0.0002,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,0.000,BDL,BDL,BDL
