ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK,,CHASE GULCH,ABOVE SMITH HILL,BELOW SMITH HILL,VIC'S GOLD
Analyte Name,DL (mg/l),FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA,RA,RA,RA,RA,RA
Ar 420.069 - A,% Concentration,90.93152743,94.44149671,,,96.83972216,92.10298714,,,92.02690502,92.60775828,,,92.71876601,93.512155,,,95.6183693,95.47143654,,,91.76170331,91.23959351,,,93.9792035,97.02878697,,,95.49412599,96.30063993,,,90.17463225,86.24683492,,,97.51363512,91.97742695,,,97.52577032,99.01125661,,,96.48613822,97.35366764,,,98.9365283,97.86450149,,,98.29177002,92.43433933,,,96.94811938,91.86807942,,,93.08799298,96.23943991,,,99.38583487,98.96866595,97.56828319,97.96285476,98.14789281,96.70380088
Sc 361.383 - R,% Concentration,101.0711856,97.22021484,,,98.92443984,101.7553629,,,98.86187415,99.53632232,,,98.98510597,98.23779658,,,93.83004065,99.20807654,,,101.1757556,100.5065744,,,98.73878368,97.7984458,,,98.97395849,97.80753294,,,93.84311484,91.1281078,,,87.94401713,90.45756989,,,96.58965698,97.48390044,,,99.56319268,96.80195512,,,95.71262106,95.00700224,,,96.43529364,96.48783101,,,94.681261,98.76646759,,,97.94169588,96.82737525,,,93.41570266,96.22163713,102.7432216,100.0300721,100.0136525,99.61728678
Sc 357.253 - A,% Concentration,99.41231114,98.54868842,,,98.05811678,100.6670396,,,99.219224,100.1625076,,,99.56245908,100.5098249,,,100.6345112,99.27627079,,,98.6656214,99.86223552,,,98.80917394,98.87605186,,,98.86215368,98.77240979,,,90.70783123,90.11762953,,,91.4332888,90.21760912,,,98.33309695,96.56120723,,,97.30891659,98.22147571,,,99.25830447,97.90426041,,,97.69164282,98.02427235,,,96.17139915,97.7083368,,,98.06725532,96.62778453,,,99.48720292,102.2292571,99.50878643,97.83778743,99.14437069,97.42433998
Al 396.153 - A,0.0011,0.00860886,0.009442788,0.0090,0.0006,0.036468537,0.030742728,0.0336,0.0040,0.016199741,0.017213398,0.0167,0.0007,0.033974727,0.037346096,0.0357,0.0024,0.01894343,0.019931989,0.0194,0.0007,0.044064266,0.04872655,0.0464,0.0033,0.039511133,0.044302011,0.0419,0.0034,0.406145502,0.415732491,0.4109,0.0068,0.01733425,0.014785431,0.0161,0.0018,0.022735469,0.023435641,0.0231,0.0005,0.039279618,0.038758354,0.0390,0.0004,0.209426617,0.219660565,0.2145,0.0072,0.027220208,0.026724587,0.0270,0.0004,0.06463497,0.057476968,0.0611,0.0051,0.019632158,0.018717721,0.0192,0.0006,0.059809991,0.082536982,0.0712,0.0161,BDL,0.002083909,0.114366537,0.138888018,0.13039207,0.116972158
As 188.979 - A,0.008,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.023895393,0.025620732,0.0248,0.0012,0.026567271,0.031653768,0.0291,0.0036,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
B 249.677 - R,0.0161,0.041132735,0.026096692,0.0336,0.0106,BDL,0.076656523,0.0767,,0.02505027,0.017261697,0.0212,0.0055,0.052104879,0.036230243,0.0442,0.0112,BDL,BDL,,,BDL,BDL,,,0.060850425,0.03883186,0.0498,0.0156,0.023506549,0.016811816,0.0202,0.0047,0.029239879,0.035122975,0.0322,0.0042,0.028466042,0.028854542,0.0287,0.0003,BDL,BDL,,,BDL,BDL,,,0.040451348,0.031193634,0.0358,0.0065,0.063998332,0.020172847,0.0421,0.0310,BDL,BDL,,,0.021472458,0.016666104,0.0191,0.0034,BDL,BDL,0.038790898,0.020228503,BDL,0.029569851
Ba 233.527 - A,0.0003,0.020247413,0.019927689,0.0201,0.0002,0.020766097,0.020063114,0.0204,0.0005,0.02137155,0.02113095,0.0213,0.0002,0.021417295,0.021318233,0.0214,0.0001,0.021395485,0.021955203,0.0217,0.0004,0.022135337,0.022074022,0.0221,0.0000,0.023716183,0.023759634,0.0237,0.0000,0.0296746,0.029607939,0.0296,0.0000,0.005104946,0.005331776,0.0052,0.0002,0.005394482,0.005589478,0.0055,0.0001,0.022514723,0.022959216,0.0227,0.0003,0.024690697,0.024536758,0.0246,0.0001,0.023450789,0.023982793,0.0237,0.0004,0.024448135,0.024403486,0.0244,0.0000,0.027460572,0.027185114,0.0273,0.0002,0.028772747,0.028833295,0.0288,0.0000,BDL,BDL,0.045865356,0.025967972,0.02512434,0.02411384
Be 313.107 - R,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
Ca 317.933 - A,0.0254,5.426148252,5.440391577,5.4333,0.0101,5.473472714,5.372111114,5.4228,0.0717,6.472307056,6.439754786,6.4560,0.0230,6.515750342,6.464867363,6.4903,0.0360,7.701702821,7.616655785,7.6592,0.0601,7.510730002,7.559046647,7.5349,0.0342,13.15985931,13.1779764,13.1689,0.0128,13.21349912,13.1387983,13.1761,0.0528,344.9311852,341.1354747,343.0333,2.6840,353.0651674,354.0530742,353.5591,0.6986,41.42284206,41.57494266,41.4989,0.1076,41.1557806,41.30045526,41.2281,0.1023,39.94413332,39.8380021,39.8911,0.0750,40.18876785,38.80963093,39.4992,0.9752,38.46346544,37.58385545,38.0237,0.6220,37.91915998,38.52020383,38.2197,0.4250,BDL,BDL,27.19048319,40.79398485,40.16566036,40.84711473
Cd 214.440 - A,0.0006,0.000829591,BDL,0.0008,,BDL,0.000861265,0.0009,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.000936705,0.000836909,0.0009,0.0001,0.000790812,0.000780674,0.0008,0.0000,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,0.005424314,BDL,BDL,BDL
Cu 324.752 - A,0.0057,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.011616985,0.012230198,0.0119,0.0004,0.023042307,0.024387164,0.0237,0.0010,BDL,BDL,,,BDL,BDL,,,0.007384561,0.008273839,0.0078,0.0006,0.015230902,0.016178517,0.0157,0.0007,BDL,BDL,,,0.010337335,0.009070362,0.0097,0.0009,BDL,BDL,,,BDL,0.006140997,0.0061,,BDL,BDL,0.008172095,0.011168527,0.009457247,0.013795247
Cr 205.560 - A,0.0007,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
