ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK,,Chase Gulch,Above Smith Hill,Below Smith Hill,National Tunnel Drainage,
Analyte Name,DL (mg/l),FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA,RA,RA,RA,RA,RA,
Ar 420.069 - A,% Concentration,96,94,,,91,94,,,96,95,,,91,92,,,91,95,,,95,90,,,93,90,,,96,91,,,102,107,,,92,96,,,111,110,,,111,115,,,109,113,,,115,111,,,112,113,,,111,110,,,117,109,113,112,113,107,
Sc 361.383 - R,% Concentration,100,101,,,101,105,,,99,104,,,101,98,,,99,101,,,103,99,,,99,98,,,100,99,,,89,86,,,93,91,,,89,90,,,88,91,,,86,93,,,85,92,,,90,85,,,85,89,,,92,91,92,89,87,90,
Sc 357.253 - A,% Concentration,98,99,,,99,102,,,96,100,,,102,99,,,101,97,,,99,101,,,98,99,,,96,100,,,89,88,,,90,90,,,97,97,,,96,95,,,94,95,,,94,97,,,97,97,,,96,98,,,96,103,101,96,96,89,
Al 396.153 - A,0.0011,BDL,BDL, , ,0.0127,0.0077,0.0102,0.0025,0.0264,0.0271,0.0268,0.0004,0.0344,0.0353,0.0349,0.0004,0.0162,0.0145,0.0154,0.0008,0.0366,0.0385,0.0376,0.0009,0.0304,0.0341,0.0323,0.0019,0.1149,0.1008,0.1079,0.0071,BDL,BDL, , ,0.0132,0.0113,0.0123,0.0010,0.0229,0.0221,0.0225,0.0004,0.0602,0.0633,0.0618,0.0016,0.0054,0.0053,0.0054,0.0001,0.0113,0.0097,0.0105,0.0008,BDL,BDL, , ,0.0296,0.0324,0.0310,0.0014,BDL,BDL,0.0626,0.0152,0.0157,57.3407,
As 188.979 - A,0.008,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0304,0.0329,0.0317,0.0013,0.0378,0.0286,0.0332,0.0046,BDL,BDL, , ,0.012,0.0118,0.0119,0.0001,0.0178,0.0152,0.0165,0.0013,0.0128,0.0091,0.0110,0.0019,0.0114,0.0147,0.0131,0.0017,0.0082,0.0135,0.0109,0.0027,BDL,BDL,BDL,0.0093,0.0097,0.0611,
B 249.677 - R,0.0161,BDL,BDL, , ,BDL,BDL, , ,0.0863,0.042,0.0642,0.0222,BDL,BDL, , ,BDL,BDL, , ,0.0221,BDL,0.0221,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0195,BDL,0.0195,0.0000,0.1071,0.0607,0.0839,0.0232,BDL,BDL, , ,BDL,BDL, , ,0.0515,0.0236,0.0376,0.0140,BDL,BDL, , ,0.018,0.018,0.0180,0.0000,0.0355,0.023,0.0293,0.0063,BDL,BDL,BDL,BDL,0.062,0.0889,
Ba 233.527 - A,0.0003,0.0296,0.029,0.0293,0.0003,0.0296,0.0285,0.0291,0.0006,0.0325,0.0322,0.0324,0.0002,0.0307,0.0317,0.0312,0.0005,0.03,0.0315,0.0308,0.0008,0.0315,0.0314,0.0315,0.0001,0.029,0.029,0.0290,0.0000,0.0309,0.0288,0.0299,0.0011,0.0027,0.0026,0.0027,0.0001,0.0036,0.0034,0.0035,0.0001,0.0288,0.029,0.0289,0.0001,0.0293,0.0298,0.0296,0.0003,0.0355,0.0349,0.0352,0.0003,0.0355,0.0348,0.0352,0.0004,0.041,0.0416,0.0413,0.0003,0.0421,0.0415,0.0418,0.0003,BDL,BDL,0.0358,0.0258,0.0249,0.0009,
Be 313.107 - R,0.0002,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,0.0103,
Ca 317.933 - A,0.0254,9.1652,9.071,9.1181,0.0471,9.0094,8.8337,8.9216,0.0878,14.0736,14.1387,14.1062,0.0325,13.6961,13.8171,13.7566,0.0605,17.0582,17.5842,17.3212,0.2630,17.9915,17.7034,17.8475,0.1441,32.4975,32.3846,32.4411,0.0565,33.7177,32.1731,32.9454,0.7723,363.6443,382.4662,373.0553,9.4110,372.1809,372.0837,372.1323,0.0486,56.3792,56.653,56.5161,0.1369,57.2323,57.0531,57.1427,0.0896,113.3334,114.027,113.6802,0.3468,114.126,109.1678,111.6469,2.4791,68.2866,72.0224,70.1545,1.8679,71.6294,69.8653,70.7474,0.8821,BDL,BDL,26.3188,67.3404,68.3669,237.6398,
