ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK #1,,BLANK #2,,BLANK #3,,Chase Gulch,Above Smith Hill,Beaver Pond,NTD
Analyte Name,DL (mg/l),FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA,RA,FA,RA,FA,RA,RA,RA,RA,RA
Ar 420.069 - A,% Concentration,101,100,,,99,103,,,102,102,,,103,102,,,130,134,,,101,102,,,130,131,,,129,132,,,107,98,,,126,115,,,136,132,,,131,128,,,134,130,,,133,132,,,136,134,,,131,129,,,135,137,136,137,135,135,136,133,135,123
Sc 361.383 - R,% Concentration,100,97,,,96,98,,,99,95,,,96,92,,,90,87,,,97,97,,,91,89,,,88,90,,,89,85,,,81,84,,,83,85,,,83,87,,,85,85,,,81,85,,,85,86,,,82,80,,,90,89,88,89,88,87,85,81,82,80
Sc 357.253 - A,% Concentration,97,101,,,100,99,,,95,98,,,96,99,,,102,107,,,97,98,,,105,104,,,107,102,,,87,89,,,96,92,,,99,99,,,101,101,,,102,95,,,100,96,,,104,102,,,97,100,,,104,106,104,103,103,108,110,99,100,91
Al 396.153 - A,0.0011,BDL,0.0016,0.0016,0.0000,0.0071,0.0079,0.0075,0.0004,0.0249,0.0271,0.0260,0.0011,0.0343,0.0308,0.0326,0.0018,0.0239,0.0242,0.0241,0.0001,0.2354,0.2368,0.2361,0.0007,0.0407,0.0454,0.0431,0.0024,0.1679,0.183,0.1755,0.0076,BDL,BDL, , ,0.0057,0.007,0.0064,0.0007,0.0467,0.0454,0.0461,0.0006,0.0981,0.0982,0.0982,0.0000,0.0341,0.0368,0.0355,0.0014,0.0577,0.0583,0.0580,0.0003,0.0103,0.0101,0.0102,0.0001,0.026,0.0273,0.0267,0.0007,0.0023,0.0034,BDL,0.0029,BDL,BDL,0.0627,0.0725,0.0796,68.7008
As 188.979 - A,0.008,BDL,BDL, , ,BDL,BDL, , ,0.0123,0.0098,0.0111,0.0013,0.0088,BDL,0.0088,0.0000,BDL,0.0131,0.0131,0.0000,0.012,BDL,0.0120,0.0000,BDL,0.0108,0.0108,0.0000,0.0146,0.0102,0.0124,0.0022,0.0419,0.0466,0.0443,0.0024,0.0404,0.0408,0.0406,0.0002,0.0178,0.0208,0.0193,0.0015,0.0182,0.0182,0.0182,0.0000,0.0181,0.0235,0.0208,0.0027,0.0234,0.0247,0.0241,0.0007,0.0227,0.0201,0.0214,0.0013,0.0243,0.0261,0.0252,0.0009,BDL,0.0087,BDL,0.0084,BDL,BDL,0.0227,0.0197,0.019,0.0787
B 249.677 - R,0.0161,BDL,BDL, , ,BDL,BDL, , ,0.0237,BDL,0.0237,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0374,0.0551,0.0463,0.0089,BDL,BDL, , ,BDL,BDL, , ,0.0652,0.1054,0.0853,0.0201,0.0447,0.0542,0.0495,0.0048,0.0455,0.0452,0.0454,0.0002,0.0311,0.033,0.0321,0.0010,0.0382,0.0784,0.0583,0.0201,0.0611,0.0656,0.0634,0.0023,0.0396,0.045,0.0423,0.0027,0.1104,0.1388,0.1246,0.0142,BDL,BDL,0.0184,BDL,0.038,0.0243,0.0957,0.0309,0.104,0.1446
Ba 233.527 - A,0.0003,0.0303,0.0291,0.0297,0.0006,0.0296,0.0301,0.0299,0.0002,0.0317,0.0306,0.0312,0.0006,0.0318,0.0308,0.0313,0.0005,0.0292,0.0268,0.0280,0.0012,0.0326,0.0322,0.0324,0.0002,0.0274,0.0286,0.0280,0.0006,0.028,0.0297,0.0289,0.0009,0.0028,0.0027,0.0028,0.0000,0.0031,0.0029,0.0030,0.0001,0.0239,0.0239,0.0239,0.0000,0.0241,0.0239,0.0240,0.0001,0.0285,0.0304,0.0295,0.0009,0.0287,0.0299,0.0293,0.0006,0.0365,0.0373,0.0369,0.0004,0.0394,0.0382,0.0388,0.0006,BDL,BDL,BDL,BDL,BDL,BDL,0.0333,0.0269,0.0493,0.0012
Be 313.107 - R,0.0002,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.0115
Ca 317.933 - A,0.0254,9.3235,9.4569,9.3902,0.0667,9.2919,9.3291,9.3105,0.0186,12.6722,12.5246,12.5984,0.0738,12.7885,12.61,12.6993,0.0893,17.5935,16.8836,17.2386,0.3549,15.7937,15.7721,15.7829,0.0108,27.0591,27.69,27.3746,0.3155,25.718,27.1929,26.4555,0.7375,369.4095,358.0851,363.7473,5.6622,375.7228,367.2194,371.4711,4.2517,93.9304,95.6904,94.8104,0.8800,95.478,93.7354,94.6067,0.8713,97.6764,102.9384,100.3074,2.6310,98.8109,99.7465,99.2787,0.4678,76.6014,76.2871,76.4443,0.1572,81.2385,80.5915,80.9150,0.3235,BDL,BDL,BDL,BDL,BDL,BDL,25.5345,97.5486,77.5927,241.5304
Cd 214.440 - A,0.0006,BDL,BDL, , ,BDL,BDL, , ,0.0007,0.0006,0.0007,0.0001,BDL,0.0006,0.0006,0.0000,0.0006,0.0009,0.0008,0.0002,0.0008,0.0009,0.0009,0.0001,0.0022,0.0022,0.0022,0.0000,0.0022,0.0023,0.0023,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0015,0.0013,0.0014,0.0001,0.0015,0.0014,0.0015,0.0001,0.0017,0.0018,0.0018,0.0001,0.0019,0.0016,0.0018,0.0002,0.0008,0.0007,0.0008,0.0001,0.001,0.001,0.0010,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,0.0045,0.0018,BDL,0.278
Cu 324.752 - A,0.0057,BDL,BDL, , ,BDL,BDL, , ,0.0064,0.0069,0.0067,0.0003,0.0075,0.0061,0.0068,0.0007,0.0066,BDL,0.0066,0.0000,0.0215,0.0204,0.0210,0.0005,0.0221,0.0209,0.0215,0.0006,0.0435,0.0486,0.0461,0.0026,BDL,BDL, , ,BDL,BDL, , ,0.0233,0.0236,0.0235,0.0001,0.0293,0.0309,0.0301,0.0008,0.01,0.0141,0.0121,0.0021,0.0162,0.0151,0.0157,0.0005,BDL,BDL, , ,0.0075,0.0062,0.0069,0.0007,BDL,BDL,BDL,BDL,BDL,BDL,0.0069,0.0236,0.0078,6.6223
Cr 205.560 - A,0.0007,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0008,0.0008,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0011,BDL,0.0011,0.0000,0.0011,BDL,0.0011,0.0000,0.0008,BDL,0.0008,0.0000,0.0011,0.0008,0.0010,0.0002,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0009,0.0009,0.0000,0.0011,BDL,0.0011,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.01
