ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK 1,,BLANK 2,,BLANK 3,,Chase Gulch,Above Smith Hill,NTD
Analyte Name,DL (mg/l),FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA,RA,FA,RA,FA,RA,RA,RA,RA
Ar 420.069 - A,% Concentration,97,99,,,99,92,,,91,94,,,96,94,,,105,101,,,98,92,,,101,98,,,103,102,,,93,95,,,95,92,,,101,105,,,105,101,,,100,101,,,98,99,,,101,104,,,100,101,,,107,104,105,107,101,105,103,101,95
Sc 361.383 - R,% Concentration,104,104,,,100,103,,,104,96,,,102,103,,,98,97,,,106,101,,,98,94,,,98,96,,,91,97,,,94,95,,,91,94,,,91,91,,,95,92,,,94,91,,,95,92,,,91,93,,,98,97,99,98,93,96,96,94,86
Sc 357.253 - A,% Concentration,98,96,,,96,102,,,101,98,,,102,101,,,97,96,,,99,102,,,96,99,,,96,97,,,87,88,,,91,90,,,93,97,,,93,92,,,95,96,,,96,94,,,98,95,,,93,93,,,99,99,99,99,100,102,101,95,85
Al 396.153 - A,0.0011,BDL,BDL, , ,0.0169,0.0105,0.0137,0.0032,0.0223,0.0239,0.0231,0.0008,0.0338,0.0334,0.0336,0.0002,0.028,0.0274,0.0277,0.0003,0.1378,0.1268,0.1323,0.0055,0.026,0.0233,0.0247,0.0014,0.1296,0.1258,0.1277,0.0019,BDL,BDL, , ,0.0025,0.0028,0.0027,0.0002,0.0226,0.0213,0.0220,0.0007,0.0762,0.0781,0.0772,0.0009,0.0066,0.0078,0.0072,0.0006,0.0536,0.0552,0.0544,0.0008,0.0025,0.0029,0.0027,0.0002,0.0102,0.0118,0.0110,0.0008,BDL,BDL,BDL,BDL,BDL,BDL,0.0817,0.09,72.6023
As 188.979 - A,0.008,BDL,BDL, , ,0.009,BDL,0.0090,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0109,0.0096,0.0103,0.0007,BDL,BDL, , ,0.035,0.0368,0.0359,0.0009,0.0324,0.0273,0.0299,0.0026,0.0209,0.0133,0.0171,0.0038,0.0155,0.0179,0.0167,0.0012,0.0183,0.0187,0.0185,0.0002,0.0206,0.0164,0.0185,0.0021,0.0161,0.01,0.0131,0.0031,0.0152,0.0124,0.0138,0.0014,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.0152,0.0783
B 249.677 - R,0.0161,0.1024,0.1197,0.1111,0.0087,0.0829,0.093,0.0880,0.0051,0.2015,0.2176,0.2096,0.0080,0.1449,0.1678,0.1564,0.0115,0.0243,0.0268,0.0256,0.0013,0.2331,0.3436,0.2884,0.0553,0.0446,0.0534,0.0490,0.0044,0.0372,0.0433,0.0403,0.0031,0.0934,0.0938,0.0936,0.0002,0.0769,0.0786,0.0778,0.0009,0.0476,0.0547,0.0512,0.0036,0.0401,0.0437,0.0419,0.0018,0.0376,0.1107,0.0742,0.0366,0.064,0.0834,0.0737,0.0097,0.0572,0.0627,0.0600,0.0028,0.0561,0.0581,0.0571,0.0010,0.0671,0.0475,BDL,BDL,BDL,BDL,0.0298,0.0576,0.1536
Ba 233.527 - A,0.0003,0.0349,0.035,0.0350,0.0001,0.0348,0.0327,0.0338,0.0011,0.0343,0.0342,0.0343,0.0000,0.0337,0.0333,0.0335,0.0002,0.0301,0.0303,0.0302,0.0001,0.0311,0.0302,0.0307,0.0004,0.0274,0.0268,0.0271,0.0003,0.0281,0.0278,0.0280,0.0002,0.0027,0.0027,0.0027,0.0000,0.0027,0.0027,0.0027,0.0000,0.0229,0.0221,0.0225,0.0004,0.0233,0.0236,0.0235,0.0001,0.0334,0.0333,0.0334,0.0000,0.0339,0.0346,0.0343,0.0004,0.04,0.0413,0.0407,0.0007,0.0418,0.0414,0.0416,0.0002,0.0004,0.0007,0.0003,BDL,0.0004,0.0003,0.0391,0.027,0.002
Be 313.107 - R,0.0002,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.0136
Ca 317.933 - A,0.0254,11.1538,10.9834,11.0686,0.0852,10.9091,10.3775,10.6433,0.2658,14.715,14.4976,14.6063,0.1087,14.4773,14.177,14.3272,0.1502,21.2991,21.46,21.3796,0.0805,20.4273,20.1377,20.2825,0.1448,35.706,35.5089,35.6075,0.0986,35.9343,35.8503,35.8923,0.0420,363.3926,372.8224,368.1075,4.7149,359.8525,354.9105,357.3815,2.4710,119.6375,111.356,115.4968,4.1408,117.7641,118.9032,118.3337,0.5696,120.6922,117.4403,119.0663,1.6260,119.3443,122.9691,121.1567,1.8124,76.8129,78.2947,77.5538,0.7409,79.3299,78.5124,78.9212,0.4087,BDL,BDL,BDL,BDL,BDL,BDL,31.9753,113.2959,262.6282
