ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK 1,,BLANK 2,,BLANK 3,
Analyte Name,DL (mg/l),FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA,RA,FA,RA,FA,RA
Ar 420.069 - A,% Concentration,100,105,,,105,102,,,102,102,,,101,109,,,113,111,,,105,101,,,110,109,,,105,111,,,99,102,,,99,95,,,113,106,,,107,104,,,109,106,,,109,107,,,106,109,,,105,105,,,106,109,107,111,,
Sc 361.383 - R,% Concentration,99,106,,,98,102,,,108,104,,,104,104,,,102,101,,,100,103,,,100,95,,,97,101,,,96,93,,,80,100,,,96,96,,,100,94,,,94,95,,,93,95,,,92,95,,,95,95,,,101,103,101,98,,
Sc 357.253 - A,% Concentration,99,98,,,99,99,,,100,101,,,101,97,,,94,95,,,101,100,,,96,94,,,96,93,,,92,89,,,92,95,,,93,93,,,92,93,,,92,90,,,91,92,,,93,93,,,98,94,,,99,101,100,98,,
Al 396.153 - A,0.0011,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0209,0.0192,0.0201,0.0009,BDL,BDL, , ,0.0231,0.0251,0.0241,0.0010,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.012,0.0113,0.0117,0.0004,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
As 188.979 - A,0.008,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0144,0.0084,0.0114,0.0030,BDL,0.0092,0.0092,0.0000,0.0411,0.0348,0.0380,0.0032,0.0389,0.0349,0.0369,0.0020,0.0215,0.0162,0.0189,0.0027,0.0178,0.0141,0.0160,0.0019,0.0123,0.0174,0.0149,0.0026,0.0185,0.0152,0.0169,0.0017,0.0161,0.0113,0.0137,0.0024,0.0131,0.0143,0.0137,0.0006,BDL,BDL,BDL,BDL,,
B 249.677 - R,0.0161,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
Ba 233.527 - A,0.0003,0.0265,0.0267,0.0266,0.0001,0.0264,0.0266,0.0265,0.0001,0.0281,0.0279,0.0280,0.0001,0.0274,0.0289,0.0282,0.0007,0.0274,0.0269,0.0272,0.0003,0.0262,0.0262,0.0262,0.0000,0.0247,0.0249,0.0248,0.0001,0.0246,0.0253,0.0250,0.0004,0.0017,0.0017,0.0017,0.0000,0.0019,0.0029,0.0024,0.0005,0.0207,0.0209,0.0208,0.0001,0.0213,0.021,0.0212,0.0001,0.0243,0.0247,0.0245,0.0002,0.0249,0.0245,0.0247,0.0002,0.0329,0.0329,0.0329,0.0000,0.0315,0.0329,0.0322,0.0007,BDL,BDL,BDL,BDL,,
Be 313.107 - R,0.0002,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0003,0.0003,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
Ca 317.933 - A,0.0254,8.5209,8.5226,8.5218,0.0009,8.4299,8.5354,8.4827,0.0527,12.0791,11.9935,12.0363,0.0428,11.7453,12.2568,12.0011,0.2558,16.5274,16.3502,16.4388,0.0886,16.0188,15.8269,15.9229,0.0959,29.1317,29.3351,29.2334,0.1017,28.7907,29.1511,28.9709,0.1802,336.4642,346.7025,341.5834,5.1191,343.2988,342.0583,342.6786,0.6203,99.2378,98.1703,98.7041,0.5337,98.6007,97.1951,97.8979,0.7028,97.4487,97.6013,97.5250,0.0763,98.5449,98.0612,98.3031,0.2418,75.2632,76.766,76.0146,0.7514,75.7664,75.5241,75.6453,0.1212,BDL,BDL,BDL,BDL,,
Cd 214.440 - A,0.0006,BDL,BDL, , ,BDL,BDL, , ,BDL,0.001,0.0010,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0012,0.0016,0.0014,0.0002,0.0015,0.0014,0.0015,0.0001,BDL,BDL, , ,BDL,BDL, , ,0.0007,BDL,0.0007,0.0000,0.0007,0.0008,0.0008,0.0001,0.0007,0.0007,0.0007,0.0000,0.0007,0.0008,0.0008,0.0001,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
Cu 324.752 - A,0.0057,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0059,0.0059,0.0000,0.0086,0.008,0.0083,0.0003,0.0224,0.0209,0.0217,0.0008,0.0335,0.0351,0.0343,0.0008,BDL,BDL, , ,BDL,BDL, , ,0.0151,0.015,0.0151,0.0001,0.0265,0.0262,0.0264,0.0001,0.0059,0.0072,0.0066,0.0007,0.0098,0.0099,0.0099,0.0001,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
