ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK #1,,BLANK #2,,Chase Gulch,NTD,
Analyte Name,DL (mg/l),FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA,RA,FA,RA,RA,RA,
Ar 420.069 - A,% Concentration,95.49663935,101.3602056,,,95.78905237,91.18842403,,,100.2716424,108.4447649,,,100.0218735,95.6351266,,,93.98043788,86.63303088,,,97.021896,92.94004456,,,102.9712745,98.29596903,,,101.0121814,92.41147614,,,90.78175518,102.6853733,,,94.75597868,92.83551499,,,102.6558381,97.13456083,,,97.59480879,100.9790094,,,93.54101767,104.2004456,,,103.8319158,101.6531635,,,96.13423039,98.21410058,,,98.45724766,101.8293084,,,96,96,107,99,104,100,
Sc 361.383 - R,% Concentration,97.7556974,98.37270557,,,99.37995667,98.75142603,,,98.35306485,97.76573246,,,97.44153967,98.44758737,,,98.19177461,96.06531409,,,98.15704531,97.99785777,,,98.41491851,98.36353735,,,96.52971087,95.5091733,,,93.09035337,95.4122951,,,96.15837171,96.32510712,,,96.79916062,96.67493601,,,94.0282397,95.92080513,,,95.00006819,93.44163352,,,95.39514252,95.96360839,,,94.8313573,94.75007866,,,93.11758307,94.76329773,,,101,101,102,101,97,95,
Sc 357.253 - A,% Concentration,99.41210518,100.9785451,,,100.671989,97.51707552,,,99.28421899,100.5045908,,,101.6961014,99.14904041,,,94.51579591,94.18132766,,,95.60945748,94.70837431,,,96.83592522,96.4415842,,,95.74356818,97.14600208,,,90.1298014,91.78577068,,,92.10712818,91.44834945,,,93.96774798,92.92752595,,,93.01861318,93.30391052,,,91.49658856,93.52959374,,,93.55464435,93.3626292,,,92.86663012,91.5102866,,,92.06638259,94.41092342,,,99,99,102,101,99,91,
Al 396.153 - A,0.001098184,0.001248843,0.001338435,0.0013,0.0000,0.014346365,0.012278225,0.0133,0.0010,0.026001317,0.02514093,0.0256,0.0004,0.037443302,0.037172636,0.0373,0.0001,0.024888809,0.02626259,0.0256,0.0007,0.150769825,0.151176303,0.1510,0.0002,0.037304198,0.038386547,0.0378,0.0005,0.353640011,0.349201584,0.3514,0.0022,0.012127954,BDL,0.0121,0.0000,BDL,0.010524583,0.0105,0.0000,0.030243761,0.032051206,0.0311,0.0009,0.245519791,0.243157037,0.2443,0.0012,0.019145951,0.022935708,0.0210,0.0019,0.084425266,0.082145477,0.0833,0.0011,0.008368433,0.007641983,0.0080,0.0004,0.02280613,0.020581762,0.0217,0.0011,BDL,BDL,BDL,BDL,0.1232,92.2362,
As 188.979 - A,0.007979663,0.010416003,BDL,0.0104,0.0000,BDL,BDL, , ,BDL,0.01621517,0.0162,0.0000,0.016888902,0.011856957,0.0144,0.0025,0.022303167,0.022013952,0.0222,0.0001,0.019644065,0.014144631,0.0169,0.0027,0.009041558,0.014211123,0.0116,0.0026,0.023823061,0.010207692,0.0170,0.0068,0.068233337,0.058164296,0.0632,0.0050,0.071491032,0.064015239,0.0678,0.0037,0.025641235,0.027986721,0.0268,0.0012,0.022594183,0.022599972,0.0226,0.0000,0.025787125,0.017325302,0.0216,0.0042,0.018659682,0.020392535,0.0195,0.0009,0.014079384,0.024557291,0.0193,0.0052,0.024196108,0.024221542,0.0242,0.0000,BDL,BDL,BDL,BDL,0.0153,0.0682,
B 249.677 - R,0.016119448,BDL,BDL, , ,BDL,BDL, , ,0.028416752,0.037292033,0.0329,0.0044,0.019657353,0.022106193,0.0209,0.0012,0.027711023,0.029238499,0.0285,0.0008,0.063295372,0.024680785,0.0440,0.0193,0.026810182,0.030882834,0.0288,0.0020,0.020034886,0.022670935,0.0214,0.0013,0.0964244,0.038280722,0.0674,0.0291,0.059310252,0.069883202,0.0646,0.0053,0.025043027,0.028003021,0.0265,0.0015,0.02254934,0.022974039,0.0228,0.0002,0.046602314,0.062397225,0.0545,0.0079,0.033173309,0.038492366,0.0358,0.0027,0.033821645,0.035460043,0.0346,0.0008,0.098467106,0.03184743,0.0652,0.0333,BDL,BDL,BDL,BDL,0.031,0.1157,
Ba 233.527 - A,0.000265671,0.045463754,0.044994687,0.0452,0.0002,0.04517744,0.046621593,0.0459,0.0007,0.044650497,0.0440527,0.0444,0.0003,0.043644157,0.044588771,0.0441,0.0005,0.046488799,0.046611339,0.0466,0.0001,0.046561011,0.04684513,0.0467,0.0001,0.03969515,0.039683611,0.0397,0.0000,0.040592537,0.040073529,0.0403,0.0003,0.002421807,0.002111722,0.0023,0.0002,0.002232013,0.002259607,0.0022,0.0000,0.035096351,0.035347699,0.0352,0.0001,0.035727333,0.035718903,0.0357,0.0000,0.030853248,0.030490246,0.0307,0.0002,0.030530058,0.030305539,0.0304,0.0001,0.030276864,0.03061616,0.0304,0.0002,0.03082699,0.029995101,0.0304,0.0004,BDL,BDL,BDL,BDL,0.0339,0.0236,
Be 313.107 - R,0.000154033,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,0.0133,
Ca 317.933 - A,0.025407467,16.9734875,17.6836764,17.3286,0.3551,17.12605305,16.66265639,16.8944,0.2317,20.9344696,21.57275721,21.2536,0.3191,20.94765843,20.63762878,20.7926,0.1550,75.52163929,73.54532286,74.5335,0.9882,76.56126657,75.88260306,76.2219,0.3393,35.49097665,34.42697849,34.9590,0.5320,34.53908492,33.57146259,34.0553,0.4838,391.004367,358.0637415,374.5341,16.4703,372.6670648,368.9939863,370.8305,1.8365,72.13146191,69.59892608,70.8652,1.2663,70.21351122,71.77747006,70.9955,0.7820,69.85865765,73.37634067,71.6175,1.7588,71.89760193,72.72047335,72.3090,0.4114,70.41018232,71.1621082,70.7861,0.3760,70.7887144,72.27258594,71.5307,0.7419,BDL,BDL,BDL,BDL,28.2468,180.7713,
Cd 214.440 - A,0.000598731,0.001063361,0.001164721,0.0011,0.0001,0.00101743,BDL,0.0010,0.0000,0.001599305,0.001665591,0.0016,0.0000,0.001623019,0.001539318,0.0016,0.0000,0.002497958,0.0029575,0.0027,0.0002,0.003163829,0.002664574,0.0029,0.0002,0.003719183,0.003763566,0.0037,0.0000,0.003569618,0.003776224,0.0037,0.0001,BDL,BDL, , ,BDL,BDL, , ,0.001789584,0.001939454,0.0019,0.0001,0.002573827,0.002160039,0.0024,0.0002,0.001938082,0.002175351,0.0021,0.0001,0.002259031,0.001723559,0.0020,0.0003,0.000883593,BDL,0.0009,0.0000,0.000721537,0.000816727,0.0008,0.0000,0.0006,BDL,0.0008,0.0007,0.0047,0.2501,
