ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK #1,,BLANK #2,,BLANK #3,,WWTP,,,,,,,,CHASE ,NTD
Analyte Name,DL (mg/l),FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA,RA,FA,RA,FA,RA,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,RA,FA
Ar 420.069 - A,% Concentration,100,98,,,98,99,,,97,96,,,97,101,,,103,99,,,100,98,,,103,100,,,99,102,,,96,99,,,91,102,,,101,104,,,98,100,,,105,103,,,96,100,,,97,102,,,100,108,,,100,98,101,103,94,100,113,96,,,98,100,,,98,98
Sc 361.383 - R,% Concentration,98,98,,,97,97,,,97,99,,,97,97,,,97,99,,,99,98,,,98,98,,,100,97,,,95,97,,,94,93,,,101,102,,,101,101,,,102,102,,,103,101,,,102,101,,,99,99,,,100,98,100,98,100,99,98,99,,,101,101,,,101,94
Sc 357.253 - A,% Concentration,101,101,,,101,99,,,102,101,,,100,98,,,99,98,,,98,98,,,98,99,,,98,99,,,92,94,,,89,91,,,101,103,,,100,103,,,103,103,,,104,102,,,101,103,,,103,104,,,99,99,99,100,101,100,100,99,,,98,100,,,104,94
Al 396.153 - A,0.0011,0.0076,0.0071,0.0074,0.0003,0.0456,0.0415,0.0436,0.0021,0.0121,0.0121,0.0121,0.0000,0.0483,0.0499,0.0491,0.0008,0.0175,0.0185,0.0180,0.0005,0.0935,0.0946,0.0941,0.0006,0.0329,0.0349,0.0339,0.0010,0.0797,0.0766,0.0782,0.0016,BDL,BDL, , ,BDL,BDL, , ,0.031,0.0319,0.0315,0.0004,0.0836,0.0808,0.0822,0.0014,0.0235,0.0233,0.0234,0.0001,0.0547,0.057,0.0559,0.0012,0.0135,0.0142,0.0139,0.0004,0.0659,0.0659,0.0659,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,0.1201,0.12,0.1201,0.0001,0.494,0.4812,0.4876,0.0064,0.0872,66.5022
As 188.979 - A,0.008,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0083,0.0125,0.0104,0.0021,0.01,BDL,0.0100,0.0000,0.0082,0.0126,0.0104,0.0022,0.0432,0.0431,0.0432,0.0001,0.0486,0.0523,0.0505,0.0019,0.0086,BDL,0.0086,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0136,BDL,0.0136,0.0000,0.0083,BDL,0.0083,0.0000,BDL,0.0104,0.0104,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,0.0205,0.0232,0.0219,0.0014,0.0228,0.0204,0.0216,0.0012,0.0129,0.0741
B 249.677 - R,0.0161,BDL,0.0454,0.0454,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0189,BDL,0.0189,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0248,BDL,0.0248,0.0000,BDL,0.0507,0.0507,0.0000,BDL,BDL, , ,0.0228,0.0165,0.0197,0.0032,BDL,0.024,0.0240,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0228,BDL,BDL,BDL,BDL,0.1153,0.0991,0.1072,0.0081,0.0667,0.1332,0.1000,0.0333,BDL,0.0959
Ba 233.527 - A,0.0003,0.0176,0.0173,0.0175,0.0002,0.0183,0.0183,0.0183,0.0000,0.0181,0.0183,0.0182,0.0001,0.0192,0.0194,0.0193,0.0001,0.0194,0.0194,0.0194,0.0000,0.0211,0.0212,0.0212,0.0000,0.0209,0.0208,0.0209,0.0000,0.0215,0.0211,0.0213,0.0002,0.0017,0.0022,0.0020,0.0003,0.0018,0.0018,0.0018,0.0000,0.0209,0.0206,0.0208,0.0001,0.0217,0.0211,0.0214,0.0003,0.0175,0.0175,0.0175,0.0000,0.0176,0.0182,0.0179,0.0003,0.0188,0.0186,0.0187,0.0001,0.0191,0.0191,0.0191,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,0.0094,0.0094,0.0094,0.0000,0.0096,0.0095,0.0096,0.0000,0.0445,BDL
Be 313.107 - R,0.0002,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,0.013
Ca 317.933 - A,0.0254,5.5533,5.3555,5.4544,0.0989,5.3924,5.355,5.3737,0.0187,6.0548,5.9818,6.0183,0.0365,6.0706,6.1255,6.0981,0.0275,22.5316,22.1965,22.3641,0.1676,22.6889,22.3875,22.5382,0.1507,23.4923,23.3389,23.4156,0.0767,23.195,23.5563,23.3757,0.1807,347.4755,356.4858,351.9807,4.5051,364.6342,353.5346,359.0844,5.5498,30.1586,30.4252,30.2919,0.1333,30.1239,30.4277,30.2758,0.1519,18.3032,18.5732,18.4382,0.1350,17.8409,17.9374,17.8892,0.0482,21.1305,21.8645,21.4975,0.3670,21.8572,22.2908,22.0740,0.2168,BDL,BDL,BDL,BDL,BDL,BDL,28.206,26.1904,27.1982,1.0078,26.1767,26.7085,26.4426,0.2659,28.5534,185.0217
Cd 214.440 - A,0.0006,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,0.0042,0.2387
Cu 324.752 - A,0.0057,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0073,0.0082,0.0078,0.0005,0.0119,0.011,0.0115,0.0005,0.0117,0.0129,0.0123,0.0006,BDL,BDL, , ,BDL,BDL, , ,0.0101,0.0093,0.0097,0.0004,0.0117,0.0109,0.0113,0.0004,0.0079,0.0078,0.0079,0.0001,0.0103,0.0108,0.0106,0.0003,BDL,BDL, , ,0.0089,0.0072,0.0081,0.0009,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,0.0083,9.4126
Cr 205.560 - A,0.0007,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0017,0.0017,0.0000,BDL,BDL, , ,BDL,0.001,0.0010,0.0000,0.0017,0.001,0.0014,0.0004,0.0013,0.0011,0.0012,0.0001,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0008,0.0008,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0276
Fe 238.204 - A,0.0016,0.0096,0.0088,0.0092,0.0004,0.0905,0.0859,0.0882,0.0023,0.0143,0.0152,0.0148,0.0005,0.1003,0.1024,0.1014,0.0011,0.0739,0.0784,0.0762,0.0023,0.2956,0.3019,0.2988,0.0032,0.0227,0.0287,0.0257,0.0030,0.1364,0.1317,0.1341,0.0023,BDL,BDL, , ,0.2424,0.2417,0.2421,0.0004,0.02,0.0209,0.0205,0.0004,0.153,0.1455,0.1493,0.0038,0.0355,0.0369,0.0362,0.0007,0.1221,0.1277,0.1249,0.0028,0.0296,0.031,0.0303,0.0007,0.1721,0.1665,0.1693,0.0028,BDL,BDL,BDL,BDL,BDL,BDL,0.006,0.0065,0.0063,0.0003,0.018,0.0187,0.0184,0.0004,0.2396,23.1321
K 766.490 - R,0.1081,0.6972,0.7239,0.7106,0.0134,0.6963,0.6882,0.6923,0.0041,0.7644,0.7641,0.7643,0.0001,0.7287,0.7504,0.7396,0.0109,0.99,0.9715,0.9808,0.0092,1.0222,1.0195,1.0209,0.0013,1.0918,1.1375,1.1147,0.0228,1.1356,1.1452,1.1404,0.0048,8.1268,7.9086,8.0177,0.1091,8.1243,7.9929,8.0586,0.0657,1.2584,1.3044,1.2814,0.0230,1.2629,1.2838,1.2734,0.0105,1.1424,1.1947,1.1686,0.0262,1.1713,1.1505,1.1609,0.0104,1.8893,1.9445,1.9169,0.0276,1.8859,1.9082,1.8971,0.0112,BDL,BDL,BDL,BDL,BDL,BDL,12.7076,12.7635,12.7356,0.0280,13.3045,12.9805,13.1425,0.1620,2.1947,4.6741
Li 670.784 - R,0.0049,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0296,0.0275,0.0286,0.0011,0.0265,0.0282,0.0274,0.0009,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0054,0.0054,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,0.0146,0.0143,0.0145,0.0002,0.0138,0.014,0.0139,0.0001,BDL,0.0597
Mg 285.213 - R,0.0044,1.5344,1.4978,1.5161,0.0183,1.5386,1.4981,1.5184,0.0203,1.71,1.7163,1.7132,0.0031,1.7265,1.7553,1.7409,0.0144,3.026,3.0368,3.0314,0.0054,3.1528,3.1212,3.1370,0.0158,3.4097,3.5037,3.4567,0.0470,3.4824,3.54,3.5112,0.0288,73.7997,69.2239,71.5118,2.2879,73.4151,72.8765,73.1458,0.2693,4.701,4.7254,4.7132,0.0122,4.809,4.8048,4.8069,0.0021,4.1643,4.4312,4.2978,0.1335,4.1727,4.097,4.1349,0.0378,5.893,6.072,5.9825,0.0895,6.0306,6.0418,6.0362,0.0056,BDL,BDL,BDL,BDL,BDL,BDL,33.6278,33.4818,33.5548,0.0730,33.097,33.5896,33.3433,0.2463,8.4269,96.2962
Mg 279.077 - R,0.0203,1.5451,1.5231,1.5341,0.0110,1.5745,1.5491,1.5618,0.0127,1.7613,1.724,1.7427,0.0187,1.7852,1.7907,1.7880,0.0028,3.1237,3.1211,3.1224,0.0013,3.1673,3.1827,3.1750,0.0077,3.4903,3.5141,3.5022,0.0119,3.498,3.5581,3.5281,0.0300,72.1286,70.3443,71.2365,0.8922,71.6713,70.3509,71.0111,0.6602,4.8975,4.7791,4.8383,0.0592,4.947,4.9619,4.9545,0.0074,4.2,4.2875,4.2438,0.0437,4.2062,4.3179,4.2621,0.0559,6.0302,6.0612,6.0457,0.0155,6.2285,6.223,6.2258,0.0028,BDL,BDL,BDL,BDL,BDL,BDL,36.2393,35.7532,35.9963,0.2431,34.3409,35.3216,34.8313,0.4903,8.6094,96.0692
Mn 257.610 - A,0.0002,0.0024,0.0024,0.0024,0.0000,0.0073,0.0067,0.0070,0.0003,0.0243,0.025,0.0247,0.0004,0.0303,0.0318,0.0311,0.0008,0.059,0.0593,0.0592,0.0002,0.07,0.0698,0.0699,0.0001,0.1713,0.1725,0.1719,0.0006,0.1752,0.1775,0.1764,0.0012,0.1705,0.1695,0.1700,0.0005,0.2475,0.2455,0.2465,0.0010,0.1649,0.1623,0.1636,0.0013,0.1767,0.1707,0.1737,0.0030,0.1234,0.1231,0.1233,0.0001,0.1266,0.129,0.1278,0.0012,0.1157,0.1154,0.1156,0.0001,0.1311,0.1268,0.1290,0.0022,BDL,BDL,BDL,BDL,BDL,BDL,0.0109,0.011,0.0110,0.0000,0.0124,0.0126,0.0125,0.0001,0.2544,80.7676
Mo 202.031 - A,0.0012,0.0026,0.0034,0.0030,0.0004,0.0012,BDL,0.0012,0.0000,0.0025,0.0016,0.0021,0.0005,0.0025,0.0027,0.0026,0.0001,0.0016,0.0023,0.0020,0.0004,0.0024,0.004,0.0032,0.0008,0.0023,0.0014,0.0019,0.0005,0.0023,0.0042,0.0033,0.0010,0.0023,0.0019,0.0021,0.0002,0.0039,0.0018,0.0029,0.0011,0.0025,BDL,0.0025,0.0000,0.0018,0.0023,0.0021,0.0003,BDL,BDL, , ,BDL,0.0022,0.0022,0.0000,BDL,0.0026,0.0026,0.0000,BDL,0.0014,0.0014,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,0.0083,0.0097,0.0090,0.0007,0.0091,0.0098,0.0095,0.0004,0.0021,BDL
Na 589.592 - R,0.0193,3.1668,3.0092,3.0880,0.0788,3.0629,2.9433,3.0031,0.0598,3.7245,3.7575,3.7410,0.0165,3.7323,3.8314,3.7819,0.0496,8.5216,8.5515,8.5366,0.0150,9.1193,8.575,8.8472,0.2722,10.2503,10.7681,10.5092,0.2589,10.832,11.0916,10.9618,0.1298,34.3919,31.3465,32.8692,1.5227,34.0586,33.5217,33.7902,0.2684,11.0116,10.9041,10.9579,0.0538,10.9583,10.9485,10.9534,0.0049,9.378,9.7151,9.5466,0.1686,9.7325,9.1651,9.4488,0.2837,14.3542,15.6719,15.0131,0.6589,15.0089,14.7504,14.8797,0.1293,BDL,BDL,BDL,BDL,BDL,BDL,59.5446,63.2679,61.4063,1.8617,61.6378,65.5039,63.5709,1.9331,5.6147,199.8706
Ni 231.604 - A,0.0015,BDL,BDL, , ,0.0069,BDL,0.0069,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0021,BDL,0.0021,0.0000,BDL,0.0017,0.0017,0.0000,BDL,BDL, , ,0.0021,BDL,0.0021,0.0000,0.0025,BDL,0.0025,0.0000,0.0015,BDL,0.0015,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,0.7254
P 213.617 - A,0.0128,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0137,BDL,0.0137,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,0.0334,0.0349,0.0342,0.0008,0.0828,0.0847,0.0838,0.0009,BDL,0.9235
P 177.434 - A,0.0231,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0477,0.0767,0.0622,0.0145,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0258,0.0258,0.0000,BDL,BDL, , ,BDL,0.0321,0.0321,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,0.1476,0.1599,0.1538,0.0061,0.1487,0.1633,0.1560,0.0073,BDL,BDL
Pb 220.353 - A,0.005,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0074,BDL,0.0074,0.0000,0.0071,0.0064,0.0068,0.0004,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0786
S 181.975 - A,0.0148,2.137,2.1697,2.1534,0.0164,2.1727,2.1876,2.1802,0.0075,2.7739,2.7876,2.7808,0.0069,2.8327,2.8918,2.8623,0.0296,16.1369,16.3625,16.2497,0.1128,16.4204,16.6876,16.5540,0.1336,17.5711,17.4276,17.4994,0.0717,17.5659,17.4156,17.4908,0.0751,471.7405,467.6223,469.6814,2.0591,476.2224,475.7899,476.0062,0.2163,25.7584,25.0379,25.3982,0.3603,26.4947,25.4313,25.9630,0.5317,15.5025,15.7168,15.6097,0.1072,15.3439,15.6817,15.5128,0.1689,19.2673,18.8875,19.0774,0.1899,18.9117,18.7009,18.8063,0.1054,BDL,BDL,0.0243,0.0213,BDL,0.0212,25.3665,25.4502,25.4084,0.0419,25.8133,25.6389,25.7261,0.0872,24.8855,504.7551
S 180.669 - A,0.0072,2.2869,2.3431,2.3150,0.0281,2.3448,2.3606,2.3527,0.0079,2.9785,3.0264,3.0025,0.0240,3.0469,3.1051,3.0760,0.0291,17.2623,17.5084,17.3854,0.1231,17.5658,17.7988,17.6823,0.1165,18.7322,18.6059,18.6691,0.0632,18.7837,18.6698,18.7268,0.0570,461.9077,458.7621,460.3349,1.5728,467.9783,464.9264,466.4524,1.5259,27.5339,26.6512,27.0926,0.4414,28.3013,27.3247,27.8130,0.4883,16.4416,16.6505,16.5461,0.1045,16.2394,16.6132,16.4263,0.1869,20.3067,19.9194,20.1131,0.1937,19.9815,19.7309,19.8562,0.1253,0.0177,0.0266,0.0187,0.0154,0.0205,0.0125,26.53,26.7055,26.6178,0.0877,27.0318,26.9649,26.9984,0.0335,26.1781,474.0443
Sb 217.582 - A,0.0037,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL
