ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK,,BLANK #2,,WWTP,,,,,,,,Chase Gulch,NTD,National Tunnel,National Tunnel
Analyte Name,DL (mg/l),FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA,RA,FA,RA,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,RA,RA,RA,RA
Ar 420.069 - A,% Concentration,87,96,,,86,92,,,92,87,,,88,87,,,92,87,,,91,87,,,86,83,,,87,88,,,84,80,,,84,89,,,84,87,,,81,85,,,84,85,,,82,90,,,84,82,,,85,87,,,84,89,83,90,88,85,,,90,82,,,86,81,85,75
Sc 361.383 - R,% Concentration,101,99,,,102,97,,,101,101,,,102,101,,,99,101,,,101,101,,,98,95,,,95,98,,,96,92,,,94,93,,,94,96,,,95,96,,,97,96,,,98,97,,,99,101,,,98,103,,,101,101,101,100,97,97,,,97,98,,,101,90,96,95
Sc 357.253 - A,% Concentration,97,96,,,96,95,,,97,97,,,95,96,,,96,98,,,95,97,,,95,95,,,94,94,,,87,87,,,87,87,,,91,91,,,91,92,,,93,93,,,93,92,,,92,94,,,92,94,,,97,97,99,99,95,93,,,93,94,,,96,84,89,90
Al 396.153 - A,0.0011,BDL,BDL, , ,0.0111,0.0128,0.0120,0.0009,0.0223,0.0226,0.0225,0.0001,0.0351,0.0372,0.0362,0.0011,0.0156,0.017,0.0163,0.0007,0.0258,0.0255,0.0257,0.0002,0.0376,0.0395,0.0386,0.0009,0.1041,0.1066,0.1054,0.0013,BDL,BDL, , ,0.0039,0.0033,0.0036,0.0003,0.0225,0.0223,0.0224,0.0001,0.0701,0.071,0.0706,0.0004,0.0088,0.0081,0.0085,0.0004,0.0273,0.0264,0.0269,0.0005,BDL,BDL, , ,0.016,0.0169,0.0165,0.0004,BDL,BDL,BDL,BDL,0.0689,0.0727,0.0708,0.0019,0.3025,0.2978,0.3002,0.0023,0.0815,112.446,0.1505,0.145
As 188.979 - A,0.008,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0218,0.0209,0.0214,0.0005,0.0217,0.0199,0.0208,0.0009,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0633,0.0328,0.0281
B 249.677 - R,0.0161,0.0165,BDL,0.0165,0.0000,0.0241,0.0235,0.0238,0.0003,0.0771,0.0457,0.0614,0.0157,BDL,BDL, , ,BDL,BDL, , ,0.0319,0.023,0.0275,0.0045,BDL,BDL, , ,BDL,BDL, , ,0.0418,0.0355,0.0387,0.0032,0.0879,0.0564,0.0722,0.0158,BDL,BDL, , ,0.0212,BDL,0.0212,0.0000,0.0497,0.0334,0.0416,0.0081,BDL,BDL, , ,0.0207,0.0175,0.0191,0.0016,0.0247,0.0202,0.0225,0.0023,BDL,BDL,BDL,BDL,0.0925,0.0884,0.0905,0.0021,0.1005,0.0944,0.0975,0.0031,0.0608,0.1548,BDL,BDL
Ba 233.527 - A,0.0003,0.0246,0.0248,0.0247,0.0001,0.025,0.0253,0.0252,0.0001,0.0258,0.0257,0.0258,0.0000,0.0267,0.0266,0.0267,0.0001,0.024,0.0234,0.0237,0.0003,0.0243,0.024,0.0242,0.0001,0.0232,0.0233,0.0233,0.0001,0.0233,0.0234,0.0234,0.0000,0.002,0.0019,0.0020,0.0001,0.0025,0.0024,0.0025,0.0001,0.0219,0.0221,0.0220,0.0001,0.0225,0.0221,0.0223,0.0002,0.0221,0.0222,0.0222,0.0000,0.0222,0.0223,0.0223,0.0000,0.0314,0.0311,0.0313,0.0001,0.0317,0.031,0.0314,0.0004,0.0006,0.0006,0.0005,0.0006,0.0068,0.0067,0.0068,0.0000,0.0071,0.007,0.0071,0.0001,0.0317,0.0023,0.0069,0.0071
Be 313.107 - R,0.0002,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0157,0.0011,0.0011
Ca 317.933 - A,0.0254,7.4455,7.5468,7.4962,0.0507,7.3608,7.555,7.4579,0.0971,10.9344,10.606,10.7702,0.1642,10.9385,10.6923,10.8154,0.1231,12.3903,12.2007,12.2955,0.0948,12.4761,12.1575,12.3168,0.1593,23.1806,23.0897,23.1352,0.0454,23.2756,23.3801,23.3279,0.0522,312.4634,292.0535,302.2585,10.2050,303.8147,304.755,304.2849,0.4701,78.5244,79.5653,79.0449,0.5204,78.1522,78.6289,78.3906,0.2384,47.5749,47.6421,47.6085,0.0336,48.0435,48.9918,48.5177,0.4741,54.776,54.8598,54.8179,0.0419,55.1712,55.6536,55.4124,0.2412,0.0875,0.0953,0.0851,0.089,17.9531,17.9844,17.9688,0.0157,18.2045,17.6178,17.9112,0.2934,21.2936,240.3342,171.857,166.9778
