ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK 1,,BLANK 2,,Chase Gulch,NTD,National Tunnel,,
Analyte Name,DL (mg/l),FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA,RA,FA,RA,RA,RA,RA #1,RA #2,
Ar 420.069 - A,% Concentration,100.6200182,97.97371393,,,96.31455045,96.98126457,,,97.62646566,96.21231713,,,91.9743334,100.0816528,,,94.05276133,98.58202517,,,95.46703987,94.25917603,,,94.73239426,93.86686414,,,97.53035258,96.34159002,,,92.05040648,89.94883733,,,95.60724234,90.07949919,,,97.92969517,90.90635225,,,92.94323701,96.98584477,,,90.10850045,93.52711438,,,93.8331703,96.22871361,,,98.86001796,95.53244334,,,96.17010765,96.57427113,,,102.2040852,99.51789218,97.3422488,96.31208163,98.079426,95.62549516,90.43287568,94.94714641,
Sc 361.383 - R,% Concentration,97.76099423,101.1343588,,,102.4098711,100.9267522,,,102.6606062,101.5608265,,,97.33230755,102.5474449,,,96.95503891,100.6598581,,,97.04072225,96.46308726,,,98.45906346,99.4645405,,,98.01900533,101.3870611,,,98.9438651,98.02471035,,,93.85934103,98.30936907,,,105.185421,101.0358474,,,101.2522472,101.8560446,,,101.3437773,97.27337656,,,98.28888429,99.7331956,,,102.2215818,100.5998598,,,102.4182401,97.59462234,,,108.619748,106.7425127,104.7833992,106.7655616,101.7413923,91.62617559,94.93868021,96.68370117,
Sc 357.253 - A,% Concentration,98.26248798,100.0954241,,,99.43432224,101.2515266,,,99.63170459,98.61133863,,,101.8878656,98.52007488,,,95.78159463,95.21418505,,,94.40028084,94.72114575,,,96.11589257,95.74679956,,,95.9368915,95.19211932,,,93.19008595,90.73114682,,,88.85205082,93.23310125,,,95.60892208,99.93274255,,,97.13744688,97.00192421,,,96.635232,97.293941,,,96.51160617,96.78213385,,,95.71184654,97.72951063,,,96.15993494,97.39458571,,,106.9789105,103.6172146,104.6271765,108.3052208,101.4432656,89.45467393,96.49832418,93.84059068,
Al 396.153 - A,0.001098184,BDL,BDL, , ,0.004994716,0.004195299,0.0046,0.0004,0.021605206,0.020483515,0.0210,0.0006,0.02520112,0.025757643,0.0255,0.0003,0.010681457,0.008661349,0.0097,0.0010,0.055359997,0.055725824,0.0555,0.0002,0.019516772,0.018900556,0.0192,0.0003,0.160086762,0.150862978,0.1555,0.0046,BDL,BDL, , ,BDL,BDL, , ,0.017967832,0.018673464,0.0183,0.0004,0.143523609,0.144559275,0.1440,0.0005,0.004163622,0.003705678,0.0039,0.0002,0.030077531,0.027223142,0.0287,0.0014,0.002036529,BDL,0.0020,0.0000,0.025317411,0.025686448,0.0255,0.0002,BDL,BDL,BDL,BDL,0.041037162,110.5721864,0.118873268,0.118474735,
As 188.979 - A,0.007979663,BDL,BDL, , ,0.012459981,BDL,0.0125,0.0000,0.00952107,BDL,0.0095,0.0000,0.008459902,BDL,0.0085,0.0000,0.019344366,0.016220703,0.0178,0.0016,0.015761776,0.012243879,0.0140,0.0018,0.013211197,0.015611955,0.0144,0.0012,0.012316618,0.013690242,0.0130,0.0007,0.036718388,0.040473782,0.0386,0.0019,0.030951571,0.031540335,0.0312,0.0003,0.010461211,0.012275947,0.0114,0.0009,0.018407037,0.015807977,0.0171,0.0013,0.016790531,0.014346664,0.0156,0.0012,0.019927695,0.013647726,0.0168,0.0031,0.018582896,0.015687313,0.0171,0.0014,0.015611804,0.011171711,0.0134,0.0022,BDL,BDL,BDL,BDL,BDL,0.074389848,0.039584237,0.036208313,
B 249.677 - R,0.016119448,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.029694163,0.021357159,0.0255,0.0042,0.021130771,0.020855469,0.0210,0.0001,0.016343177,BDL,0.0163,0.0000,0.016846821,BDL,0.0168,0.0000,0.02806581,0.026926289,0.0275,0.0006,0.026553671,0.026620354,0.0266,0.0000,BDL,BDL, , ,0.02102328,BDL,0.0210,0.0000,0.018789326,0.019166505,0.0190,0.0002,0.01885084,0.017345001,0.0181,0.0008,0.030870612,0.031420391,0.0311,0.0003,0.030630841,0.032246885,0.0314,0.0008,BDL,BDL,BDL,BDL,BDL,0.142380857,BDL,BDL,
Ba 233.527 - A,0.000265671,0.030237615,0.029704261,0.0300,0.0003,0.030074124,0.029408856,0.0297,0.0003,0.030607281,0.031099626,0.0309,0.0002,0.030156084,0.030832525,0.0305,0.0003,0.032806334,0.032889947,0.0328,0.0000,0.033364699,0.033540623,0.0335,0.0001,0.037077099,0.037323568,0.0372,0.0001,0.037361981,0.03766128,0.0375,0.0001,0.002394544,0.002344312,0.0024,0.0000,0.002335451,0.002150071,0.0022,0.0001,0.025815907,0.0246103,0.0252,0.0006,0.025371471,0.025618972,0.0255,0.0001,0.028389631,0.028231846,0.0283,0.0001,0.028601736,0.028457782,0.0285,0.0001,0.034635475,0.033971054,0.0343,0.0003,0.034915071,0.034758393,0.0348,0.0001,0.000268572,BDL,BDL,BDL,0.032320131,0.00259757,0.007926047,0.007708311,
Be 313.107 - R,0.000154033,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,0.017963913,0.001370994,0.001301275,
Ca 317.933 - A,0.025407467,9.956153748,9.812886766,9.8845,0.0716,9.825333069,10.07600645,9.9507,0.1253,13.5109675,13.63622337,13.5736,0.0626,13.35855098,13.63880854,13.4987,0.1401,83.14720454,85.29212498,84.2197,1.0725,83.38007481,82.9110945,83.1456,0.2345,50.07694168,49.58980953,49.8334,0.2436,50.24285376,49.88755087,50.0652,0.1777,319.2905846,330.0893184,324.6900,5.3994,331.6446172,320.7903881,326.2175,5.4271,61.99552763,60.95714934,61.4763,0.5192,60.96055379,62.50155067,61.7311,0.7705,78.63385333,79.03747671,78.8357,0.2018,79.40030177,80.34106219,79.8707,0.4704,72.5056589,71.30010043,71.9029,0.6028,72.54759083,72.21087885,72.3792,0.1684,BDL,BDL,BDL,BDL,26.25733047,257.1621606,190.3761037,195.0871327,
