sample,geoid,geoid_type
A06,040019702001,block_group
A07,040019703003,block_group
A08,040019703003,block_group
A13,040019702002,block_group
A14,040019702002,block_group
A15,040019702003,block_group
A16,040019702003,block_group
A18,040019702001,block_group
A19,040019703001,block_group
A20,040019705013,block_group
A23,040019702001,block_group
A24,040019702001,block_group
A26,040019705013,block_group
C01,040030021002,block_group
C02,040030003023,block_group
C03,040030015021,block_group
C04,040030020013,block_group
C05,040030018001,block_group
C06,040030018001,block_group
C07,040239660003,block_group
C08,040030021003,block_group
C10,040030021003,block_group
C11,040030002011,block_group
C12,040030021003,block_group
C13,040030012001,block_group
C15,040030019003,block_group
C16,040030021003,block_group
C17,040030021003,block_group
C18,040030017021,block_group
C19,040030016024,block_group
C20,040030021003,block_group
C21,040030011003,block_group
C22,040030021002,block_group
C23,040030012001,block_group
C31,040030010001,block_group
C32,040030011002,block_group
C33,040030011002,block_group
C36,040030011003,block_group
C37,040030011002,block_group
C38,040030010001,block_group
C39,040030011002,block_group
C40,040030011002,block_group
C42,040030010002,block_group
C43,040030011002,block_group
C45,040030011002,block_group
C47,040030002011,block_group
C48,040030002011,block_group
C50,040030002032,block_group
C51,040030010001,block_group
C53,040030003031,block_group
C55,040030002024,block_group
C56,040030002024,block_group
C57,040030002024,block_group
D01,040250015002,block_group
D02,040250007003,block_group
D03,040250015001,block_group
D04,040250015002,block_group
D05,040250007003,block_group
D07,040250019003,block_group
D11,040250019003,block_group
D12,040250015002,block_group
D13,040250007003,block_group
D15,040250015002,block_group
D16,040250007003,block_group
D17,040250006071,block_group
D20,040250015002,block_group
D21,040250015002,block_group
D22,040250007003,block_group
D25,040250019003,block_group
D26,040250019003,block_group
D29,040250007003,block_group
D30,040250015002,block_group
D31,040250007003,block_group
D32,040250015002,block_group
D34,040250007003,block_group
D35,040250007003,block_group
D36,040250015001,block_group
D37,040250015002,block_group
D38,040250007003,block_group
D39,040250019004,block_group
D40,040250015002,block_group
D41,040250015002,block_group
D43,040250015002,block_group
D44,040250015002,block_group
D45,040250015002,block_group
D50,040250007003,block_group
D09,040250015002,block_group
G01,040119601002,block_group
G02,040119603001,block_group
G03,040119602003,block_group
G05,040119603001,block_group
G10,040119603002,block_group
G20,040119603003,block_group
G21,040119602003,block_group
G22,040119603002,block_group
G23,040119603002,block_group
G24,040119603002,block_group
G26,040119603002,block_group
G27,040119602001,block_group
G31,040119601001,block_group
G32,040119601001,block_group
G35,040119602002,block_group
G37,040119601001,block_group
G38,040119602002,block_group
G41,040119602002,block_group
G43,040119603001,block_group
G44,040119602001,block_group
G45,040119601001,block_group
G46,040119601001,block_group
G47,040119602001,block_group
G48,040119602001,block_group
G49,040119601002,block_group
G50,040119603001,block_group
GS01,040138172001,block_group
GS02,040210004004,block_group
GS03,040210004002,block_group
GS04,040210004003,block_group
GS05,040210004001,block_group
GS06,040210004002,block_group
GS07,040210004003,block_group
GS08,040210004004,block_group
GS09,040210004002,block_group
GS10,040210004003,block_group
GS11,040210004002,block_group
GS12,040210002012,block_group
GS13,040210004001,block_group
GS14,040210004004,block_group
GS16,040210004002,block_group
GS17,040210004004,block_group
GS18,040210004003,block_group
GS19,040210004003,block_group
GS20,040210004003,block_group
GS25,040210004002,block_group
