sample,sampleLong,community,type,sampling_year,sampling,units,sample_name,aluminum,aluminumRaw,aluminumIdentifier,arsenic,arsenicRaw,arsenicIdentifier,barium,bariumRaw,bariumIdentifier,berylliumRaw,beryllium,berylliumIdentifier,cadmiumRaw,cadmium,cadmiumIdentifier,chromiumRaw,chromium,chromiumIdentifier,manganeseRaw,manganese,manganeseIdentifier,nickelRaw,nickel,nickelIdentifier,leadRaw,lead,leadIdentifier,zincRaw,zinc,zincIdentifier,copperRaw,copper,copperIdentifier,geoid,geoid_type
D01,D01-1 Spag Squash,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,Spaghetti squash,,,Post-Transition Metal,0.0048,0.0830405,Metalloid,0.087,1.9270613,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0147335,0.000665,Transitional Metal,0.0326712,0.0027,Transitional Metal,13.970783,0.631,Transitional Metal,0.2969455,0.0134,Transitional Metal,0.1052306,0.00475,Post-Transition Metal,29.895698,1.35,Transitional Metal,8.132761,0.367,Transitional Metal,040250015002,block_group
D01,D01-2 Zucchini,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,zucchini,,,Post-Transition Metal,0.00911,0.1707176,Metalloid,0.106,1.9822007,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0238357,0.00127,Transitional Metal,0.0390066,0.0032,Transitional Metal,18.389077,0.982,Transitional Metal,2.7427244,0.146,Transitional Metal,0.6707575,0.0358,Post-Transition Metal,50.260674,2.68,Transitional Metal,7.4994004,0.4,Transitional Metal,040250015002,block_group
D01,D01-3 Tomato,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,Tomato,,,Post-Transition Metal,0.011,0.0274715,Metalloid,0.09,0.8608448,Alkaline Earth Metal,0.006411,0.000671,Alkaline Earth Metal,0.0706111,0.00739,Transitional Metal,0.0402337,0.0064,Transitional Metal,11.995357,1.25,Transitional Metal,6.0254044,0.63,Transitional Metal,1.4822648,0.155,Post-Transition Metal,23.031606,2.41,Transitional Metal,8.974985,0.939,Transitional Metal,040250015002,block_group
D01,D01-4 White onion,Dewey-Humboldt,Bulb Vegetables,2011-2012,,mg/kg,Onions,,,Post-Transition Metal,0.02,0.0847449,Metalloid,0.118,0.6350638,Alkaline Earth Metal,0.0064269,0.00119,Alkaline Earth Metal,0.2402451,0.0445,Transitional Metal,0.0231068,0.011,Transitional Metal,8.9522619,1.66,Transitional Metal,2.3939318,0.443,Transitional Metal,5.7493822,1.06,Post-Transition Metal,25.428916,4.71,Transitional Metal,6.9499203,1.29,Transitional Metal,040250015002,block_group
D03,D03-1 Chives,Dewey-Humboldt,Herbs,2011-2012,,mg/kg,Chives,,,Post-Transition Metal,0.0112,0.2120276,Metalloid,0.291,5.4833533,Alkaline Earth Metal,0.0043491,0.00022,Alkaline Earth Metal,0.1727654,0.00916,Transitional Metal,0.1328434,0.00704,Transitional Metal,31.488707,1.67,Transitional Metal,1.1793491,0.0625,Transitional Metal,0.7326035,0.0388,Post-Transition Metal,38.47491,2.04,Transitional Metal,10.483533,0.556,Transitional Metal,040250015001,block_group
D03,D03-2 Red Cabbage,Dewey-Humboldt,Brassica Vegetables,2011-2012,,mg/kg,Cabbage,,,Post-Transition Metal,0.0304,0.3119005,Metalloid,1.64,16.831775,Alkaline Earth Metal,0.0041966,0.0004,Alkaline Earth Metal,0.7394484,0.072,Transitional Metal,0.3354317,0.0326,Transitional Metal,35.497737,3.45,Transitional Metal,0.3497452,0.034,Transitional Metal,0.1353717,0.0132,Post-Transition Metal,40.10631,3.9,Transitional Metal,3.2046163,0.312,Transitional Metal,040250015001,block_group
D03,D03-3 Tomato,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,Tomato,,,Post-Transition Metal,0.013,0.0717496,Metalloid,0.0419,0.354973,Alkaline Earth Metal,,,Alkaline Earth Metal,0.3434691,0.0406,Transitional Metal,0.0884362,0.0104,Transitional Metal,8.8805123,1.05,Transitional Metal,1.6829688,0.199,Transitional Metal,0.8939185,0.106,Post-Transition Metal,31.258493,3.69,Transitional Metal,10.180258,1.2,Transitional Metal,040250015001,block_group
D03,"D03-4 Zucchini, green",Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,zucchini,,,Post-Transition Metal,0.0035,0.0701019,Metalloid,0.146,4.467855,Alkaline Earth Metal,,,Alkaline Earth Metal,0.1625824,0.00531,Transitional Metal,0.0394248,0.002,Transitional Metal,24.764694,0.809,Transitional Metal,2.8782954,0.094,Transitional Metal,0.0776812,0.00254,Post-Transition Metal,62.664664,2.05,Transitional Metal,14.324865,0.468,Transitional Metal,040250015001,block_group
D03,D03-5 Brocoli,Dewey-Humboldt,Brassica Vegetables,2011-2012,,mg/kg,Broccoli,,,Post-Transition Metal,0.0076,0.1104712,Metalloid,0.241,3.3788181,Alkaline Earth Metal,,,Alkaline Earth Metal,0.2142044,0.0153,Transitional Metal,0.0859752,0.0043,Transitional Metal,27.768701,1.98,Transitional Metal,1.096641,0.0783,Transitional Metal,1.4156718,0.101,Post-Transition Metal,52.671097,3.76,Transitional Metal,6.911649,0.494,Transitional Metal,040250015001,block_group
D04,D04-1 Kale,Dewey-Humboldt,Brassica Vegetables,2011-2012,,mg/kg,Kale,,,Post-Transition Metal,0.0371,0.3255644,Metalloid,0.941,8.2656144,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0755844,0.00861,Transitional Metal,0.1133167,0.0129,Transitional Metal,23.739021,2.7,Transitional Metal,0.1114585,0.0127,Transitional Metal,0.0701299,0.00799,Post-Transition Metal,36.343307,4.14,Transitional Metal,3.7378022,0.426,Transitional Metal,040250015002,block_group
