sample,sampleLong,community,type,sampling_year,sampling,units,sample_name,aluminum,aluminumRaw,aluminumIdentifier,arsenic,arsenicRaw,arsenicIdentifier,barium,bariumRaw,bariumIdentifier,berylliumRaw,beryllium,berylliumIdentifier,cadmiumRaw,cadmium,cadmiumIdentifier,chromiumRaw,chromium,chromiumIdentifier,manganeseRaw,manganese,manganeseIdentifier,nickelRaw,nickel,nickelIdentifier,leadRaw,lead,leadIdentifier,zincRaw,zinc,zincIdentifier,copperRaw,copper,copperIdentifier,geoid,geoid_type
A14,A-K-14 garden,Apache,Garden Soil,2015-2016,,mg/kg,,8239,8239.0239,Post-Transition Metal,7.626,7.6256619,Metalloid,400.9,400.89434,Alkaline Earth Metal,1.1804827,1.18,Alkaline Earth Metal,0.3001361,0.3001,Transitional Metal,22.422854,22.42,Transitional Metal,406.95099,407,Transitional Metal,12.690747,12.69,Transitional Metal,54.700524,54.7,Post-Transition Metal,111.19441,111.2,Transitional Metal,23.28176,23.28,Transitional Metal,040019702002,block_group
A14,A-K-14 yard,Apache,Yard Soil,2015-2016,,mg/kg,,12250,12246.064,Post-Transition Metal,9.426,9.4260123,Metalloid,1576,1575.6342,Alkaline Earth Metal,0.6122574,0.6123,Alkaline Earth Metal,0.1462153,0.1462,Transitional Metal,19.954941,19.95,Transitional Metal,502.71981,502.7,Transitional Metal,14.55369,14.55,Transitional Metal,13.920305,13.92,Post-Transition Metal,68.735956,68.74,Transitional Metal,21.396471,21.4,Transitional Metal,040019702002,block_group
A19,A-19-1 garden,Apache,Garden Soil,2015-2016,,mg/kg,,8180,8180.0638,Post-Transition Metal,5.466,5.4663716,Metalloid,191.3,191.26961,Alkaline Earth Metal,0.7374185,0.7374,Alkaline Earth Metal,0.5528657,0.5529,Transitional Metal,57.59543,57.6,Transitional Metal,388.88771,388.9,Transitional Metal,23.797581,23.8,Transitional Metal,253.82206,253.8,Post-Transition Metal,215.35413,215.4,Transitional Metal,115.99413,116,Transitional Metal,040019703001,block_group
A26,A-K-26 yard,Apache,Yard Soil,2015-2016,,mg/kg,,10890,10894.409,Post-Transition Metal,2.829,2.8292059,Metalloid,286.4,286.40227,Alkaline Earth Metal,0.6140682,0.6141,Alkaline Earth Metal,0.3246033,0.3246,Transitional Metal,20.656799,20.66,Transitional Metal,627.82702,627.8,Transitional Metal,51.02221,51.02,Transitional Metal,17.828776,17.83,Post-Transition Metal,105.89841,105.9,Transitional Metal,25.733734,25.73,Transitional Metal,040019705013,block_group
A06,A-K-6 yard,Apache,Yard Soil,2015-2016,,mg/kg,,9160,9159.9982,Post-Transition Metal,9.279,9.2794647,Metalloid,338.1,338.11118,Alkaline Earth Metal,1.1825644,1.183,Alkaline Earth Metal,0.2022565,0.2023,Transitional Metal,24.37145,24.37,Transitional Metal,417.21167,417.2,Transitional Metal,16.362596,16.36,Transitional Metal,6.5166747,6.517,Post-Transition Metal,43.031474,43.03,Transitional Metal,18.438385,18.44,Transitional Metal,040019702001,block_group
A06,A-K-6 garden,Apache,Garden Soil,2015-2016,,mg/kg,,7829,7829.089,Post-Transition Metal,2.881,2.8812606,Metalloid,207.1,207.13899,Alkaline Earth Metal,0.6838124,0.6838,Alkaline Earth Metal,0.2104577,0.2105,Transitional Metal,18.602901,18.6,Transitional Metal,234.82456,234.8,Transitional Metal,11.321242,11.32,Transitional Metal,5.705153,5.705,Post-Transition Metal,33.565215,33.57,Transitional Metal,18.501536,18.5,Transitional Metal,040019702001,block_group
C01,C-K-1 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,7982,7981.7845,Post-Transition Metal,3.92,3.9197394,Metalloid,100.5,100.49466,Alkaline Earth Metal,0.6968917,0.6969,Alkaline Earth Metal,0.326847,0.3268,Transitional Metal,21.723988,21.72,Transitional Metal,589.33257,589.3,Transitional Metal,8.0156488,8.016,Transitional Metal,23.494719,23.49,Post-Transition Metal,37.002851,37,Transitional Metal,34.979248,34.98,Transitional Metal,040030021002,block_group
C01,C-K-1 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,8038,8038.3838,Post-Transition Metal,3.483,3.4829189,Metalloid,103,103.01917,Alkaline Earth Metal,0.6865051,0.6865,Alkaline Earth Metal,0.4189517,0.419,Transitional Metal,19.908425,19.91,Transitional Metal,637.46568,637.5,Transitional Metal,8.3835655,8.384,Transitional Metal,30.664887,30.66,Post-Transition Metal,51.916346,51.92,Transitional Metal,41.878356,41.88,Transitional Metal,040030021002,block_group
C10,C-K-10 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,10900,10902.41,Post-Transition Metal,3.509,3.5089613,Metalloid,214.5,214.45753,Alkaline Earth Metal,0.5147291,0.5147,Alkaline Earth Metal,0.6175172,0.6175,Transitional Metal,24.10021,24.1,Transitional Metal,485.37713,485.4,Transitional Metal,11.119176,11.12,Transitional Metal,25.908222,25.91,Post-Transition Metal,342.65865,342.7,Transitional Metal,105.95071,106,Transitional Metal,040030021003,block_group
C10,C-K-10 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,7697,7697.0325,Post-Transition Metal,2.326,2.3263777,Metalloid,90.91,90.909492,Alkaline Earth Metal,0.7758684,0.7759,Alkaline Earth Metal,0.3146868,0.3147,Transitional Metal,21.166625,21.17,Transitional Metal,508.51164,508.5,Transitional Metal,6.8001945,6.8,Transitional Metal,35.904118,35.9,Post-Transition Metal,72.910582,72.91,Transitional Metal,21.398543,21.4,Transitional Metal,040030021003,block_group
