sample,sampleLong,community,type,sampling_year,sampling,units,sample_name,arsenicRaw,arsenic,arsenicIdentifier,aluminumRaw,aluminum,aluminumIdentifier,bariumRaw,barium,bariumIdentifier,berylliumRaw,beryllium,berylliumIdentifier,cadmiumRaw,cadmium,cadmiumIdentifier,chromiumRaw,chromium,chromiumIdentifier,manganeseRaw,manganese,manganeseIdentifier,nickelRaw,nickel,nickelIdentifier,leadRaw,lead,leadIdentifier,zincRaw,zinc,zincIdentifier,copperRaw,copper,copperIdentifier,geoid,geoid_type
D01,D-K-1-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,56.8646789,56.8646789,Metalloid,,,Post-Transition Metal,137.322298,137.322298,Alkaline Earth Metal,0.40292182,0.40292182,Alkaline Earth Metal,0.52582768,0.52582768,Transitional Metal,27.3222477,27.3222477,Transitional Metal,940.510969,940.510969,Transitional Metal,17.9103012,17.9103012,Transitional Metal,10.4138911,10.4138911,Post-Transition Metal,284.937226,284.937226,Transitional Metal,36.8890108,36.8890108,Transitional Metal,"34.45,-111.98",centroid
D01,D-K-1-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,91.3049242,91.3049242,Metalloid,,,Post-Transition Metal,170.711124,170.711124,Alkaline Earth Metal,0.32530901,0.32530901,Alkaline Earth Metal,0.33143939,0.33143939,Transitional Metal,16.6442883,16.6442883,Transitional Metal,614.918561,614.918561,Transitional Metal,14.1702053,14.1702053,Transitional Metal,14.1047149,14.1047149,Post-Transition Metal,79.9465211,79.9465211,Transitional Metal,59.113437,59.113437,Transitional Metal,"34.45,-111.98",centroid
D03,D-K-3-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,30.6906,30.6906,Metalloid,,,Post-Transition Metal,95.7555,95.7555,Alkaline Earth Metal,0.42365,0.42365,Alkaline Earth Metal,0.5068,0.5068,Transitional Metal,33.34015,33.34015,Transitional Metal,457.6542,457.6542,Transitional Metal,18.18505,18.18505,Transitional Metal,13.74875,13.74875,Post-Transition Metal,108.94815,108.94815,Transitional Metal,40.1984,40.1984,Transitional Metal,"34.41,-112.26",centroid
D03,D-K-3-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,39.2190116,39.2190116,Metalloid,,,Post-Transition Metal,95.9577521,95.9577521,Alkaline Earth Metal,0.5340275,0.5340275,Alkaline Earth Metal,0.45755281,0.45755281,Transitional Metal,23.0832503,23.0832503,Transitional Metal,439.557393,439.557393,Transitional Metal,15.0164906,15.0164906,Transitional Metal,41.6373555,41.6373555,Post-Transition Metal,166.750947,166.750947,Transitional Metal,62.9419091,62.9419091,Transitional Metal,"34.41,-112.26",centroid
D04,D-K-4-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,19.6700199,19.6700199,Metalloid,,,Post-Transition Metal,177.811155,177.811155,Alkaline Earth Metal,0.38331673,0.38331673,Alkaline Earth Metal,0.31145418,0.31145418,Transitional Metal,34.1086155,34.1086155,Transitional Metal,496.393924,496.393924,Transitional Metal,25.2825199,25.2825199,Transitional Metal,12.6198705,12.6198705,Post-Transition Metal,116.114492,116.114492,Transitional Metal,49.0179283,49.0179283,Transitional Metal,"34.45,-111.98",centroid
D04,D-K-4 Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,45.3611332,45.3611332,Metalloid,,,Post-Transition Metal,165.79503,165.79503,Alkaline Earth Metal,0.28961233,0.28961233,Alkaline Earth Metal,0.10198807,0.10198807,Transitional Metal,22.8720179,22.8720179,Transitional Metal,850.015507,850.015507,Transitional Metal,21.0412028,21.0412028,Transitional Metal,7.93394632,7.93394632,Post-Transition Metal,58.2147614,58.2147614,Transitional Metal,45.3725646,45.3725646,Transitional Metal,"34.45,-111.98",centroid
D07,D-K-7-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,27.0302307,27.0302307,Metalloid,,,Post-Transition Metal,132.722355,132.722355,Alkaline Earth Metal,0.43899165,0.43899165,Alkaline Earth Metal,0.30529037,0.30529037,Transitional Metal,18.9653441,18.9653441,Transitional Metal,647.678302,647.678302,Transitional Metal,11.7603918,11.7603918,Transitional Metal,9.5906424,9.5906424,Post-Transition Metal,88.2193218,88.2193218,Transitional Metal,45.2249403,45.2249403,Transitional Metal,"34.63,-112.09",centroid
D07,D-K-7-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,43.1849383,43.1849383,Metalloid,,,Post-Transition Metal,115.052925,115.052925,Alkaline Earth Metal,0.36972742,0.36972742,Alkaline Earth Metal,0.21110227,0.21110227,Transitional Metal,18.3265519,18.3265519,Transitional Metal,683.616594,683.616594,Transitional Metal,11.2656685,11.2656685,Transitional Metal,7.6922503,7.6922503,Post-Transition Metal,51.6896637,51.6896637,Transitional Metal,35.9807998,35.9807998,Transitional Metal,"34.63,-112.09",centroid
D09,D-K-9-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,74.2717565,74.2717565,Metalloid,,,Post-Transition Metal,148.083234,148.083234,Alkaline Earth Metal,0.30533932,0.30533932,Alkaline Earth Metal,0.16467066,0.16467066,Transitional Metal,15.6457585,15.6457585,Transitional Metal,584.950898,584.950898,Transitional Metal,11.7983533,11.7983533,Transitional Metal,7.43657685,7.43657685,Post-Transition Metal,65.0837824,65.0837824,Transitional Metal,41.4307385,41.4307385,Transitional Metal,"34.45,-111.98",centroid
D09,D-K-9-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,104.573571,104.573571,Metalloid,,,Post-Transition Metal,215.190124,215.190124,Alkaline Earth Metal,0.3889944,0.3889944,Alkaline Earth Metal,0.17233107,0.17233107,Transitional Metal,15.4116853,15.4116853,Transitional Metal,641.879448,641.879448,Transitional Metal,13.7483507,13.7483507,Transitional Metal,8.87979808,8.87979808,Post-Transition Metal,65.5144442,65.5144442,Transitional Metal,52.9411236,52.9411236,Transitional Metal,"34.45,-111.98",centroid
