sample,sampleLong,community,type,sampling_year,sampling,units,sample_name,aluminum,aluminumRaw,aluminumIdentifier,arsenic,arsenicRaw,arsenicIdentifier,barium,bariumRaw,bariumIdentifier,berylliumRaw,beryllium,berylliumIdentifier,cadmiumRaw,cadmium,cadmiumIdentifier,chromiumRaw,chromium,chromiumIdentifier,manganeseRaw,manganese,manganeseIdentifier,nickelRaw,nickel,nickelIdentifier,leadRaw,lead,leadIdentifier,zincRaw,zinc,zincIdentifier,copperRaw,copper,copperIdentifier,geoid,geoid_type
C45,C-K-45,Cochise,Water,2015-2016,,&mu;g/L,,2.84,2.84,Post-Transition Metal,2.3,2.3,Metalloid,246.28,246.28,Alkaline Earth Metal,0.02,0.02,Alkaline Earth Metal,0.35,0.35,Transitional Metal,0.08,0.08,Transitional Metal,0.63,0.63,Transitional Metal,1.75,1.75,Transitional Metal,0.12,0.12,Post-Transition Metal,98.03,98.03,Transitional Metal,24.16,24.16,Transitional Metal,040030011002,block_group
C48,C-K-48,Cochise,Water,2015-2016,,&mu;g/L,,0.62,0.62,Post-Transition Metal,3.22,3.22,Metalloid,49.46,49.46,Alkaline Earth Metal,0.04,0.04,Alkaline Earth Metal,0,0,Transitional Metal,0.72,0.72,Transitional Metal,0.38,0.38,Transitional Metal,1.5,1.5,Transitional Metal,0.03,0.03,Post-Transition Metal,4.24,4.24,Transitional Metal,0.43,0.43,Transitional Metal,040030002011,block_group
C38,C-K-38,Cochise,Water,2015-2016,,&mu;g/L,,0.72,0.72,Post-Transition Metal,2.87,2.87,Metalloid,286.86,286.86,Alkaline Earth Metal,0.02,0.02,Alkaline Earth Metal,0,0,Transitional Metal,0.1,0.1,Transitional Metal,2.54,2.54,Transitional Metal,2.4,2.4,Transitional Metal,0.07,0.07,Post-Transition Metal,89.67,89.67,Transitional Metal,3.22,3.22,Transitional Metal,040030010001,block_group
C36,C-K-36,Cochise,Water,2015-2016,,&mu;g/L,,0.84,0.84,Post-Transition Metal,3.38,3.38,Metalloid,352.52,352.52,Alkaline Earth Metal,0.02,0.02,Alkaline Earth Metal,0,0,Transitional Metal,0.11,0.11,Transitional Metal,0.22,0.22,Transitional Metal,2.45,2.45,Transitional Metal,0.03,0.03,Post-Transition Metal,7.24,7.24,Transitional Metal,6.46,6.46,Transitional Metal,040030011003,block_group
C31,C-K-31,Cochise,Water,2015-2016,,&mu;g/L,,0.6,0.6,Post-Transition Metal,3.21,3.21,Metalloid,349.19,349.19,Alkaline Earth Metal,0.02,0.02,Alkaline Earth Metal,0.02,0.02,Transitional Metal,0.11,0.11,Transitional Metal,0.09,0.09,Transitional Metal,2.4,2.4,Transitional Metal,0.03,0.03,Post-Transition Metal,18.23,18.23,Transitional Metal,10.75,10.75,Transitional Metal,040030010001,block_group
C56,C-K-56,Cochise,Water,2015-2016,,&mu;g/L,,0.24,0.24,Post-Transition Metal,3.96,3.96,Metalloid,21.56,21.56,Alkaline Earth Metal,0.03,0.03,Alkaline Earth Metal,0,0,Transitional Metal,8.79,8.79,Transitional Metal,0.92,0.92,Transitional Metal,2.86,2.86,Transitional Metal,0.02,0.02,Post-Transition Metal,4.49,4.49,Transitional Metal,1.25,1.25,Transitional Metal,040030002024,block_group
C32,C-K-32,Cochise,Water,2015-2016,,&mu;g/L,,4.87,4.87,Post-Transition Metal,2.52,2.52,Metalloid,241.59,241.59,Alkaline Earth Metal,0.02,0.02,Alkaline Earth Metal,0.08,0.08,Transitional Metal,0.13,0.13,Transitional Metal,18.84,18.84,Transitional Metal,1.87,1.87,Transitional Metal,0.23,0.23,Post-Transition Metal,50.07,50.07,Transitional Metal,7.12,7.12,Transitional Metal,040030011002,block_group
C21,C-K-21,Cochise,Water,2015-2016,,&mu;g/L,,0.77,0.77,Post-Transition Metal,3.29,3.29,Metalloid,340.52,340.52,Alkaline Earth Metal,0.03,0.03,Alkaline Earth Metal,0,0,Transitional Metal,0.14,0.14,Transitional Metal,0.04,0.04,Transitional Metal,2.36,2.36,Transitional Metal,0.06,0.06,Post-Transition Metal,20.43,20.43,Transitional Metal,1.26,1.26,Transitional Metal,040030011003,block_group
C16,C-K-16,Cochise,Water,2015-2016,,&mu;g/L,,0.63,0.63,Post-Transition Metal,0.27,0.27,Metalloid,18.46,18.46,Alkaline Earth Metal,0.03,0.03,Alkaline Earth Metal,0.01,0.01,Transitional Metal,0.04,0.04,Transitional Metal,0.16,0.16,Transitional Metal,2.06,2.06,Transitional Metal,0.1,0.1,Post-Transition Metal,188.93,188.93,Transitional Metal,158.83,158.83,Transitional Metal,040030021003,block_group
C11,C-K-11,Cochise,Water,2015-2016,,&mu;g/L,,0.74,0.74,Post-Transition Metal,10.16,10.16,Metalloid,3.88,3.88,Alkaline Earth Metal,0.03,0.03,Alkaline Earth Metal,0.01,0.01,Transitional Metal,3.55,3.55,Transitional Metal,0.01,0.01,Transitional Metal,0.55,0.55,Transitional Metal,0.06,0.06,Post-Transition Metal,3.28,3.28,Transitional Metal,0.44,0.44,Transitional Metal,040030002011,block_group
