source,unit,location_name,location_type,variable_name,variable_desc,collected_on,medium,value
GardenRoots,mg/kg,040250015002,block_group,arsenic,,2011-01-01,Fruiting Vegetables,0.0048
GardenRoots,mg/kg,040250015002,block_group,barium,,2011-01-01,Fruiting Vegetables,0.087
GardenRoots,mg/kg,040250015002,block_group,cadmium,,2011-01-01,Fruiting Vegetables,0.000665
GardenRoots,mg/kg,040250015002,block_group,chromium,,2011-01-01,Fruiting Vegetables,0.0027
GardenRoots,mg/kg,040250015002,block_group,manganese,,2011-01-01,Fruiting Vegetables,0.631
GardenRoots,mg/kg,040250015002,block_group,nickel,,2011-01-01,Fruiting Vegetables,0.0134
GardenRoots,mg/kg,040250015002,block_group,lead,,2011-01-01,Fruiting Vegetables,0.00475
GardenRoots,mg/kg,040250015002,block_group,zinc,,2011-01-01,Fruiting Vegetables,1.35
GardenRoots,mg/kg,040250015002,block_group,copper,,2011-01-01,Fruiting Vegetables,0.367
GardenRoots,mg/kg,040250015002,block_group,arsenic,,2011-01-01,Fruiting Vegetables,0.00911
GardenRoots,mg/kg,040250015002,block_group,barium,,2011-01-01,Fruiting Vegetables,0.106
GardenRoots,mg/kg,040250015002,block_group,cadmium,,2011-01-01,Fruiting Vegetables,0.00127
GardenRoots,mg/kg,040250015002,block_group,chromium,,2011-01-01,Fruiting Vegetables,0.0032
GardenRoots,mg/kg,040250015002,block_group,manganese,,2011-01-01,Fruiting Vegetables,0.982
GardenRoots,mg/kg,040250015002,block_group,nickel,,2011-01-01,Fruiting Vegetables,0.146
GardenRoots,mg/kg,040250015002,block_group,lead,,2011-01-01,Fruiting Vegetables,0.0358
GardenRoots,mg/kg,040250015002,block_group,zinc,,2011-01-01,Fruiting Vegetables,2.68
GardenRoots,mg/kg,040250015002,block_group,copper,,2011-01-01,Fruiting Vegetables,0.4
GardenRoots,mg/kg,040250015002,block_group,arsenic,,2011-01-01,Fruiting Vegetables,0.011
GardenRoots,mg/kg,040250015002,block_group,barium,,2011-01-01,Fruiting Vegetables,0.09
GardenRoots,mg/kg,040250015002,block_group,beryllium,,2011-01-01,Fruiting Vegetables,0.000671
GardenRoots,mg/kg,040250015002,block_group,cadmium,,2011-01-01,Fruiting Vegetables,0.00739
GardenRoots,mg/kg,040250015002,block_group,chromium,,2011-01-01,Fruiting Vegetables,0.0064
GardenRoots,mg/kg,040250015002,block_group,manganese,,2011-01-01,Fruiting Vegetables,1.25
GardenRoots,mg/kg,040250015002,block_group,nickel,,2011-01-01,Fruiting Vegetables,0.63
