source,unit,location_name,location_type,variable_name,variable_desc,collected_on,medium,value
GardenRoots,mg/kg,"34.45,-111.98",centroid,arsenic,,2011-01-01,Fruiting Vegetables,0.419
GardenRoots,mg/kg,"34.45,-111.98",centroid,barium,,2011-01-01,Fruiting Vegetables,1.92706129
GardenRoots,mg/kg,"34.45,-111.98",centroid,beryllium,,2011-01-01,Fruiting Vegetables,0.015368
GardenRoots,mg/kg,"34.45,-111.98",centroid,cadmium,,2011-01-01,Fruiting Vegetables,0.0209
GardenRoots,mg/kg,"34.45,-111.98",centroid,chromium,,2011-01-01,Fruiting Vegetables,0.45
GardenRoots,mg/kg,"34.45,-111.98",centroid,manganese,,2011-01-01,Fruiting Vegetables,13.97078259
GardenRoots,mg/kg,"34.45,-111.98",centroid,nickel,,2011-01-01,Fruiting Vegetables,0.392
GardenRoots,mg/kg,"34.45,-111.98",centroid,lead,,2011-01-01,Fruiting Vegetables,0.105
GardenRoots,mg/kg,"34.45,-111.98",centroid,zinc,,2011-01-01,Fruiting Vegetables,29.89569774
GardenRoots,mg/kg,"34.45,-111.98",centroid,copper,,2011-01-01,Fruiting Vegetables,8.13276103
GardenRoots,mg/kg,"34.45,-111.98",centroid,arsenic,,2011-01-01,Fruiting Vegetables,0.419
GardenRoots,mg/kg,"34.45,-111.98",centroid,barium,,2011-01-01,Fruiting Vegetables,1.98220068
GardenRoots,mg/kg,"34.45,-111.98",centroid,beryllium,,2011-01-01,Fruiting Vegetables,0.015368
GardenRoots,mg/kg,"34.45,-111.98",centroid,cadmium,,2011-01-01,Fruiting Vegetables,0.0238
GardenRoots,mg/kg,"34.45,-111.98",centroid,chromium,,2011-01-01,Fruiting Vegetables,0.45
GardenRoots,mg/kg,"34.45,-111.98",centroid,manganese,,2011-01-01,Fruiting Vegetables,18.38907655
GardenRoots,mg/kg,"34.45,-111.98",centroid,nickel,,2011-01-01,Fruiting Vegetables,2.742724365
GardenRoots,mg/kg,"34.45,-111.98",centroid,lead,,2011-01-01,Fruiting Vegetables,0.671
GardenRoots,mg/kg,"34.45,-111.98",centroid,zinc,,2011-01-01,Fruiting Vegetables,50.2606736
GardenRoots,mg/kg,"34.45,-111.98",centroid,copper,,2011-01-01,Fruiting Vegetables,7.49940036
GardenRoots,mg/kg,"34.45,-111.98",centroid,arsenic,,2011-01-01,Fruiting Vegetables,0.419
GardenRoots,mg/kg,"34.45,-111.98",centroid,barium,,2011-01-01,Fruiting Vegetables,0.861
GardenRoots,mg/kg,"34.45,-111.98",centroid,beryllium,,2011-01-01,Fruiting Vegetables,0.0154
GardenRoots,mg/kg,"34.45,-111.98",centroid,cadmium,,2011-01-01,Fruiting Vegetables,0.0706
GardenRoots,mg/kg,"34.45,-111.98",centroid,chromium,,2011-01-01,Fruiting Vegetables,0.45
GardenRoots,mg/kg,"34.45,-111.98",centroid,manganese,,2011-01-01,Fruiting Vegetables,11.9953565
GardenRoots,mg/kg,"34.45,-111.98",centroid,nickel,,2011-01-01,Fruiting Vegetables,6.025404434
GardenRoots,mg/kg,"34.45,-111.98",centroid,lead,,2011-01-01,Fruiting Vegetables,1.482264829
GardenRoots,mg/kg,"34.45,-111.98",centroid,zinc,,2011-01-01,Fruiting Vegetables,23.03160575
GardenRoots,mg/kg,"34.45,-111.98",centroid,copper,,2011-01-01,Fruiting Vegetables,8.974985021
GardenRoots,mg/kg,"34.45,-111.98",centroid,arsenic,,2011-01-01,Bulb Vegetables,0.419
GardenRoots,mg/kg,"34.45,-111.98",centroid,barium,,2011-01-01,Bulb Vegetables,0.635
GardenRoots,mg/kg,"34.45,-111.98",centroid,beryllium,,2011-01-01,Bulb Vegetables,0.0154
GardenRoots,mg/kg,"34.45,-111.98",centroid,cadmium,,2011-01-01,Bulb Vegetables,0.24
GardenRoots,mg/kg,"34.45,-111.98",centroid,chromium,,2011-01-01,Bulb Vegetables,0.45
GardenRoots,mg/kg,"34.45,-111.98",centroid,manganese,,2011-01-01,Bulb Vegetables,8.952261857
GardenRoots,mg/kg,"34.45,-111.98",centroid,nickel,,2011-01-01,Bulb Vegetables,2.393931845
GardenRoots,mg/kg,"34.45,-111.98",centroid,lead,,2011-01-01,Bulb Vegetables,5.749382224
GardenRoots,mg/kg,"34.45,-111.98",centroid,zinc,,2011-01-01,Bulb Vegetables,25.4289159
GardenRoots,mg/kg,"34.45,-111.98",centroid,copper,,2011-01-01,Bulb Vegetables,6.949920287
GardenRoots,mg/kg,"34.41,-112.26",centroid,arsenic,,2011-01-01,Herbs,0.419
GardenRoots,mg/kg,"34.41,-112.26",centroid,barium,,2011-01-01,Herbs,5.483353329
GardenRoots,mg/kg,"34.41,-112.26",centroid,beryllium,,2011-01-01,Herbs,0.0154
GardenRoots,mg/kg,"34.41,-112.26",centroid,cadmium,,2011-01-01,Herbs,0.173
GardenRoots,mg/kg,"34.41,-112.26",centroid,chromium,,2011-01-01,Herbs,0.45
GardenRoots,mg/kg,"34.41,-112.26",centroid,manganese,,2011-01-01,Herbs,31.48870726
GardenRoots,mg/kg,"34.41,-112.26",centroid,nickel,,2011-01-01,Herbs,1.17934913
GardenRoots,mg/kg,"34.41,-112.26",centroid,lead,,2011-01-01,Herbs,0.733
GardenRoots,mg/kg,"34.41,-112.26",centroid,zinc,,2011-01-01,Herbs,38.47491002
GardenRoots,mg/kg,"34.41,-112.26",centroid,copper,,2011-01-01,Herbs,10.48353329
GardenRoots,mg/kg,"34.41,-112.26",centroid,arsenic,,2011-01-01,Leafy,0.419
GardenRoots,mg/kg,"34.41,-112.26",centroid,barium,,2011-01-01,Leafy,16.83177458
GardenRoots,mg/kg,"34.41,-112.26",centroid,beryllium,,2011-01-01,Leafy,0.0154
GardenRoots,mg/kg,"34.41,-112.26",centroid,cadmium,,2011-01-01,Leafy,0.739
GardenRoots,mg/kg,"34.41,-112.26",centroid,chromium,,2011-01-01,Leafy,0.45
GardenRoots,mg/kg,"34.41,-112.26",centroid,manganese,,2011-01-01,Leafy,35.49773681
GardenRoots,mg/kg,"34.41,-112.26",centroid,nickel,,2011-01-01,Leafy,0.392
GardenRoots,mg/kg,"34.41,-112.26",centroid,lead,,2011-01-01,Leafy,0.135
GardenRoots,mg/kg,"34.41,-112.26",centroid,zinc,,2011-01-01,Leafy,40.10630995
GardenRoots,mg/kg,"34.41,-112.26",centroid,copper,,2011-01-01,Leafy,3.204616307
GardenRoots,mg/kg,"34.41,-112.26",centroid,arsenic,,2011-01-01,Fruiting Vegetables,0.419
GardenRoots,mg/kg,"34.41,-112.26",centroid,barium,,2011-01-01,Fruiting Vegetables,0.478
GardenRoots,mg/kg,"34.41,-112.26",centroid,beryllium,,2011-01-01,Fruiting Vegetables,0.015368
GardenRoots,mg/kg,"34.41,-112.26",centroid,cadmium,,2011-01-01,Fruiting Vegetables,0.343
GardenRoots,mg/kg,"34.41,-112.26",centroid,chromium,,2011-01-01,Fruiting Vegetables,0.45
GardenRoots,mg/kg,"34.41,-112.26",centroid,manganese,,2011-01-01,Fruiting Vegetables,8.880512283
GardenRoots,mg/kg,"34.41,-112.26",centroid,nickel,,2011-01-01,Fruiting Vegetables,1.682968844
GardenRoots,mg/kg,"34.41,-112.26",centroid,lead,,2011-01-01,Fruiting Vegetables,0.894
GardenRoots,mg/kg,"34.41,-112.26",centroid,zinc,,2011-01-01,Fruiting Vegetables,31.25849311
GardenRoots,mg/kg,"34.41,-112.26",centroid,copper,,2011-01-01,Fruiting Vegetables,10.18025764
GardenRoots,mg/kg,"34.41,-112.26",centroid,arsenic,,2011-01-01,Fruiting Vegetables,0.419
GardenRoots,mg/kg,"34.41,-112.26",centroid,barium,,2011-01-01,Fruiting Vegetables,4.467855003
GardenRoots,mg/kg,"34.41,-112.26",centroid,beryllium,,2011-01-01,Fruiting Vegetables,0.015368
GardenRoots,mg/kg,"34.41,-112.26",centroid,cadmium,,2011-01-01,Fruiting Vegetables,0.163
GardenRoots,mg/kg,"34.41,-112.26",centroid,chromium,,2011-01-01,Fruiting Vegetables,0.45
GardenRoots,mg/kg,"34.41,-112.26",centroid,manganese,,2011-01-01,Fruiting Vegetables,24.76469443
GardenRoots,mg/kg,"34.41,-112.26",centroid,nickel,,2011-01-01,Fruiting Vegetables,2.878295386
GardenRoots,mg/kg,"34.41,-112.26",centroid,lead,,2011-01-01,Fruiting Vegetables,0.0777
GardenRoots,mg/kg,"34.41,-112.26",centroid,zinc,,2011-01-01,Fruiting Vegetables,62.66466447
GardenRoots,mg/kg,"34.41,-112.26",centroid,copper,,2011-01-01,Fruiting Vegetables,14.32486519
GardenRoots,mg/kg,"34.41,-112.26",centroid,arsenic,,2011-01-01,Brassica Vegetables,0.419
GardenRoots,mg/kg,"34.41,-112.26",centroid,barium,,2011-01-01,Brassica Vegetables,3.378818127
GardenRoots,mg/kg,"34.41,-112.26",centroid,beryllium,,2011-01-01,Brassica Vegetables,0.015368
GardenRoots,mg/kg,"34.41,-112.26",centroid,cadmium,,2011-01-01,Brassica Vegetables,0.214
GardenRoots,mg/kg,"34.41,-112.26",centroid,chromium,,2011-01-01,Brassica Vegetables,0.45
GardenRoots,mg/kg,"34.41,-112.26",centroid,manganese,,2011-01-01,Brassica Vegetables,27.76870134
GardenRoots,mg/kg,"34.41,-112.26",centroid,nickel,,2011-01-01,Brassica Vegetables,1.096641046
GardenRoots,mg/kg,"34.41,-112.26",centroid,lead,,2011-01-01,Brassica Vegetables,1.415671791
GardenRoots,mg/kg,"34.41,-112.26",centroid,zinc,,2011-01-01,Brassica Vegetables,52.67109703
GardenRoots,mg/kg,"34.41,-112.26",centroid,copper,,2011-01-01,Brassica Vegetables,6.911649032
GardenRoots,mg/kg,"34.45,-111.98",centroid,arsenic,,2011-01-01,Brassica Vegetables,0.419
GardenRoots,mg/kg,"34.45,-111.98",centroid,barium,,2011-01-01,Brassica Vegetables,8.265614386
GardenRoots,mg/kg,"34.45,-111.98",centroid,beryllium,,2011-01-01,Brassica Vegetables,0.015368
GardenRoots,mg/kg,"34.45,-111.98",centroid,cadmium,,2011-01-01,Brassica Vegetables,0.0756
GardenRoots,mg/kg,"34.45,-111.98",centroid,chromium,,2011-01-01,Brassica Vegetables,0.45
GardenRoots,mg/kg,"34.45,-111.98",centroid,manganese,,2011-01-01,Brassica Vegetables,23.73902098
GardenRoots,mg/kg,"34.45,-111.98",centroid,nickel,,2011-01-01,Brassica Vegetables,0.392
GardenRoots,mg/kg,"34.45,-111.98",centroid,lead,,2011-01-01,Brassica Vegetables,0.0701
GardenRoots,mg/kg,"34.45,-111.98",centroid,zinc,,2011-01-01,Brassica Vegetables,36.34330669
GardenRoots,mg/kg,"34.45,-111.98",centroid,copper,,2011-01-01,Brassica Vegetables,3.737802198
GardenRoots,mg/kg,"34.45,-111.98",centroid,arsenic,,2011-01-01,Fruiting Vegetables,0.419
GardenRoots,mg/kg,"34.45,-111.98",centroid,barium,,2011-01-01,Fruiting Vegetables,2.92480535
GardenRoots,mg/kg,"34.45,-111.98",centroid,beryllium,,2011-01-01,Fruiting Vegetables,0.015368
GardenRoots,mg/kg,"34.45,-111.98",centroid,cadmium,,2011-01-01,Fruiting Vegetables,0.0209
GardenRoots,mg/kg,"34.45,-111.98",centroid,chromium,,2011-01-01,Fruiting Vegetables,0.45
GardenRoots,mg/kg,"34.45,-111.98",centroid,manganese,,2011-01-01,Fruiting Vegetables,19.48909962
GardenRoots,mg/kg,"34.45,-111.98",centroid,nickel,,2011-01-01,Fruiting Vegetables,0.392
GardenRoots,mg/kg,"34.45,-111.98",centroid,lead,,2011-01-01,Fruiting Vegetables,0.0974
GardenRoots,mg/kg,"34.45,-111.98",centroid,zinc,,2011-01-01,Fruiting Vegetables,46.76184867
GardenRoots,mg/kg,"34.45,-111.98",centroid,copper,,2011-01-01,Fruiting Vegetables,6.823308046
GardenRoots,mg/kg,"34.45,-111.98",centroid,arsenic,,2011-01-01,Fruiting Vegetables,0.419
GardenRoots,mg/kg,"34.45,-111.98",centroid,barium,,2011-01-01,Fruiting Vegetables,0.554
GardenRoots,mg/kg,"34.45,-111.98",centroid,beryllium,,2011-01-01,Fruiting Vegetables,0.015368
GardenRoots,mg/kg,"34.45,-111.98",centroid,cadmium,,2011-01-01,Fruiting Vegetables,0.0244
GardenRoots,mg/kg,"34.45,-111.98",centroid,chromium,,2011-01-01,Fruiting Vegetables,0.45
GardenRoots,mg/kg,"34.45,-111.98",centroid,manganese,,2011-01-01,Fruiting Vegetables,9.808067411
GardenRoots,mg/kg,"34.45,-111.98",centroid,nickel,,2011-01-01,Fruiting Vegetables,2.510869565
GardenRoots,mg/kg,"34.45,-111.98",centroid,lead,,2011-01-01,Fruiting Vegetables,5.699940168
