source,unit,location_name,location_type,variable_name,variable_desc,collected_on,medium,value
GardenRoots,mg/kg,040210004002,block_group,aluminum,,2019-01-01,Yard Soil,13.17
GardenRoots,mg/kg,040210004002,block_group,arsenic,,2019-01-01,Yard Soil,9694.77
GardenRoots,mg/kg,040210004002,block_group,barium,,2019-01-01,Yard Soil,127.82
GardenRoots,mg/kg,040210004002,block_group,beryllium,,2019-01-01,Yard Soil,0.44
GardenRoots,mg/kg,040210004002,block_group,cadmium,,2019-01-01,Yard Soil,1.45
GardenRoots,mg/kg,040210004002,block_group,chromium,,2019-01-01,Yard Soil,31.91
GardenRoots,mg/kg,040210004002,block_group,manganese,,2019-01-01,Yard Soil,629.85
GardenRoots,mg/kg,040210004002,block_group,nickel,,2019-01-01,Yard Soil,17.36
GardenRoots,mg/kg,040210004002,block_group,lead,,2019-01-01,Yard Soil,64.12
GardenRoots,mg/kg,040210004002,block_group,zinc,,2019-01-01,Yard Soil,316.14
GardenRoots,mg/kg,040210004002,block_group,copper,,2019-01-01,Yard Soil,353.41
GardenRoots,mg/kg,040250007003,block_group,arsenic,,2011-01-01,Yard Soil,16.63
GardenRoots,mg/kg,040250007003,block_group,barium,,2011-01-01,Yard Soil,145.9
GardenRoots,mg/kg,040250007003,block_group,beryllium,,2011-01-01,Yard Soil,0.4381
GardenRoots,mg/kg,040250007003,block_group,cadmium,,2011-01-01,Yard Soil,0.2854
GardenRoots,mg/kg,040250007003,block_group,chromium,,2011-01-01,Yard Soil,44.39
GardenRoots,mg/kg,040250007003,block_group,manganese,,2011-01-01,Yard Soil,1149.0
GardenRoots,mg/kg,040250007003,block_group,nickel,,2011-01-01,Yard Soil,32.62
GardenRoots,mg/kg,040250007003,block_group,lead,,2011-01-01,Yard Soil,131.7
GardenRoots,mg/kg,040250007003,block_group,zinc,,2011-01-01,Yard Soil,89.91
GardenRoots,mg/kg,040250007003,block_group,copper,,2011-01-01,Yard Soil,79.48
