source,unit,location_name,location_type,variable_name,variable_desc,collected_on,medium,value
GardenRoots,mg/kg,"34.54,-109.33",centroid,aluminum,,2015-01-01,Garden Soil,8239.0
GardenRoots,mg/kg,"34.54,-109.33",centroid,arsenic,,2015-01-01,Garden Soil,7.626
GardenRoots,mg/kg,"34.54,-109.33",centroid,barium,,2015-01-01,Garden Soil,400.9
GardenRoots,mg/kg,"34.54,-109.33",centroid,beryllium,,2015-01-01,Garden Soil,1.18
GardenRoots,mg/kg,"34.54,-109.33",centroid,cadmium,,2015-01-01,Garden Soil,0.3001
GardenRoots,mg/kg,"34.54,-109.33",centroid,chromium,,2015-01-01,Garden Soil,22.42
GardenRoots,mg/kg,"34.54,-109.33",centroid,manganese,,2015-01-01,Garden Soil,407.0
GardenRoots,mg/kg,"34.54,-109.33",centroid,nickel,,2015-01-01,Garden Soil,12.69
GardenRoots,mg/kg,"34.54,-109.33",centroid,lead,,2015-01-01,Garden Soil,54.7
GardenRoots,mg/kg,"34.54,-109.33",centroid,zinc,,2015-01-01,Garden Soil,111.2
GardenRoots,mg/kg,"34.54,-109.33",centroid,copper,,2015-01-01,Garden Soil,23.28
GardenRoots,mg/kg,"34.54,-109.33",centroid,aluminum,,2015-01-01,Yard Soil,12250.0
GardenRoots,mg/kg,"34.54,-109.33",centroid,arsenic,,2015-01-01,Yard Soil,9.426
GardenRoots,mg/kg,"34.54,-109.33",centroid,barium,,2015-01-01,Yard Soil,1576.0
GardenRoots,mg/kg,"34.54,-109.33",centroid,beryllium,,2015-01-01,Yard Soil,0.6123
GardenRoots,mg/kg,"34.54,-109.33",centroid,cadmium,,2015-01-01,Yard Soil,0.1462
GardenRoots,mg/kg,"34.54,-109.33",centroid,chromium,,2015-01-01,Yard Soil,19.95
GardenRoots,mg/kg,"34.54,-109.33",centroid,manganese,,2015-01-01,Yard Soil,502.7
GardenRoots,mg/kg,"34.54,-109.33",centroid,nickel,,2015-01-01,Yard Soil,14.55
GardenRoots,mg/kg,"34.54,-109.33",centroid,lead,,2015-01-01,Yard Soil,13.92
GardenRoots,mg/kg,"34.54,-109.33",centroid,zinc,,2015-01-01,Yard Soil,68.74
GardenRoots,mg/kg,"34.54,-109.33",centroid,copper,,2015-01-01,Yard Soil,21.4
GardenRoots,mg/kg,"34.32,-109.27",centroid,aluminum,,2015-01-01,Garden Soil,8180.0
GardenRoots,mg/kg,"34.32,-109.27",centroid,arsenic,,2015-01-01,Garden Soil,5.466
GardenRoots,mg/kg,"34.32,-109.27",centroid,barium,,2015-01-01,Garden Soil,191.3
GardenRoots,mg/kg,"34.32,-109.27",centroid,beryllium,,2015-01-01,Garden Soil,0.7374
GardenRoots,mg/kg,"34.32,-109.27",centroid,cadmium,,2015-01-01,Garden Soil,0.5529
GardenRoots,mg/kg,"34.32,-109.27",centroid,chromium,,2015-01-01,Garden Soil,57.6
