source,unit,location_name,location_type,variable_name,variable_desc,collected_on,medium,value
GardenRoots,mug/L,"31.38,-109.83",centroid,aluminum,,1/1/15,Water,2.84
GardenRoots,mug/L,"31.38,-109.83",centroid,arsenic,,1/1/15,Water,2.3
GardenRoots,mug/L,"31.38,-109.83",centroid,barium,,1/1/15,Water,246.28
GardenRoots,mug/L,"31.38,-109.83",centroid,beryllium,,1/1/15,Water,0.02
GardenRoots,mug/L,"31.38,-109.83",centroid,cadmium,,1/1/15,Water,0.35
GardenRoots,mug/L,"31.38,-109.83",centroid,chromium,,1/1/15,Water,0.08
GardenRoots,mug/L,"31.38,-109.83",centroid,manganese,,1/1/15,Water,0.63
GardenRoots,mug/L,"31.38,-109.83",centroid,nickel,,1/1/15,Water,1.75
GardenRoots,mug/L,"31.38,-109.83",centroid,lead,,1/1/15,Water,0.12
GardenRoots,mug/L,"31.38,-109.83",centroid,zinc,,1/1/15,Water,98.03
GardenRoots,mug/L,"31.38,-109.83",centroid,copper,,1/1/15,Water,24.16
GardenRoots,mug/L,"32.38,-109.90",centroid,aluminum,,1/1/15,Water,0.62
GardenRoots,mug/L,"32.38,-109.90",centroid,arsenic,,1/1/15,Water,3.22
GardenRoots,mug/L,"32.38,-109.90",centroid,barium,,1/1/15,Water,49.46
GardenRoots,mug/L,"32.38,-109.90",centroid,beryllium,,1/1/15,Water,0.04
GardenRoots,mug/L,"32.38,-109.90",centroid,chromium,,1/1/15,Water,0.72
GardenRoots,mug/L,"32.38,-109.90",centroid,manganese,,1/1/15,Water,0.38
GardenRoots,mug/L,"32.38,-109.90",centroid,nickel,,1/1/15,Water,1.5
GardenRoots,mug/L,"32.38,-109.90",centroid,lead,,1/1/15,Water,0.03
GardenRoots,mug/L,"32.38,-109.90",centroid,zinc,,1/1/15,Water,4.24
GardenRoots,mug/L,"32.38,-109.90",centroid,copper,,1/1/15,Water,0.43
GardenRoots,mug/L,"31.55,-109.93",centroid,aluminum,,1/1/15,Water,0.72
GardenRoots,mug/L,"31.55,-109.93",centroid,arsenic,,1/1/15,Water,2.87
GardenRoots,mug/L,"31.55,-109.93",centroid,barium,,1/1/15,Water,286.86
GardenRoots,mug/L,"31.55,-109.93",centroid,beryllium,,1/1/15,Water,0.02
