top5_labid,siteid,stateid,latitude,longitude,colldate,landcover1,landcover2,top5_depth,top5_quartz,top5_tot_k_fs,top5_tot_plag,top5_tot_flds,top5_tot_14a,top5_tot_10a,top5_kaolinit,top5_tot_clay,top5_gibbsite,top5_calcite,top5_dolomite,top5_aragon,top5_tot_carb,top5_analcime,top5_heuland,top5_tot_zeol,top5_gypsum,top5_talc,top5_hornbl,top5_serpent,top5_hematite,top5_goethite,top5_pyroxene,top5_pyrite,top5_other,top5_amorph,top5_ag,top5_al,top5_as,top5_ba,top5_be,top5_bi,top5_c_tot,top5_c_inorg,top5_c_org,top5_ca,top5_cd,top5_ce,top5_co,top5_cr,top5_cs,top5_cu,top5_fe,top5_ga,top5_hg,top5_in,top5_k,top5_la,top5_li,top5_mg,top5_mn,top5_mo,top5_na,top5_nb,top5_ni,top5_p,top5_pb,top5_rb,top5_s,top5_sb,top5_sc,top5_se,top5_sn,top5_sr,top5_te,top5_th,top5_ti,top5_tl,top5_u,top5_v,top5_w,top5_y,top5_zn,geoid,geoid_type
C-328818,96,AL,31.3146,-87.1166,02/18/09,Planted/Cultivated,Pasture/Hay,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,0.79,2.1,45,0.2,0.07,,,,0.1,<0.1,23.8,1.4,8,<5,5.9,0.52,2.29,0.01,<0.02,0.08,10.3,11,0.03,92,0.39,<0.01,5.3,3.3,200,6.8,11.7,0.01,0.19,1.5,<0.2,0.5,6,<0.1,3.6,0.23,0.1,1.1,13,0.2,4.2,15,NA,block_group
C-328804,208,AL,33.8523,-86.9041,02/26/09,Developed,Low Intensity Residential,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,1.07,1.9,117,0.3,0.08,,,,0.02,<0.1,27.3,3,20,<5,5.4,0.46,2.52,0.02,<0.02,0.24,11.8,9,0.05,182,0.32,0.02,4.8,4.5,190,10.3,19.3,0.01,0.28,1.6,<0.2,0.4,14.6,<0.1,3.1,0.16,0.2,1,16,0.4,5.5,18,NA,block_group
C-328805,288,AL,31.2179,-85.8788,02/18/09,Planted/Cultivated,Fallow,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,0.85,1.8,32,0.1,0.04,,,,0.06,<0.1,36.9,1.2,9,<5,10.1,0.31,1.81,<0.01,<0.02,0.04,20.5,4,0.03,221,0.35,<0.01,3.5,4.1,390,6.8,4.8,<0.01,0.15,1.2,<0.2,0.4,3.8,<0.1,2.3,0.11,<0.1,0.8,10,0.3,15.2,18,NA,block_group
C-328864,656,AL,33.0992,-86.9976,02/23/09,Forested Upland,Evergreen Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.07,3.4,326,1.2,0.14,,,,0.07,<0.1,42.5,9.5,31,<5,14.2,2.28,13.1,0.03,0.04,0.83,20.7,21,0.15,281,1.22,0.04,8.6,11.4,250,12.6,73.4,0.02,0.56,7.2,0.5,1.8,33.7,<0.1,7,0.3,0.4,2.1,57,0.7,10.3,32,NA,block_group
C-328777,912,AL,34.5501,-87.6779,02/25/09,Developed,Low Intensity Residential,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,1.46,3.1,189,0.6,0.09,,,,0.04,<0.1,54.2,7.7,28,<5,6.2,1.07,3.76,0.03,<0.02,0.43,18.2,11,0.06,347,0.6,0.06,8,6.7,210,15.4,24.3,0.01,0.42,3,0.3,0.7,22.9,<0.1,4.8,0.26,0.2,1.7,24,0.6,10,36,NA,block_group
C-328859,1232,AL,34.3577,-87.313,02/26/09,Forested Upland,Deciduous Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.22,3.9,145,0.9,0.23,,,,0.02,<0.1,32.3,3.5,26,<5,7.5,1.39,7.6,0.05,0.02,0.37,16,13,0.09,100,0.68,0.04,7.5,7.1,210,15.5,32.6,0.01,0.41,4.7,0.3,0.7,24.3,<0.1,5.1,0.26,0.3,1.6,35,0.5,7.4,24,NA,block_group
C-328793,1312,AL,31.0634,-85.6928,02/19/09,Planted/Cultivated,Fallow,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.26,3.6,55,0.3,0.13,,,,0.05,<0.1,57,2.5,25,<5,24.5,0.91,6.12,0.03,<0.02,0.11,23.7,10,0.05,180,0.97,<0.01,9.5,9.9,680,11.4,11,<0.01,0.55,3.2,<0.2,1.4,7.3,<0.1,7,0.32,0.1,1.8,29,0.8,11.5,29,NA,block_group
C-328863,1488,AL,34.2848,-85.6099,02/24/09,Forested Upland,Mixed Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,1.93,4.9,217,0.6,0.19,,,,0.23,0.2,48.9,4.6,21,<5,10.8,1.08,6.12,0.09,0.02,0.33,22.3,22,0.1,591,0.75,0.03,8.3,7.1,440,24.9,31.5,0.03,0.47,2.8,0.4,1.7,30.4,<0.1,5.6,0.28,0.2,2,27,0.8,11.7,50,NA,block_group
C-329053,1680,AL,32.7952,-86.9501,02/23/09,Forested Upland,Evergreen Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,1.79,2.6,83,0.4,0.14,,,,0.01,<0.1,34.8,1.8,20,<5,4.1,1.25,7.04,0.04,0.03,0.21,17,8,0.04,72,0.22,<0.01,2.5,3.8,100,11.6,17.8,<0.01,0.16,3.2,0.2,0.9,11.8,<0.1,7.6,0.33,0.1,1.5,24,<0.1,6,20,NA,block_group
C-328778,1824,AL,31.7278,-87.1307,02/20/09,Developed,Low Intensity Residential,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,1.84,3.6,122,0.3,0.13,,,,0.04,<0.1,22.6,1.9,28,<5,6.5,1.39,5.2,0.02,<0.02,0.32,11.3,9,0.09,72,0.54,0.02,6.5,3.8,410,18.7,23.2,<0.01,0.39,2.9,0.4,1.9,15.7,<0.1,4.8,0.25,0.1,1.2,31,0.5,3.9,37,NA,block_group
C-329056,2144,AL,30.4554,-87.5496,02/17/09,Developed,Low Intensity Residential,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,0.98,3.1,147,0.5,0.08,,,,0.12,<0.1,96.3,1.6,8,<5,2.7,0.3,2.76,0.01,<0.02,0.37,47.9,5,0.08,121,0.44,0.03,5.3,2.4,380,16.4,20.1,<0.01,0.15,1,<0.2,1.6,20,<0.1,15.2,0.25,0.1,2.9,12,0.3,11.2,36,NA,block_group
C-328811,2336,AL,32.1407,-85.5465,02/19/09,Planted/Cultivated,Fallow,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,0.89,2.6,45,0.2,0.08,,,,<0.01,<0.1,94.8,0.8,12,<5,2.2,0.56,2.64,0.02,<0.02,0.11,45.4,6,0.03,76,0.51,<0.01,2,3.1,250,7,10.9,<0.01,0.13,1.5,<0.2,0.3,6.3,<0.1,17.9,0.29,<0.1,2.9,15,0.1,8.2,12,NA,block_group
