source,unit,location_name,location_type,variable_name,variable_desc,collected_on,medium,value
USGS,wt. %,"36.4526,-109.1665",point,al,Concentration of al,2013-09-18,soil,3.68
USGS,mg/kg,"36.4526,-109.1665",point,as,Concentration of as,2013-09-18,soil,1.7
USGS,mg/kg,"36.4526,-109.1665",point,ba,Concentration of ba,2013-09-18,soil,907.0
USGS,mg/kg,"36.4526,-109.1665",point,be,Concentration of be,2013-09-18,soil,1.0
USGS,mg/kg,"36.4526,-109.1665",point,bi,Concentration of bi,2013-09-18,soil,0.08
USGS,wt. %,"36.4526,-109.1665",point,ca,Concentration of ca,2013-09-18,soil,0.37
USGS,mg/kg,"36.4526,-109.1665",point,ce,Concentration of ce,2013-09-18,soil,33.1
USGS,mg/kg,"36.4526,-109.1665",point,co,Concentration of co,2013-09-18,soil,1.5
USGS,mg/kg,"36.4526,-109.1665",point,cr,Concentration of cr,2013-09-18,soil,3.0
USGS,mg/kg,"36.4526,-109.1665",point,cu,Concentration of cu,2013-09-18,soil,3.1
USGS,wt. %,"36.4526,-109.1665",point,fe,Concentration of fe,2013-09-18,soil,0.51
USGS,mg/kg,"36.4526,-109.1665",point,ga,Concentration of ga,2013-09-18,soil,6.5
USGS,wt. %,"36.4526,-109.1665",point,k,Concentration of k,2013-09-18,soil,1.36
USGS,mg/kg,"36.4526,-109.1665",point,la,Concentration of la,2013-09-18,soil,17.6
USGS,mg/kg,"36.4526,-109.1665",point,li,Concentration of li,2013-09-18,soil,10.0
USGS,wt. %,"36.4526,-109.1665",point,mg,Concentration of mg,2013-09-18,soil,0.19
USGS,mg/kg,"36.4526,-109.1665",point,mn,Concentration of mn,2013-09-18,soil,175.0
USGS,mg/kg,"36.4526,-109.1665",point,mo,Concentration of mo,2013-09-18,soil,0.13
USGS,wt. %,"36.4526,-109.1665",point,na,Concentration of na,2013-09-18,soil,0.75
USGS,mg/kg,"36.4526,-109.1665",point,nb,Concentration of nb,2013-09-18,soil,5.8
USGS,mg/kg,"36.4526,-109.1665",point,ni,Concentration of ni,2013-09-18,soil,2.9
USGS,mg/kg,"36.4526,-109.1665",point,p,Concentration of p,2013-09-18,soil,180.0
USGS,mg/kg,"36.4526,-109.1665",point,pb,Concentration of pb,2013-09-18,soil,19.7
USGS,mg/kg,"36.4526,-109.1665",point,rb,Concentration of rb,2013-09-18,soil,66.7
USGS,mg/kg,"36.4526,-109.1665",point,sb,Concentration of sb,2013-09-18,soil,0.22
USGS,mg/kg,"36.4526,-109.1665",point,sc,Concentration of sc,2013-09-18,soil,2.4
USGS,mg/kg,"36.4526,-109.1665",point,sn,Concentration of sn,2013-09-18,soil,0.8
USGS,mg/kg,"36.4526,-109.1665",point,sr,Concentration of sr,2013-09-18,soil,148.0
USGS,mg/kg,"36.4526,-109.1665",point,th,Concentration of th,2013-09-18,soil,6.4
USGS,wt. %,"36.4526,-109.1665",point,ti,Concentration of ti,2013-09-18,soil,0.13
USGS,mg/kg,"36.4526,-109.1665",point,tl,Concentration of tl,2013-09-18,soil,0.7
USGS,mg/kg,"36.4526,-109.1665",point,u,Concentration of u,2013-09-18,soil,1.1
USGS,mg/kg,"36.4526,-109.1665",point,v,Concentration of v,2013-09-18,soil,13.0
USGS,mg/kg,"36.4526,-109.1665",point,w,Concentration of w,2013-09-18,soil,0.3
USGS,mg/kg,"36.4526,-109.1665",point,y,Concentration of y,2013-09-18,soil,8.4
USGS,mg/kg,"36.4526,-109.1665",point,zn,Concentration of zn,2013-09-18,soil,11.0
USGS,wt. %,"32.494,-109.473",point,al,Concentration of al,2013-09-18,soil,6.77
USGS,mg/kg,"32.494,-109.473",point,as,Concentration of as,2013-09-18,soil,4.5
USGS,mg/kg,"32.494,-109.473",point,ba,Concentration of ba,2013-09-18,soil,656.0
USGS,mg/kg,"32.494,-109.473",point,be,Concentration of be,2013-09-18,soil,2.5
USGS,mg/kg,"32.494,-109.473",point,bi,Concentration of bi,2013-09-18,soil,0.64
USGS,wt. %,"32.494,-109.473",point,ca,Concentration of ca,2013-09-18,soil,1.14
USGS,mg/kg,"32.494,-109.473",point,cd,Concentration of cd,2013-09-18,soil,0.2
USGS,mg/kg,"32.494,-109.473",point,ce,Concentration of ce,2013-09-18,soil,90.9
USGS,mg/kg,"32.494,-109.473",point,co,Concentration of co,2013-09-18,soil,8.9
USGS,mg/kg,"32.494,-109.473",point,cr,Concentration of cr,2013-09-18,soil,31.0
USGS,mg/kg,"32.494,-109.473",point,cs,Concentration of cs,2013-09-18,soil,8.0
USGS,mg/kg,"32.494,-109.473",point,cu,Concentration of cu,2013-09-18,soil,25.2
USGS,wt. %,"32.494,-109.473",point,fe,Concentration of fe,2013-09-18,soil,3.29
USGS,mg/kg,"32.494,-109.473",point,ga,Concentration of ga,2013-09-18,soil,16.5
USGS,mg/kg,"32.494,-109.473",point,hg,Concentration of hg,2013-09-18,soil,0.02
USGS,mg/kg,"32.494,-109.473",point,in,Concentration of in,2013-09-18,soil,0.06
USGS,wt. %,"32.494,-109.473",point,k,Concentration of k,2013-09-18,soil,3.45
USGS,mg/kg,"32.494,-109.473",point,la,Concentration of la,2013-09-18,soil,47.7
USGS,mg/kg,"32.494,-109.473",point,li,Concentration of li,2013-09-18,soil,26.0
