source,unit,location_name,location_type,variable_name,variable_desc,collected_on,medium,value
USGS Arizona Water Science Center,mg/l,"35.13658330000000,-112.5417222000000",point,Calcium,Concentration of Calcium in water,2018-6-25,water,151.0
USGS Arizona Water Science Center,mg/l,"34.53863606000000,-111.6940356000000",point,Calcium,Concentration of Calcium in water,2018-7-19,water,39.3
USGS Arizona Water Science Center,mg/l,"34.53863606000000,-111.6940356000000",point,Calcium,Concentration of Calcium in water,2018-9-27,water,41.2
USGS Arizona Water Science Center,mg/l,"34.53863606000000,-111.6940356000000",point,Calcium,Concentration of Calcium in water,2018-10-31,water,43.0
USGS Arizona Water Science Center,mg/l,"34.53863606000000,-111.6940356000000",point,Calcium,Concentration of Calcium in water,2018-10-15,water,43.0
USGS Arizona Water Science Center,mg/l,"34.53863606000000,-111.6940356000000",point,Calcium,Concentration of Calcium in water,2018-4-13,water,43.7
USGS Arizona Water Science Center,mg/l,"34.53863606000000,-111.6940356000000",point,Calcium,Concentration of Calcium in water,2018-11-27,water,44.0
USGS Arizona Water Science Center,mg/l,"34.53863606000000,-111.6940356000000",point,Calcium,Concentration of Calcium in water,2018-3-8,water,44.3
USGS Arizona Water Science Center,mg/l,"34.53863606000000,-111.6940356000000",point,Calcium,Concentration of Calcium in water,2018-12-11,water,44.4
USGS Arizona Water Science Center,mg/l,"34.53863606000000,-111.6940356000000",point,Calcium,Concentration of Calcium in water,2018-2-22,water,44.6
USGS Arizona Water Science Center,mg/l,"34.53863606000000,-111.6940356000000",point,Calcium,Concentration of Calcium in water,2018-1-25,water,45.3
USGS Arizona Water Science Center,mg/l,"34.53863606000000,-111.6940356000000",point,Calcium,Concentration of Calcium in water,2018-2-8,water,45.4
USGS Arizona Water Science Center,mg/l,"34.97926110000000,-112.6350306000000",point,Calcium,Concentration of Calcium in water,2018-6-13,water,51.0
USGS Arizona Water Science Center,mg/l,"34.92841667000000,-112.3982222000000",point,Calcium,Concentration of Calcium in water,2018-4-29,water,52.1
USGS Arizona Water Science Center,mg/l,"34.86694444000000,-112.4240278000000",point,Calcium,Concentration of Calcium in water,2018-6-11,water,58.1
